Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/10/2019 19:45,Ashton Gate,Bristol Bears,Bath Rugby,43 - 16
2,1,19/10/2019 15:00,Sandy Park,Exeter Chiefs,Harlequins,22 - 19
3,1,19/10/2019 15:00,AJ Bell Stadium,Sale Sharks,Gloucester Rugby,16 - 18
4,1,19/10/2019 15:00,Allianz Park,Saracens,Northampton Saints,25 - 27
5,1,19/10/2019 15:00,Sixways,Worcester Warriors,Leicester Tigers,24 - 16
6,1,20/10/2019 15:00,Ricoh Arena,Wasps,London Irish,26 - 29
7,2,25/10/2019 19:45,Recreation Ground,Bath Rugby,Exeter Chiefs,13 - 10
8,2,26/10/2019 14:00,Franklin's Gardens,Northampton Saints,Worcester Warriors,35 - 16
9,2,26/10/2019 15:00,Kingsholm,Gloucester Rugby,Wasps,25 - 9
10,2,26/10/2019 15:00,Twickenham Stoop,Harlequins,Bristol Bears,22 - 17
11,2,26/10/2019 15:00,Madejski Stadium,London Irish,Sale Sharks,7 - 41
12,2,27/10/2019 15:00,Welford Road,Leicester Tigers,Saracens,10 - 24
13,3,01/11/2019 19:45,Ashton Gate,Bristol Bears,Sale Sharks,16 - 10
14,3,01/11/2019 19:45,Franklin's Gardens,Northampton Saints,Harlequins,40 - 22
15,3,02/11/2019 15:00,Welford Road,Leicester Tigers,Gloucester Rugby,16 - 13
16,3,02/11/2019 15:00,Allianz Park,Saracens,London Irish,16 - 13
17,3,02/11/2019 15:00,Ricoh Arena,Wasps,Bath Rugby,30 - 22
18,3,03/11/2019 15:00,Sixways,Worcester Warriors,Exeter Chiefs,20 - 24
19,4,08/11/2019 19:45,AJ Bell Stadium,Sale Sharks,Wasps,28 - 18
20,4,09/11/2019 15:00,Recreation Ground,Bath Rugby,Northampton Saints,22 - 13
21,4,09/11/2019 15:00,Kingsholm,Gloucester Rugby,Saracens,12 - 21
22,4,09/11/2019 15:00,Twickenham Stoop,Harlequins,Worcester Warriors,14 - 19
23,4,10/11/2019 14:30,Madejski Stadium,London Irish,Leicester Tigers,36 - 11
24,4,10/11/2019 15:00,Sandy Park,Exeter Chiefs,Bristol Bears,17 - 20
25,5,29/11/2019 19:45,Recreation Ground,Bath Rugby,Saracens,12 - 25
26,5,30/11/2019 15:00,Sandy Park,Exeter Chiefs,Wasps,38 - 3
27,5,30/11/2019 15:00,Franklin's Gardens,Northampton Saints,Leicester Tigers,36 - 13
28,5,30/11/2019 15:00,Sixways,Worcester Warriors,Sale Sharks,20 - 13
29,5,01/12/2019 15:00,Ashton Gate,Bristol Bears,London Irish,27 - 27
30,5,01/12/2019 15:00,Twickenham Stoop,Harlequins,Gloucester Rugby,23 - 19
31,6,20/12/2019 19:45,Kingsholm,Gloucester Rugby,Worcester Warriors,36 - 3
32,6,21/12/2019 15:00,Welford Road,Leicester Tigers,Exeter Chiefs,22 - 31
33,6,21/12/2019 15:00,AJ Bell Stadium,Sale Sharks,Northampton Saints,22 - 10
34,6,21/12/2019 15:00,Allianz Park,Saracens,Bristol Bears,47 - 13
