Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,31/08/2018 19:45,Ashton Gate,Bristol Bears,Bath Rugby,17 - 10
2,1,01/09/2018 14:00,Kingsholm,Gloucester Rugby,Northampton Saints,27 - 16
3,1,01/09/2018 15:00,Twickenham Stoop,Harlequins,Sale Sharks,51 - 23
4,1,01/09/2018 15:00,Sixways,Worcester Warriors,Wasps,20 - 21
5,1,01/09/2018 16:30,Sandy Park,Exeter Chiefs,Leicester Tigers,40 - 6
6,1,02/09/2018 15:00,Kingston Park,Newcastle Falcons,Saracens,21 - 32
7,2,07/09/2018 19:45,Franklin's Gardens,Northampton Saints,Harlequins,25 - 18
8,2,08/09/2018 14:00,Ricoh Arena,Wasps,Exeter Chiefs,31 - 42
9,2,08/09/2018 15:00,Welford Road,Leicester Tigers,Newcastle Falcons,49 - 33
10,2,08/09/2018 15:00,Allianz Park,Saracens,Bristol Bears,44 - 23
11,2,08/09/2018 16:30,Recreation Ground,Bath Rugby,Gloucester Rugby,31 - 31
12,2,09/09/2018 15:00,AJ Bell Stadium,Sale Sharks,Worcester Warriors,21 - 15
13,3,14/09/2018 19:45,Kingsholm,Gloucester Rugby,Bristol Bears,35 - 13
14,3,15/09/2018 15:00,Sandy Park,Exeter Chiefs,Sale Sharks,35 - 18
15,3,15/09/2018 15:00,Twickenham Stoop,Harlequins,Bath Rugby,32 - 37
16,3,15/09/2018 15:00,Franklin's Gardens,Northampton Saints,Saracens,27 - 38
17,3,15/09/2018 15:00,Sixways,Worcester Warriors,Newcastle Falcons,20 - 23
18,3,16/09/2018 15:00,Ricoh Arena,Wasps,Leicester Tigers,41 - 35
19,4,21/09/2018 19:45,Kingston Park,Newcastle Falcons,Exeter Chiefs,17 - 24
20,4,22/09/2018 15:00,Recreation Ground,Bath Rugby,Northampton Saints,17 - 15
21,4,22/09/2018 15:00,Ashton Gate,Bristol Bears,Harlequins,20 - 13
22,4,22/09/2018 15:00,AJ Bell Stadium,Sale Sharks,Wasps,13 - 31
23,4,23/09/2018 15:00,Welford Road,Leicester Tigers,Worcester Warriors,37 - 44
24,4,23/09/2018 15:00,Allianz Park,Saracens,Gloucester Rugby,38 - 15
25,5,28/09/2018 19:45,Kingston Park,Newcastle Falcons,Wasps,22 - 23
26,5,29/09/2018 15:00,Ashton Gate,Bristol Bears,Northampton Saints,40 - 45
27,5,29/09/2018 15:00,Sandy Park,Exeter Chiefs,Worcester Warriors,28 - 11
28,5,29/09/2018 15:00,Kingsholm,Gloucester Rugby,Harlequins,25 - 27
29,5,29/09/2018 15:00,Allianz Park,Saracens,Bath Rugby,50 - 27
30,5,30/09/2018 15:00,Welford Road,Leicester Tigers,Sale Sharks,19 - 15
31,6,05/10/2018 19:45,Recreation Ground,Bath Rugby,Exeter Chiefs,24 - 39
32,6,06/10/2018 15:00,Twickenham Stadium,Northampton Saints,Leicester Tigers,15 - 23
33,6,06/10/2018 15:00,AJ Bell Stadium,Sale Sharks,Newcastle Falcons,20 - 7
34,6,06/10/2018 15:00,Ricoh Arena,Wasps,Gloucester Rugby,21 - 35
35,6,06/10/2018 19:30,Twickenham Stoop,Harlequins,Saracens,20 - 25
36,6,07/10/2018 15:00,Sixways,Worcester Warriors,Bristol Bears,52 - 7
37,7,16/11/2018 19:45,Kingsholm,Gloucester Rugby,Leicester Tigers,36 - 13
38,7,16/11/2018 19:45,Twickenham Stoop,Harlequins,Newcastle Falcons,20 - 7
39,7,17/11/2018 12:45,Recreation Ground,Bath Rugby,Worcester Warriors,28 - 13
40,7,17/11/2018 13:00,Franklin's Gardens,Northampton Saints,Wasps,36 - 17
41,7,17/11/2018 13:00,Allianz Park,Saracens,Sale Sharks,31 - 25
42,7,18/11/2018 15:00,Ashton Gate,Bristol Bears,Exeter Chiefs,29 - 31
43,8,23/11/2018 19:45,Kingston Park,Newcastle Falcons,Bath Rugby,16 - 8
44,8,23/11/2018 19:45,Sixways,Worcester Warriors,Harlequins,20 - 13
45,8,24/11/2018 13:00,Sandy Park,Exeter Chiefs,Gloucester Rugby,23 - 6
46,8,24/11/2018 13:00,AJ Bell Stadium,Sale Sharks,Northampton Saints,18 - 13
47,8,24/11/2018 13:00,Ricoh Arena,Wasps,Bristol Bears,32 - 28
48,8,25/11/2018 15:00,Welford Road,Leicester Tigers,Saracens,22 - 27
49,9,30/11/2018 19:45,Twickenham Stoop,Harlequins,Exeter Chiefs,28 - 26
50,9,01/12/2018 13:00,Ashton Gate,Bristol Bears,Leicester Tigers,41 - 10
51,9,01/12/2018 15:00,Kingsholm,Gloucester Rugby,Worcester Warriors,36 - 16
52,9,01/12/2018 15:00,Franklin's Gardens,Northampton Saints,Newcastle Falcons,14 - 16
53,9,01/12/2018 15:00,Allianz Park,Saracens,Wasps,29 - 6
54,9,02/12/2018 15:00,Recreation Ground,Bath Rugby,Sale Sharks,7 - 7
60,10,21/12/2018 19:45,Sixways,Worcester Warriors,Northampton Saints,6 - 32
55,10,22/12/2018 15:00,Sandy Park,Exeter Chiefs,Saracens,31 - 13
56,10,22/12/2018 15:00,Welford Road,Leicester Tigers,Harlequins,35 - 24
58,10,22/12/2018 15:00,AJ Bell Stadium,Sale Sharks,Bristol Bears,27 - 10
57,10,23/12/2018 15:00,Kingston Park,Newcastle Falcons,Gloucester Rugby,17 - 20
59,10,23/12/2018 15:00,Ricoh Arena,Wasps,Bath Rugby,14 - 24
64,11,28/12/2018 19:45,Franklin's Gardens,Northampton Saints,Exeter Chiefs,31 - 28
63,11,29/12/2018 15:00,Kingsholm,Gloucester Rugby,Sale Sharks,15 - 30
65,11,29/12/2018 15:00,Allianz Park,Saracens,Worcester Warriors,25 - 17
66,11,29/12/2018 16:00,Twickenham Stadium,Harlequins,Wasps,20 - 13
61,11,30/12/2018 15:00,Recreation Ground,Bath Rugby,Leicester Tigers,23 - 16
62,11,30/12/2018 15:00,Ashton Gate,Bristol Bears,Newcastle Falcons,35 - 28
70,12,04/01/2019 19:45,AJ Bell Stadium,Sale Sharks,Saracens,24 - 18
67,12,05/01/2019 15:00,Sandy Park,Exeter Chiefs,Bristol Bears,14 - 9
68,12,05/01/2019 15:00,Welford Road,Leicester Tigers,Gloucester Rugby,34 - 16
69,12,05/01/2019 15:00,Kingston Park,Newcastle Falcons,Harlequins,17 - 38
72,12,05/01/2019 15:00,Sixways,Worcester Warriors,Bath Rugby,21 - 19
71,12,06/01/2019 15:00,Ricoh Arena,Wasps,Northampton Saints,27 - 16
74,13,15/02/2019 19:45,Ashton Gate,Bristol Bears,Wasps,22 - 29
75,13,15/02/2019 19:45,Kingsholm,Gloucester Rugby,Exeter Chiefs,24 - 17
77,13,16/02/2019 14:00,Franklin's Gardens,Northampton Saints,Sale Sharks,67 - 17
73,13,16/02/2019 15:00,Recreation Ground,Bath Rugby,Newcastle Falcons,30 - 13
76,13,16/02/2019 15:00,Twickenham Stoop,Harlequins,Worcester Warriors,47 - 33
78,13,16/02/2019 15:00,Allianz Park,Saracens,Leicester Tigers,33 - 10
80,14,22/02/2019 19:45,Kingsholm,Gloucester Rugby,Saracens,30 - 24
81,14,23/02/2019 14:00,Twickenham Stoop,Harlequins,Bristol Bears,36 - 23
83,14,23/02/2019 14:00,Ricoh Arena,Wasps,Sale Sharks,18 - 24
79,14,23/02/2019 14:30,Sandy Park,Exeter Chiefs,Newcastle Falcons,35 - 17
82,14,23/02/2019 14:45,Franklin's Gardens,Northampton Saints,Bath Rugby,27 - 26
84,14,24/02/2019 13:00,Sixways,Worcester Warriors,Leicester Tigers,17 - 13
86,15,01/03/2019 19:45,Ashton Gate,Bristol Bears,Gloucester Rugby,28 - 24
85,15,02/03/2019 15:00,Recreation Ground,Bath Rugby,Harlequins,29 - 31
87,15,02/03/2019 15:00,Welford Road,Leicester Tigers,Wasps,19 - 14
89,15,02/03/2019 15:00,AJ Bell Stadium,Sale Sharks,Exeter Chiefs,14 - 20
90,15,02/03/2019 15:00,Allianz Park,Saracens,Northampton Saints,36 - 17
88,15,03/03/2019 15:00,Kingston Park,Newcastle Falcons,Worcester Warriors,17 - 6
91,16,08/03/2019 19:45,Recreation Ground,Bath Rugby,Saracens,18 - 9
94,16,08/03/2019 20:00,AJ Bell Stadium,Sale Sharks,Leicester Tigers,32 - 5
95,16,09/03/2019 14:00,Ricoh Arena,Wasps,Newcastle Falcons,19 - 20
93,16,09/03/2019 14:45,Franklin's Gardens,Northampton Saints,Bristol Bears,24 - 26
96,16,09/03/2019 15:00,Sixways,Worcester Warriors,Exeter Chiefs,30 - 33
92,16,10/03/2019 13:00,Twickenham Stoop,Harlequins,Gloucester Rugby,7 - 29
100,17,22/03/2019 19:45,Welford Road,Leicester Tigers,Northampton Saints,15 - 29
97,17,23/03/2019 15:00,Ashton Gate,Bristol Bears,Worcester Warriors,25 - 27
99,17,23/03/2019 15:00,Kingsholm,Gloucester Rugby,Wasps,27 - 14
101,17,23/03/2019 15:00,London (Olympic) Stadium,Saracens,Harlequins,27 - 20
102,17,23/03/2019 17:30,St James' Park,Newcastle Falcons,Sale Sharks,22 - 17
98,17,24/03/2019 15:00,Sandy Park,Exeter Chiefs,Bath Rugby,29 - 10
105,18,05/04/2019 19:45,AJ Bell Stadium,Sale Sharks,Harlequins,28 - 17
108,18,06/04/2019 14:00,Twickenham Stadium,Bath Rugby,Bristol Bears,26 - 19
106,18,06/04/2019 15:00,Allianz Park,Saracens,Newcastle Falcons,26 - 12
107,18,06/04/2019 15:00,Ricoh Arena,Wasps,Worcester Warriors,28 - 16
103,18,06/04/2019 16:30,Welford Road,Leicester Tigers,Exeter Chiefs,20 - 52
104,18,07/04/2019 15:00,Franklin's Gardens,Northampton Saints,Gloucester Rugby,31 - 40
113,19,12/04/2019 19:45,Kingston Park,Newcastle Falcons,Leicester Tigers,22 - 27
111,19,13/04/2019 15:00,Kingsholm,Gloucester Rugby,Bath Rugby,27 - 23
112,19,13/04/2019 15:00,Twickenham Stoop,Harlequins,Northampton Saints,19 - 20
114,19,13/04/2019 15:00,Sixways,Worcester Warriors,Sale Sharks,39 - 17
109,19,13/04/2019 17:30,Ashton Gate,Bristol Bears,Saracens,23 - 21
110,19,14/04/2019 15:00,Sandy Park,Exeter Chiefs,Wasps,19 - 26
117,20,26/04/2019 19:45,Kingston Park,Newcastle Falcons,Northampton Saints,17 - 31
118,20,26/04/2019 19:45,AJ Bell Stadium,Sale Sharks,Bath Rugby,6 - 3
115,20,27/04/2019 14:00,Sandy Park,Exeter Chiefs,Harlequins,17 - 15
116,20,27/04/2019 15:00,Welford Road,Leicester Tigers,Bristol Bears,20 - 23
119,20,27/04/2019 16:30,Ricoh Arena,Wasps,Saracens,14 - 31
