Round Number,Date,Location,Home Team,Away Team,Result
1,20/11/2020 19:45,Twickenham Stoop,Harlequins,Exeter Chiefs,3 - 33
1,20/11/2020 20:00,AJ Bell Stadium,Sale Sharks,Northampton Saints,32 - 23
1,21/11/2020 12:30,Recreation Ground,Bath Rugby,Newcastle Falcons,12 - 19
1,21/11/2020 15:00,Welford Road,Leicester Tigers,Gloucester Rugby,38 - 15
1,21/11/2020 15:00,Sixways,Worcester Warriors,London Irish,11 - 10
1,22/11/2020 13:00,Ricoh Arena,Wasps,Bristol Bears,23 - 20
2,27/11/2020 19:45,Kingston Park,Newcastle Falcons,Sale Sharks,15 - 13
2,28/11/2020 05:30,Sandy Park,Exeter Chiefs,Bath Rugby,40 - 3
2,28/11/2020 14:00,Franklin's Gardens,Northampton Saints,Harlequins,29 - 49
2,28/11/2020 15:00,Ashton Gate,Bristol Bears,Worcester Warriors,30 - 13
2,28/11/2020 15:00,Kingsholm,Gloucester Rugby,Wasps,40 - 24
2,29/11/2020 16:15,Community Stadium,London Irish,Leicester Tigers,22 - 9
3,04/12/2020 19:45,Ashton Gate,Bristol Bears,Northampton Saints,18 - 17
3,05/12/2020 15:00,Welford Road,Leicester Tigers,Exeter Chiefs,13 - 35
3,05/12/2020 15:00,Ricoh Arena,Wasps,Newcastle Falcons,17 - 27
3,05/12/2020 15:00,Sixways,Worcester Warriors,Bath Rugby,17 - 33
3,06/12/2020 14:30,Community Stadium,London Irish,Sale Sharks,13 - 21
3,06/12/2020 16:15,Kingsholm,Gloucester Rugby,Harlequins,24 - 34
4,26/12/2020 14:00,Recreation Ground,Bath Rugby,London Irish,
4,26/12/2020 14:00,Twickenham Stoop,Harlequins,Bristol Bears,19 - 27
4,26/12/2020 14:00,Kingston Park,Newcastle Falcons,Leicester Tigers,
4,26/12/2020 15:00,Sandy Park,Exeter Chiefs,Gloucester Rugby,28 - 20
4,26/12/2020 16:30,Franklin's Gardens,Northampton Saints,Worcester Warriors,29 - 10
4,27/12/2020 15:00,AJ Bell Stadium,Sale Sharks,Wasps,23 - 26
5,01/01/2021 15:00,Ashton Gate,Bristol Bears,Newcastle Falcons,29 - 17
5,01/01/2021 19:45,Sixways,Worcester Warriors,Harlequins,
5,02/01/2021 14:00,Ricoh Arena,Wasps,Exeter Chiefs,34 - 5
5,02/01/2021 16:30,Kingsholm,Gloucester Rugby,Sale Sharks,19 - 22
5,03/01/2021 14:30,Community Stadium,London Irish,Northampton Saints,
5,03/01/2021 15:00,Welford Road,Leicester Tigers,Bath Rugby,36 - 31
6,08/01/2021 19:45,Recreation Ground,Bath Rugby,Wasps,44 - 52
6,08/01/2021 20:00,AJ Bell Stadium,Sale Sharks,Worcester Warriors,20 - 13
6,09/01/2021 14:00,Kingston Park,Newcastle Falcons,Gloucester Rugby,22 - 10
6,09/01/2021 16:30,Sandy Park,Exeter Chiefs,Bristol Bears,7 - 20
6,09/01/2021 16:30,Franklin's Gardens,Northampton Saints,Leicester Tigers,
6,10/01/2021 15:00,Twickenham Stoop,Harlequins,London Irish,27 - 27
7,29/01/2021 19:45,Ashton Gate,Bristol Bears,Bath Rugby,48 - 3
7,29/01/2021 19:45,Welford Road,Leicester Tigers,Sale Sharks,15 - 25
7,30/01/2021 15:00,Kingsholm,Gloucester Rugby,Northampton Saints,26 - 31
7,30/01/2021 15:00,Sixways,Worcester Warriors,Exeter Chiefs,17 - 21
7,31/01/2021 14:30,Community Stadium,London Irish,Newcastle Falcons,31 - 22
7,31/01/2021 15:00,Ricoh Arena,Wasps,Harlequins,17 - 49
8,05/02/2021 19:45,Ashton Gate,Bristol Bears,Sale Sharks,13 - 20
8,06/02/2021 13:00,Ricoh Arena,Wasps,Northampton Saints,17 - 22
8,06/02/2021 14:15,Recreation Ground,Bath Rugby,Harlequins,15 - 28
8,06/02/2021 15:00,Welford Road,Leicester Tigers,Worcester Warriors,41 - 24
8,06/02/2021 15:00,Community Stadium,London Irish,Gloucester Rugby,32 - 26
8,07/02/2021 13:00,Kingston Park,Newcastle Falcons,Exeter Chiefs,9 - 15
9,12/02/2021 19:45,Kingsholm,Gloucester Rugby,Bristol Bears,17 - 18
9,12/02/2021 20:00,AJ Bell Stadium,Sale Sharks,Bath Rugby,22 - 27
9,13/02/2021 16:00,Twickenham Stoop,Harlequins,Leicester Tigers,37 - 24
9,13/02/2021 16:15,Sandy Park,Exeter Chiefs,London Irish,26 - 3
9,13/02/2021 16:30,Franklin's Gardens,Northampton Saints,Newcastle Falcons,
9,14/02/2021 13:00,Sixways,Worcester Warriors,Wasps,13 - 17
10,19/02/2021 19:45,Recreation Ground,Bath Rugby,Gloucester Rugby,16 - 14
10,20/02/2021 13:00,Twickenham Stoop,Harlequins,Sale Sharks,24 - 12
10,20/02/2021 15:00,Sandy Park,Exeter Chiefs,Northampton Saints,12 - 13
10,20/02/2021 15:00,Welford Road,Leicester Tigers,Wasps,27 - 8
10,20/02/2021 15:00,Sixways,Worcester Warriors,Newcastle Falcons,
10,21/02/2021 15:00,Community Stadium,London Irish,Bristol Bears,34 - 34
11,26/02/2021 19:45,AJ Bell Stadium,Sale Sharks,Exeter Chiefs,25 - 20
11,27/02/2021 13:00,Ashton Gate,Bristol Bears,Leicester Tigers,17 - 3
11,27/02/2021 15:00,Kingston Park,Newcastle Falcons,Harlequins,25 - 22
11,27/02/2021 15:00,Ricoh Arena,Wasps,London Irish,10 - 16
11,27/02/2021 15:15,Kingsholm,Gloucester Rugby,Worcester Warriors,22 - 14
11,28/02/2021 13:00,Franklin's Gardens,Northampton Saints,Bath Rugby,22 - 23
12,05/03/2021 19:45,Welford Road,Leicester Tigers,London Irish,33 - 32
12,05/03/2021 20:00,AJ Bell Stadium,Sale Sharks,Newcastle Falcons,31 - 16
12,06/03/2021 15:00,Recreation Ground,Bath Rugby,Exeter Chiefs,16 - 38
12,06/03/2021 15:00,Ricoh Arena,Wasps,Gloucester Rugby,19 - 20
12,06/03/2021 19:15,Sixways,Worcester Warriors,Bristol Bears,23 - 24
12,07/03/2021 15:00,Twickenham Stoop,Harlequins,Northampton Saints,37 - 19
13,12/03/2021 19:45,Ashton Gate,Bristol Bears,Wasps,
13,13/03/2021 12:30,Sandy Park,Exeter Chiefs,Harlequins,
13,13/03/2021 12:30,Kingston Park,Newcastle Falcons,Bath Rugby,
13,13/03/2021 14:45,Franklin's Gardens,Northampton Saints,Sale Sharks,
13,13/03/2021 15:00,Kingsholm,Gloucester Rugby,Leicester Tigers,
13,14/03/2021 13:00,Community Stadium,London Irish,Worcester Warriors,
14,19/03/2021 19:45,Kingston Park,Newcastle Falcons,Wasps,
14,20/03/2021 14:00,Twickenham Stoop,Harlequins,Gloucester Rugby,
14,20/03/2021 14:15,Recreation Ground,Bath Rugby,Worcester Warriors,
14,20/03/2021 14:30,Sandy Park,Exeter Chiefs,Leicester Tigers,
14,21/03/2021 15:00,Franklin's Gardens,Northampton Saints,Bristol Bears,
14,21/03/2021 15:00,AJ Bell Stadium,Sale Sharks,London Irish,
15,26/03/2021 19:45,Kingsholm,Gloucester Rugby,Exeter Chiefs,
15,27/03/2021 14:00,Ashton Gate,Bristol Bears,Harlequins,
15,27/03/2021 15:00,Community Stadium,London Irish,Bath Rugby,
15,27/03/2021 15:00,Sixways,Worcester Warriors,Northampton Saints,
15,27/03/2021 16:30,Ricoh Arena,Wasps,Sale Sharks,
15,28/03/2021 15:00,Welford Road,Leicester Tigers,Newcastle Falcons,
16,16/04/2021 15:00,Recreation Ground,Bath Rugby,Leicester Tigers,
16,16/04/2021 15:00,Sandy Park,Exeter Chiefs,Wasps,
16,16/04/2021 15:00,Twickenham Stoop,Harlequins,Worcester Warriors,
16,16/04/2021 15:00,Kingston Park,Newcastle Falcons,Bristol Bears,
16,16/04/2021 15:00,Franklin's Gardens,Northampton Saints,London Irish,
16,16/04/2021 15:00,AJ Bell Stadium,Sale Sharks,Gloucester Rugby,
17,23/04/2021 15:00,Ashton Gate,Bristol Bears,Exeter Chiefs,
17,23/04/2021 15:00,Kingsholm,Gloucester Rugby,Newcastle Falcons,
17,23/04/2021 15:00,Welford Road,Leicester Tigers,Northampton Saints,
17,23/04/2021 15:00,Community Stadium,London Irish,Harlequins,
17,23/04/2021 15:00,Ricoh Arena,Wasps,Bath Rugby,
17,23/04/2021 15:00,Sixways,Worcester Warriors,Sale Sharks,
18,07/05/2021 15:00,Recreation Ground,Bath Rugby,Bristol Bears,
18,07/05/2021 15:00,Sandy Park,Exeter Chiefs,Worcester Warriors,
18,07/05/2021 15:00,Twickenham Stoop,Harlequins,Wasps,
18,07/05/2021 15:00,Kingston Park,Newcastle Falcons,London Irish,
18,07/05/2021 15:00,Franklin's Gardens,Northampton Saints,Gloucester Rugby,
18,07/05/2021 15:00,AJ Bell Stadium,Sale Sharks,Leicester Tigers,
19,14/05/2021 15:00,Recreation Ground,Bath Rugby,Sale Sharks,
19,14/05/2021 15:00,Ashton Gate,Bristol Bears,Gloucester Rugby,
19,14/05/2021 15:00,Welford Road,Leicester Tigers,Harlequins,
19,14/05/2021 15:00,Community Stadium,London Irish,Exeter Chiefs,
19,14/05/2021 15:00,Kingston Park,Newcastle Falcons,Northampton Saints,
19,14/05/2021 15:00,Ricoh Arena,Wasps,Worcester Warriors,
20,28/05/2021 15:00,Sandy Park,Exeter Chiefs,Newcastle Falcons,
20,28/05/2021 15:00,Kingsholm,Gloucester Rugby,London Irish,
20,28/05/2021 15:00,Twickenham Stoop,Harlequins,Bath Rugby,
20,28/05/2021 15:00,Franklin's Gardens,Northampton Saints,Wasps,
20,28/05/2021 15:00,AJ Bell Stadium,Sale Sharks,Bristol Bears,
20,28/05/2021 15:00,Sixways,Worcester Warriors,Leicester Tigers,
21,04/06/2021 15:00,Kingsholm,Gloucester Rugby,Bath Rugby,
21,04/06/2021 15:00,Welford Road,Leicester Tigers,Bristol Bears,
21,04/06/2021 15:00,Community Stadium,London Irish,Wasps,
21,04/06/2021 15:00,Kingston Park,Newcastle Falcons,Worcester Warriors,
21,04/06/2021 15:00,Franklin's Gardens,Northampton Saints,Exeter Chiefs,
21,04/06/2021 15:00,AJ Bell Stadium,Sale Sharks,Harlequins,
22,12/06/2021 15:00,Recreation Ground,Bath Rugby,Northampton Saints,
22,12/06/2021 15:00,Ashton Gate,Bristol Bears,London Irish,
22,12/06/2021 15:00,Sandy Park,Exeter Chiefs,Sale Sharks,
22,12/06/2021 15:00,Twickenham Stoop,Harlequins,Newcastle Falcons,
22,12/06/2021 15:00,Ricoh Arena,Wasps,Leicester Tigers,
22,12/06/2021 15:00,Sixways,Worcester Warriors,Gloucester Rugby,
Semi Finals,18/06/2021 15:00,TBA,To be announced,To be announced,
Semi Finals,19/06/2021 15:00,TBA,To be announced,To be announced,
Final,26/06/2021 15:00,Twickenham Stadium,To be announced,To be announced,
