Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,17/09/2021 19:45,Ashton Gate,Bristol Bears,Saracens,
2,1,18/09/2021 15:00,Mattioli Woods Welford Road,Leicester Tigers,Exeter Chiefs,
3,1,18/09/2021 15:00,Franklin's Gardens,Northampton Saints,Gloucester Rugby,
5,1,18/09/2021 15:00,Sixways,Worcester Warriors,London Irish,
4,1,18/09/2021 17:00,AJ Bell Stadium,Sale Sharks,Bath Rugby,
6,1,19/09/2021 15:00,Kingston Park,Newcastle Falcons,Harlequins,
7,2,24/09/2021 19:45,Kingsholm,Gloucester Rugby,Leicester Tigers,
8,2,25/09/2021 15:00,Recreation Ground,Bath Rugby,Newcastle Falcons,
9,2,25/09/2021 15:00,Sandy Park,Exeter Chiefs,Northampton Saints,
10,2,25/09/2021 15:00,Twickenham Stoop,Harlequins,Worcester Warriors,
11,2,25/09/2021 15:00,Coventry Building Society Arena,Wasps,Bristol Bears,
12,2,26/09/2021 15:00,Community Stadium,London Irish,Sale Sharks,
13,3,01/10/2021 19:45,Ashton Gate,Bristol Bears,Bath Rugby,
14,3,02/10/2021 14:00,Franklin's Gardens,Northampton Saints,London Irish,
15,3,02/10/2021 15:00,Mattioli Woods Welford Road,Leicester Tigers,Saracens,
16,3,02/10/2021 15:00,Kingston Park,Newcastle Falcons,Wasps,
17,3,02/10/2021 15:00,Sixways,Worcester Warriors,Gloucester Rugby,
18,3,03/10/2021 15:00,AJ Bell Stadium,Sale Sharks,Exeter Chiefs,
19,4,08/10/2021 19:45,Twickenham Stoop,Harlequins,Bristol Bears,
20,4,09/10/2021 15:00,Sandy Park,Exeter Chiefs,Worcester Warriors,
21,4,09/10/2021 15:00,Kingsholm,Gloucester Rugby,Sale Sharks,
22,4,09/10/2021 15:00,Community Stadium,London Irish,Leicester Tigers,
23,4,09/10/2021 15:00,StoneX Stadium,Saracens,Newcastle Falcons,
24,4,10/10/2021 15:00,Coventry Building Society Arena,Wasps,Northampton Saints,
25,5,15/10/2021 19:45,AJ Bell Stadium,Sale Sharks,Harlequins,
26,5,16/10/2021 15:00,Kingston Park,Newcastle Falcons,Bristol Bears,
27,5,16/10/2021 15:00,Coventry Building Society Arena,Wasps,Exeter Chiefs,
28,5,16/10/2021 15:00,Sixways,Worcester Warriors,Leicester Tigers,
29,5,17/10/2021 15:00,Recreation Ground,Bath Rugby,Saracens,
30,5,17/10/2021 15:00,Community Stadium,London Irish,Gloucester Rugby,
31,6,22/10/2021 19:45,Franklin's Gardens,Northampton Saints,Worcester Warriors,
32,6,23/10/2021 15:00,Sandy Park,Exeter Chiefs,London Irish,
33,6,23/10/2021 15:00,Kingsholm,Gloucester Rugby,Newcastle Falcons,
34,6,23/10/2021 15:00,Twickenham Stoop,Harlequins,Bath Rugby,
35,6,23/10/2021 15:00,Mattioli Woods Welford Road,Leicester Tigers,Sale Sharks,
36,6,24/10/2021 15:00,StoneX Stadium,Saracens,Wasps,
37,7,29/10/2021 19:45,Kingsholm,Gloucester Rugby,Exeter Chiefs,
38,7,30/10/2021 15:00,Recreation Ground,Bath Rugby,Wasps,
39,7,30/10/2021 15:00,Community Stadium,London Irish,Bristol Bears,
40,7,30/10/2021 15:00,Franklin's Gardens,Northampton Saints,Leicester Tigers,
41,7,30/10/2021 15:00,Sixways,Worcester Warriors,Sale Sharks,
42,7,31/10/2021 15:00,Twickenham Stoop,Harlequins,Saracens,
43,8,06/11/2021 15:00,Ashton Gate,Bristol Bears,Worcester Warriors,
44,8,06/11/2021 15:00,Sandy Park,Exeter Chiefs,Newcastle Falcons,
45,8,06/11/2021 15:00,Mattioli Woods Welford Road,Leicester Tigers,Bath Rugby,
46,8,06/11/2021 15:00,AJ Bell Stadium,Sale Sharks,Northampton Saints,
47,8,06/11/2021 15:00,StoneX Stadium,Saracens,London Irish,
48,8,06/11/2021 15:00,Coventry Building Society Arena,Wasps,Harlequins,
49,9,27/11/2021 15:00,Recreation Ground,Bath Rugby,Exeter Chiefs,
50,9,27/11/2021 15:00,Ashton Gate,Bristol Bears,Northampton Saints,
51,9,27/11/2021 15:00,Twickenham Stoop,Harlequins,London Irish,
52,9,27/11/2021 15:00,Kingston Park,Newcastle Falcons,Worcester Warriors,
53,9,27/11/2021 15:00,StoneX Stadium,Saracens,Sale Sharks,
54,9,27/11/2021 15:00,Coventry Building Society Arena,Wasps,Gloucester Rugby,
55,10,04/12/2021 15:00,Sandy Park,Exeter Chiefs,Saracens,
56,10,04/12/2021 15:00,Kingsholm,Gloucester Rugby,Bristol Bears,
57,10,04/12/2021 15:00,Mattioli Woods Welford Road,Leicester Tigers,Harlequins,
58,10,04/12/2021 15:00,Community Stadium,London Irish,Newcastle Falcons,
59,10,04/12/2021 15:00,Franklin's Gardens,Northampton Saints,Bath Rugby,
60,10,04/12/2021 15:00,Sixways,Worcester Warriors,Wasps,
61,11,26/12/2021 15:00,Recreation Ground,Bath Rugby,Gloucester Rugby,
62,11,26/12/2021 15:00,Ashton Gate,Bristol Bears,Leicester Tigers,
63,11,26/12/2021 15:00,Twickenham Stoop,Harlequins,Northampton Saints,
64,11,26/12/2021 15:00,Kingston Park,Newcastle Falcons,Sale Sharks,
65,11,26/12/2021 15:00,StoneX Stadium,Saracens,Worcester Warriors,
66,11,26/12/2021 15:00,Coventry Building Society Arena,Wasps,London Irish,
67,12,01/01/2022 15:00,Sandy Park,Exeter Chiefs,Bristol Bears,
68,12,01/01/2022 15:00,Kingsholm,Gloucester Rugby,Harlequins,
69,12,01/01/2022 15:00,Mattioli Woods Welford Road,Leicester Tigers,Newcastle Falcons,
70,12,01/01/2022 15:00,Community Stadium,London Irish,Bath Rugby,
71,12,01/01/2022 15:00,Franklin's Gardens,Northampton Saints,Saracens,
72,12,01/01/2022 15:00,AJ Bell Stadium,Sale Sharks,Wasps,
73,13,08/01/2022 15:00,Recreation Ground,Bath Rugby,Worcester Warriors,
74,13,08/01/2022 15:00,Ashton Gate,Bristol Bears,Sale Sharks,
75,13,08/01/2022 15:00,Twickenham Stoop,Harlequins,Exeter Chiefs,
76,13,08/01/2022 15:00,Kingston Park,Newcastle Falcons,Northampton Saints,
77,13,08/01/2022 15:00,StoneX Stadium,Saracens,Gloucester Rugby,
78,13,08/01/2022 15:00,Coventry Building Society Arena,Wasps,Leicester Tigers,
79,14,29/01/2022 15:00,Recreation Ground,Bath Rugby,Harlequins,
80,14,29/01/2022 15:00,Community Stadium,London Irish,Exeter Chiefs,
81,14,29/01/2022 15:00,Kingston Park,Newcastle Falcons,Gloucester Rugby,
82,14,29/01/2022 15:00,AJ Bell Stadium,Sale Sharks,Leicester Tigers,
83,14,29/01/2022 15:00,Coventry Building Society Arena,Wasps,Saracens,
84,14,29/01/2022 15:00,Sixways,Worcester Warriors,Northampton Saints,
85,15,05/02/2022 15:00,Ashton Gate,Bristol Bears,Newcastle Falcons,
86,15,05/02/2022 15:00,Sandy Park,Exeter Chiefs,Wasps,
87,15,05/02/2022 15:00,Kingsholm,Gloucester Rugby,London Irish,
88,15,05/02/2022 15:00,Twickenham Stoop,Harlequins,Sale Sharks,
89,15,05/02/2022 15:00,Mattioli Woods Welford Road,Leicester Tigers,Worcester Warriors,
90,15,05/02/2022 15:00,StoneX Stadium,Saracens,Bath Rugby,
91,16,12/02/2022 15:00,Ashton Gate,Bristol Bears,London Irish,
92,16,12/02/2022 15:00,Sandy Park,Exeter Chiefs,Gloucester Rugby,
93,16,12/02/2022 15:00,Mattioli Woods Welford Road,Leicester Tigers,Northampton Saints,
94,16,12/02/2022 15:00,AJ Bell Stadium,Sale Sharks,Worcester Warriors,
95,16,12/02/2022 15:00,StoneX Stadium,Saracens,Harlequins,
96,16,12/02/2022 15:00,Coventry Building Society Arena,Wasps,Bath Rugby,
97,17,19/02/2022 15:00,Recreation Ground,Bath Rugby,Leicester Tigers,
98,17,19/02/2022 15:00,Twickenham Stoop,Harlequins,Wasps,
99,17,19/02/2022 15:00,Community Stadium,London Irish,Saracens,
100,17,19/02/2022 15:00,Kingston Park,Newcastle Falcons,Exeter Chiefs,
101,17,19/02/2022 15:00,Franklin's Gardens,Northampton Saints,Sale Sharks,
102,17,19/02/2022 15:00,Sixways,Worcester Warriors,Bristol Bears,
103,18,26/02/2022 15:00,Ashton Gate,Bristol Bears,Wasps,
104,18,26/02/2022 15:00,Mattioli Woods Welford Road,Leicester Tigers,Gloucester Rugby,
105,18,26/02/2022 15:00,Kingston Park,Newcastle Falcons,Bath Rugby,
106,18,26/02/2022 15:00,Franklin's Gardens,Northampton Saints,Exeter Chiefs,
107,18,26/02/2022 15:00,AJ Bell Stadium,Sale Sharks,London Irish,
108,18,26/02/2022 15:00,Sixways,Worcester Warriors,Harlequins,
109,19,05/03/2022 15:00,Recreation Ground,Bath Rugby,Bristol Bears,
110,19,05/03/2022 15:00,Sandy Park,Exeter Chiefs,Sale Sharks,
111,19,05/03/2022 15:00,Kingsholm,Gloucester Rugby,Northampton Saints,
112,19,05/03/2022 15:00,Twickenham Stoop,Harlequins,Newcastle Falcons,
113,19,05/03/2022 15:00,Community Stadium,London Irish,Worcester Warriors,
114,19,05/03/2022 15:00,StoneX Stadium,Saracens,Leicester Tigers,
115,20,12/03/2022 15:00,Ashton Gate,Bristol Bears,Harlequins,
