Round Number,Date,Location,Home Team,Away Team,Result
1,01/09/2017 19:45,Kingsholm,Gloucester Rugby,Exeter Chiefs,28 - 21
1,01/09/2017 19:45,Kingston Park,Newcastle Falcons,Worcester Warriors,35 - 8
1,02/09/2017 14:00,Twickenham Stadium,Saracens,Northampton Saints,55 - 24
1,02/09/2017 15:00,Ricoh Arena,Wasps,Sale Sharks,50 - 35
1,02/09/2017 16:45,Twickenham Stadium,London Irish,Harlequins,39 - 29
1,03/09/2017 15:00,Welford Road,Leicester Tigers,Bath Rugby,23 - 27
2,08/09/2017 19:45,AJ Bell Stadium,Sale Sharks,Newcastle Falcons,12 - 13
2,09/09/2017 14:00,Recreation Ground,Bath Rugby,Saracens,31 - 21
2,09/09/2017 15:00,Sandy Park,Exeter Chiefs,London Irish,37 - 7
2,09/09/2017 15:00,Twickenham Stoop,Harlequins,Gloucester Rugby,28 - 17
2,09/09/2017 16:30,Franklin's Gardens,Northampton Saints,Leicester Tigers,24 - 11
2,10/09/2017 15:00,Sixways,Worcester Warriors,Wasps,10 - 24
3,15/09/2017 19:45,Franklin's Gardens,Northampton Saints,Bath Rugby,24 - 6
3,15/09/2017 19:45,Sixways,Worcester Warriors,Exeter Chiefs,10 - 41
3,15/09/2017 20:00,AJ Bell Stadium,Sale Sharks,London Irish,36 - 7
3,16/09/2017 15:00,Welford Road,Leicester Tigers,Gloucester Rugby,24 - 10
3,16/09/2017 21:30,Talen Energy Stadium,Newcastle Falcons,Saracens,7 - 29
3,17/09/2017 15:00,Ricoh Arena,Wasps,Harlequins,21 - 24
4,22/09/2017 19:45,Kingsholm,Gloucester Rugby,Worcester Warriors,24 - 19
4,23/09/2017 15:00,Recreation Ground,Bath Rugby,Newcastle Falcons,23 - 33
4,23/09/2017 15:00,Twickenham Stoop,Harlequins,Leicester Tigers,28 - 31
4,23/09/2017 15:00,Allianz Park,Saracens,Sale Sharks,41 - 13
4,24/09/2017 15:00,Sandy Park,Exeter Chiefs,Wasps,31 - 17
4,24/09/2017 15:00,Madejski Stadium,London Irish,Northampton Saints,25 - 40
5,29/09/2017 19:45,Kingston Park,Newcastle Falcons,London Irish,29 - 17
5,29/09/2017 19:45,Sixways,Worcester Warriors,Saracens,3 - 25
5,29/09/2017 20:00,AJ Bell Stadium,Sale Sharks,Gloucester Rugby,57 - 10
5,30/09/2017 15:00,Welford Road,Leicester Tigers,Exeter Chiefs,20 - 13
5,30/09/2017 15:00,Franklin's Gardens,Northampton Saints,Harlequins,30 - 22
5,01/10/2017 15:00,Ricoh Arena,Wasps,Bath Rugby,9 - 25
6,06/10/2017 19:45,Twickenham Stoop,Harlequins,Sale Sharks,42 - 26
6,07/10/2017 15:00,Recreation Ground,Bath Rugby,Worcester Warriors,29 - 13
6,07/10/2017 15:00,Sandy Park,Exeter Chiefs,Newcastle Falcons,34 - 24
6,07/10/2017 15:00,Kingsholm,Gloucester Rugby,Northampton Saints,29 - 24
6,07/10/2017 15:00,Madejski Stadium,London Irish,Leicester Tigers,27 - 28
6,08/10/2017 15:00,Allianz Park,Saracens,Wasps,38 - 19
7,27/10/2017 19:45,AJ Bell Stadium,Sale Sharks,Exeter Chiefs,6 - 10
7,28/10/2017 15:00,Twickenham Stoop,Harlequins,Worcester Warriors,41 - 35
7,28/10/2017 15:00,Franklin's Gardens,Northampton Saints,Wasps,22 - 38
7,28/10/2017 15:00,Allianz Park,Saracens,London Irish,44 - 13
7,29/10/2017 15:00,Recreation Ground,Bath Rugby,Gloucester Rugby,21 - 22
7,29/10/2017 15:00,Kingston Park,Newcastle Falcons,Leicester Tigers,13 - 30
8,17/11/2017 19:45,Kingsholm,Gloucester Rugby,Saracens,23 - 17
8,18/11/2017 13:00,Sixways,Worcester Warriors,Northampton Saints,30 - 15
8,18/11/2017 16:30,Ricoh Arena,Wasps,Newcastle Falcons,40 - 10
8,19/11/2017 15:00,Welford Road,Leicester Tigers,Sale Sharks,35 - 27
8,19/11/2017 15:00,Sandy Park,Exeter Chiefs,Harlequins,31 - 17
8,19/11/2017 15:00,Madejski Stadium,London Irish,Bath Rugby,18 - 22
9,24/11/2017 19:45,Kingston Park,Newcastle Falcons,Gloucester Rugby,7 - 29
9,25/11/2017 12:45,Recreation Ground,Bath Rugby,Harlequins,38 - 14
9,25/11/2017 15:00,Welford Road,Leicester Tigers,Worcester Warriors,27 - 31
9,25/11/2017 17:30,AJ Bell Stadium,Sale Sharks,Northampton Saints,18 - 15
9,26/11/2017 15:00,Madejski Stadium,London Irish,Wasps,13 - 17
9,26/11/2017 15:00,Allianz Park,Saracens,Exeter Chiefs,18 - 20
10,01/12/2017 19:45,Franklin's Gardens,Northampton Saints,Newcastle Falcons,22 - 24
10,01/12/2017 19:45,Sixways,Worcester Warriors,Sale Sharks,14 - 18
10,02/12/2017 14:00,Sandy Park,Exeter Chiefs,Bath Rugby,42 - 29
10,02/12/2017 15:00,Kingsholm,Gloucester Rugby,London Irish,39 - 15
10,02/12/2017 16:30,Ricoh Arena,Wasps,Leicester Tigers,32 - 25
10,03/12/2017 15:00,Twickenham Stoop,Harlequins,Saracens,20 - 19
11,22/12/2017 19:45,Sixways,Worcester Warriors,London Irish,23 - 8
11,23/12/2017 15:00,Kingston Park,Newcastle Falcons,Harlequins,11 - 10
11,23/12/2017 15:00,Franklin's Gardens,Northampton Saints,Exeter Chiefs,14 - 35
11,23/12/2017 15:00,AJ Bell Stadium,Sale Sharks,Bath Rugby,32 - 9
11,23/12/2017 15:00,Ricoh Arena,Wasps,Gloucester Rugby,49 - 24
11,24/12/2017 15:00,Welford Road,Leicester Tigers,Saracens,17 - 29
12,29/12/2017 19:45,Recreation Ground,Bath Rugby,Wasps,26 - 31
12,30/12/2017 15:00,Kingsholm,Gloucester Rugby,Sale Sharks,20 - 16
12,30/12/2017 15:00,Madejski Stadium,London Irish,Newcastle Falcons,15 - 20
12,30/12/2017 15:00,Allianz Park,Saracens,Worcester Warriors,46 - 31
