date,event,city,site,team,e_p,opponent,e_p
2021-03-13,2021 Rugby Europe Championship,Lisbon,home,Portugal,17.3,Romania,21.0
2021-03-13,2021 Six Nations,London,home,England,25.8,France,14.2
2021-03-13,2021 Six Nations,Roma,home,Italy,14.8,Wales,29.2
2021-03-14,2021 Rugby Europe Championship,Madrid,home,Spain,12.9,Georgia,18.6
2021-03-14,2021 Six Nations,Edinburgh,home,Scotland,18.2,Ireland,19.4
2021-03-20,2021 Rugby Europe Championship,Bucuresti,home,Romania,19.4,Spain,14.1
2021-03-20,2021 Rugby Europe Championship,Kaliningrad,home,Russian Federation,13.2,Georgia,23.7
2021-03-20,2021 Six Nations,Saint-Denis,home,France,20.5,Wales,16.7
2021-03-20,2021 Six Nations,Dublin,home,Ireland,19.2,England,17.4
2021-03-20,2021 Six Nations,Edinburgh,home,Scotland,36.4,Italy,13.4
