date,event,city,site,team,e_p,opponent,e_p,e_d
2025-11-22,Autumn Nations Series 2025,Saint-Denis,home,France,34.26,Australia,19.09,15.17
2025-11-22,Autumn Nations Series 2025,Dublin,home,Ireland,19.56,South Africa,20.37,-0.80
2025-11-22,Autumn Nations Series 2025,Genova,home,Italy,44.10,Chile,13.87,30.24
2025-11-22,Autumn Nations Series 2025,Cardiff,home,Wales,14.22,New Zealand,36.74,-22.52
2025-11-22,Men's Internationals 2025,Tbilisi,home,Georgia,26.00,Japan,22.08,3.92
2025-11-22,Men's Internationals 2025,Coimbra,home,Portugal,37.09,Canada,21.49,15.60
2025-11-22,Men's Internationals 2025,Bucharest,home,Romania,15.88,Uruguay,33.72,-17.84
2025-11-22,Men's Internationals 2025,Malaga,home,Spain,14.86,Fiji,42.83,-27.97
2025-11-22,Rugby Europe Trophy 2026,Gdynia,home,Poland,29.05,Czechia,17.74,11.31
2025-11-23,Autumn Nations Series 2025,London,home,England,29.03,Argentina,21.26,7.77
2025-11-23,Autumn Nations Series 2025,Edinburgh,home,Scotland,51.60,Tonga,10.08,41.52
2025-11-29,Autumn Nations Series 2025,Cardiff,home,Wales,12.20,South Africa,35.01,-22.81
2025-12-06,Rugby Europe Conference 2026,Luxembourg,home,Luxembourg,107.40,Estonia,1.56,105.84
