Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,06/08/2021 19:05,Central Energy Trust Arena,Manawatu,Counties Manukau,,39 - 21
2,1,07/08/2021 14:05,Pukekura Park,Taranaki,Hawke’s Bay,,33 - 19
3,1,07/08/2021 14:05,Sky Stadium,Wellington,Northland,,54 - 7
4,1,07/08/2021 16:35,Forsyth Barr Stadium,Otago,Southland,,26 - 19
5,1,08/08/2021 14:05,Tauranga Domain,Bay Of Plenty,Tasman,,14 - 27
6,1,08/08/2021 14:05,North Harbour Stadium,North Harbour,Waikato,,15 - 28
7,1,08/08/2021 16:35,Eden Park,Auckland,Canterbury,,35 - 24
8,2,13/08/2021 19:05,Navigation Homes Stadium,Counties Manukau,North Harbour,,6 - 14
9,2,14/08/2021 14:05,Trafalgar Park,Tasman,Auckland,,16 - 11
11,2,14/08/2021 14:05,Orangetheory Stadium,Canterbury,Manawatu,,25 - 22
10,2,14/08/2021 16:35,McLean Park,Hawke’s Bay,Otago,,34 - 10
12,2,15/08/2021 14:05,Rugby Park,Southland,Bay Of Plenty,,11 - 31
13,2,15/08/2021 14:05,FMG Stadium Waikato,Waikato,Wellington,,43 - 37
14,2,15/08/2021 16:35,Semenoff Stadium,Northland,Taranaki,,14 - 48
15,3,20/08/2021 19:05,North Harbour Stadium,North Harbour,Southland,,
16,3,21/08/2021 14:05,Orangetheory Stadium,Canterbury,Hawke’s Bay,,
17,3,21/08/2021 16:35,FMG Stadium Waikato,Waikato,Taranaki,,
18,3,21/08/2021 19:05,Eden Park,Auckland,Bay Of Plenty,,
19,3,22/08/2021 14:05,Semenoff Stadium,Northland,Otago,,
20,3,22/08/2021 14:05,Trafalgar Park,Tasman,Counties Manukau,,
21,3,22/08/2021 16:35,Central Energy Trust Arena,Manawatu,Wellington,,
22,4,27/08/2021 19:05,Forsyth Barr Stadium,Otago,Canterbury,,
23,4,28/08/2021 14:05,McLean Park,Hawke’s Bay,Waikato,,
24,4,28/08/2021 16:35,North Harbour Stadium,North Harbour,Tasman,,
25,4,28/08/2021 19:05,Rugby Park,Southland,Counties Manukau,,
26,4,29/08/2021 14:05,Tauranga Domain,Bay Of Plenty,Northland,,
27,4,29/08/2021 14:05,TET Stadium,Taranaki,Manawatu,,
28,4,29/08/2021 16:35,Sky Stadium,Wellington,Auckland,,
29,5,03/09/2021 19:05,Rugby Park,Southland,Northland,,
30,5,04/09/2021 14:05,Tauranga Domain,Bay Of Plenty,Waikato,,
31,5,04/09/2021 16:35,Orangetheory Stadium,Canterbury,Tasman,,
32,5,04/09/2021 19:05,Sky Stadium,Wellington,North Harbour,,
33,5,05/09/2021 14:05,Navigation Homes Stadium,Counties Manukau,Taranaki,,
34,5,05/09/2021 14:05,Central Energy Trust Arena,Manawatu,Hawke’s Bay,,
35,5,05/09/2021 16:35,Forsyth Barr Stadium,Otago,Auckland,,
36,6,10/09/2021 19:05,McLean Park,Hawke’s Bay,North Harbour,,
37,6,11/09/2021 14:05,TET Stadium,Taranaki,Southland,,
38,6,11/09/2021 14:05,Lansdowne Park,Tasman,Wellington,,
41,6,11/09/2021 16:35,Semenoff Stadium,Northland,Counties Manukau,,
39,6,12/09/2021 14:05,Eden Park,Auckland,Manawatu,,
40,6,12/09/2021 14:05,Orangetheory Stadium,Canterbury,Bay Of Plenty,,
42,6,12/09/2021 16:35,FMG Stadium Waikato,Waikato,Otago,,
43,7,17/09/2021 19:05,Eden Park,Auckland,Southland,,
44,7,18/09/2021 14:05,TET Stadium,Taranaki,Wellington,,32 - 26
46,7,18/09/2021 14:05,Semenoff Stadium,Northland,Tasman,,29 - 48
45,7,18/09/2021 16:35,North Harbour Stadium,North Harbour,Manawatu,,
47,7,19/09/2021 14:05,McLean Park,Hawke’s Bay,Bay Of Plenty,,33 - 33
48,7,19/09/2021 14:05,FMG Stadium Waikato,Waikato,Canterbury,,19 - 20
49,7,19/09/2021 16:35,Navigation Homes Stadium,Counties Manukau,Otago,,
50,8,24/09/2021 19:05,Trafalgar Park,Tasman,Waikato,,22 - 39
51,8,25/09/2021 14:05,Rugby Park,Southland,Canterbury,,16 - 19
52,8,25/09/2021 16:35,Navigation Homes Stadium,Counties Manukau,Auckland,,
53,8,25/09/2021 19:05,Central Energy Trust Arena,Manawatu,Northland,,31 - 19
54,8,26/09/2021 14:05,Forsyth Barr Stadium,Otago,North Harbour,,
55,8,26/09/2021 14:05,Sky Stadium,Wellington,Hawke’s Bay,,28 - 31
56,8,26/09/2021 16:35,Tauranga Domain,Bay Of Plenty,Taranaki,,28 - 55
57,9,01/10/2021 19:05,Orangetheory Stadium,Canterbury,Counties Manukau,,
58,9,02/10/2021 14:05,Semenoff Stadium,Northland,Waikato,,38 - 28
59,9,02/10/2021 16:35,Central Energy Trust Arena,Manawatu,Otago,,27 - 14
60,9,02/10/2021 19:05,Rotorua International Stadium,Bay Of Plenty,Wellington,,33 - 32
61,9,03/10/2021 14:05,Eden Park,Auckland,Hawke’s Bay,,
62,9,03/10/2021 14:05,TET Stadium,Taranaki,North Harbour,,
63,9,03/10/2021 16:35,Lansdowne Park,Tasman,Southland,,51 - 14
64,10,08/10/2021 19:05,Sky Stadium,Wellington,Canterbury,,
65,10,09/10/2021 14:05,FMG Stadium Waikato,Waikato,Auckland,,
66,10,09/10/2021 16:35,McLean Park,Hawke’s Bay,Tasman,,
67,10,09/10/2021 19:05,Forsyth Barr Stadium,Otago,Taranaki,,
68,10,10/10/2021 14:05,North Harbour Stadium,North Harbour,Northland,,
69,10,10/10/2021 14:05,Rugby Park,Southland,Manawatu,,
70,10,10/10/2021 16:35,Navigation Homes Stadium,Counties Manukau,Bay Of Plenty,,
