Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,16/08/2018 19:35,QBE Stadium,North Harbour,Northland,,21 - 20
2,1,17/08/2018 19:35,Lansdowne Park,Tasman,Canterbury,,25 - 17
3,1,18/08/2018 14:35,Central Energy Trust Arena,Manawatu,Waikato,,24 - 19
4,1,18/08/2018 17:05,Eden Park,Auckland,Counties Manukau,,23 - 19
5,1,18/08/2018 19:35,Rotorua International Stadium,Bay of Plenty,Taranaki,,30 - 10
6,1,19/08/2018 14:05,Westpac Stadium,Wellington,Otago,,34 - 16
7,1,19/08/2018 16:35,Rugby Park,Southland,Hawke’s Bay,,10 - 31
8,2,23/08/2018 19:35,Navigation Homes Stadium,Counties Manukau,Bay of Plenty,,17 - 22
9,2,24/08/2018 17:45,Forsyth Barr Stadium,Otago,Hawke’s Bay,,25 - 31
10,2,24/08/2018 19:45,Yarrow Stadium,Taranaki,Manawatu,,41 - 21
11,2,25/08/2018 14:05,Christchurch Stadium,Canterbury,Wellington,,27 - 20
12,2,25/08/2018 16:35,FMG Stadium Waikato,Waikato,North Harbour,,28 - 29
13,2,26/08/2018 14:05,Lansdowne Park,Tasman,Southland,,45 - 24
14,2,26/08/2018 16:35,Toll Stadium,Northland,Auckland,,12 - 28
15,3,29/08/2018 19:35,Navigation Homes Stadium,Counties Manukau,Taranaki,,19 - 26
16,3,30/08/2018 19:35,Eden Park,Auckland,Waikato,,35 - 17
17,3,31/08/2018 19:35,Westpac Stadium,Wellington,Southland,,52 - 7
18,3,01/09/2018 14:35,Tauranga Domain,Bay of Plenty,Canterbury,,19 - 31
19,3,01/09/2018 17:05,Central Energy Trust Arena,Manawatu,Otago,,17 - 50
20,3,01/09/2018 19:35,QBE Stadium,North Harbour,Tasman,,20 - 32
21,3,02/09/2018 14:05,McLean Park,Hawke’s Bay,Counties Manukau,,25 - 29
22,3,02/09/2018 16:35,Toll Stadium,Northland,Taranaki,,18 - 17
23,4,05/09/2018 19:35,FMG Stadium Waikato,Waikato,Wellington,,43 - 31
24,4,06/09/2018 19:35,Christchurch Stadium,Canterbury,Manawatu,,24 - 23
25,4,07/09/2018 17:45,Forsyth Barr Stadium,Otago,Northland,,27 - 23
26,4,07/09/2018 19:45,Eden Park,Auckland,Tasman,,36 - 10
27,4,08/09/2018 14:05,Rugby Park,Southland,Counties Manukau,,26 - 43
28,4,08/09/2018 16:35,McLean Park,Hawke’s Bay,Bay of Plenty,,29 - 28
29,4,09/09/2018 14:05,Westpac Stadium,Wellington,North Harbour,,35 - 23
30,4,09/09/2018 16:35,Yarrow Stadium,Taranaki,Waikato,,19 - 33
31,5,12/09/2018 19:35,QBE Stadium,North Harbour,Canterbury,,21 - 31
32,5,13/09/2018 19:35,FMG Stadium Waikato,Waikato,Hawke’s Bay,,42 - 22
33,5,14/09/2018 17:45,Toll Stadium,Northland,Manawatu,,49 - 19
34,5,14/09/2018 19:45,Trafalgar Park,Tasman,Taranaki,,53 - 17
35,5,15/09/2018 14:05,Navigation Homes Stadium,Counties Manukau,Wellington,,12 - 53
36,5,15/09/2018 16:35,Rugby Park,Southland,Otago,,24 - 43
37,5,16/09/2018 14:05,QBE Stadium,North Harbour,Bay of Plenty,,32 - 20
38,5,16/09/2018 16:35,Christchurch Stadium,Canterbury,Auckland,,29 - 34
39,6,19/09/2018 19:35,Central Energy Trust Arena,Manawatu,Tasman,,19 - 29
40,6,20/09/2018 19:35,Toll Stadium,Northland,Southland,,26 - 10
41,6,21/09/2018 19:35,Rotorua International Stadium,Bay of Plenty,Waikato,,21 - 54
42,6,22/09/2018 14:35,McLean Park,Hawke’s Bay,North Harbour,,34 - 51
43,6,22/09/2018 17:05,Forsyth Barr Stadium,Otago,Canterbury,,25 - 47
44,6,22/09/2018 19:35,Yarrow Stadium,Taranaki,Auckland,,30 - 31
45,6,23/09/2018 14:05,Trafalgar Park,Tasman,Counties Manukau,,21 - 19
46,6,23/09/2018 16:35,Central Energy Trust Arena,Manawatu,Wellington,,7 - 49
