Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,11/09/2020 19:05,North Harbour Stadium,North Harbour,Canterbury,,29 - 43
2,1,12/09/2020 14:05,FMG Stadium Waikato,Waikato,Wellington,,53 - 28
3,1,12/09/2020 16:35,Forsyth Barr Stadium,Otago,Auckland,,6 - 38
4,1,12/09/2020 19:05,Navigation Homes Stadium,Counties Manukau,Tasman,,24 - 41
5,1,13/09/2020 14:05,Semenoff Stadium,Northland,Manawatu,,43 - 26
6,1,13/09/2020 14:05,TET Stadium & Events Centre,Taranaki,Bay of Plenty,,36 - 29
7,1,13/09/2020 16:35,Rugby Park,Southland,Hawke’s Bay,,16 - 10
8,2,18/09/2020 19:05,Lansdowne Park,Tasman,Northland,,54 - 21
9,2,19/09/2020 14:05,FMG Stadium Waikato,Waikato,North Harbour,,41 - 19
10,2,19/09/2020 16:35,Orangetheory Stadium,Canterbury,Taranaki,,22 - 23
11,2,19/09/2020 19:05,Rotorua International Stadium,Bay of Plenty,Southland,,17 - 14
12,2,20/09/2020 14:05,McLean Park,Hawke’s Bay,Counties Manukau,,31 - 17
13,2,20/09/2020 14:05,Central Energy Trust Arena,Manawatu,Otago,,25 - 36
14,2,20/09/2020 16:35,Eden Park,Auckland,Wellington,,21 - 39
15,3,25/09/2020 19:05,Sky Stadium,Wellington,Bay of Plenty,,32 - 10
16,3,26/09/2020 14:05,Trafalgar Park,Tasman,Waikato,,34 - 17
17,3,26/09/2020 16:35,Rugby Park,Southland,North Harbour,,11 - 10
18,3,26/09/2020 19:05,McLean Park,Hawke’s Bay,Canterbury,,20 - 19
19,3,27/09/2020 14:05,Eden Park,Auckland,Manawatu,,50 - 12
20,3,27/09/2020 14:05,TET Stadium & Events Centre,Taranaki,Otago,,19 - 30
21,3,27/09/2020 16:35,Navigation Homes Stadium,Counties Manukau,Northland,,15 - 24
22,4,02/10/2020 19:05,Rotorua International Stadium,Bay of Plenty,Auckland,,16 - 20
23,4,03/10/2020 14:05,Navigation Homes Stadium,Counties Manukau,Manawatu,,36 - 30
24,4,03/10/2020 16:35,Semenoff Stadium,Northland,Taranaki,,35 - 25
25,4,03/10/2020 19:05,Orangetheory Stadium,Canterbury,Wellington,,31 - 26
26,4,04/10/2020 14:05,North Harbour Stadium,North Harbour,Tasman,,40 - 24
27,4,04/10/2020 14:05,Rugby Park,Southland,Waikato,,9 - 10
28,4,04/10/2020 16:35,Forsyth Barr Stadium,Otago,Hawke’s Bay,,9 - 28
29,5,09/10/2020 19:05,Central Energy Trust Arena,Manawatu,Canterbury,,10 - 34
30,5,10/10/2020 14:05,TET Stadium & Events Centre,Taranaki,Auckland,,28 - 29
33,5,10/10/2020 14:05,North Harbour Stadium,North Harbour,Hawke’s Bay,,46 - 10
31,5,10/10/2020 16:35,Sky Stadium,Wellington,Otago,,34 - 35
32,5,10/10/2020 19:05,FMG Stadium Waikato,Waikato,Counties Manukau,,36 - 13
34,5,11/10/2020 13:15,Trafalgar Park,Tasman,Bay of Plenty,,33 - 7
35,5,11/10/2020 13:15,Semenoff Stadium,Northland,Southland,,18 - 14
36,6,16/10/2020 19:05,McLean Park,Hawke’s Bay,Northland,,33 - 17
37,6,17/10/2020 14:05,Central Energy Trust Arena,Manawatu,Bay of Plenty,,35 - 53
42,6,17/10/2020 14:05,Sky Stadium,Wellington,North Harbour,,25 - 20
38,6,17/10/2020 16:35,Eden Park,Auckland,Tasman,,31 - 10
39,6,17/10/2020 19:05,Rugby Park,Southland,Taranaki,,9 - 17
40,6,18/10/2020 13:15,Orangetheory Stadium,Canterbury,Waikato,,15 - 16
41,6,18/10/2020 13:15,Forsyth Barr Stadium,Otago,Counties Manukau,,40 - 22
43,7,23/10/2020 19:05,Forsyth Barr Stadium,Otago,Northland,,30 - 7
44,7,24/10/2020 14:05,Tauranga Domain,Bay of Plenty,Canterbury,,44 - 8
45,7,24/10/2020 16:35,McLean Park,Hawke’s Bay,Manawatu,,47 - 12
46,7,24/10/2020 19:05,North Harbour Stadium,North Harbour,Auckland,,23 - 22
47,7,25/10/2020 14:05,Trafalgar Park,Tasman,Southland,,47 - 10
48,7,25/10/2020 14:05,Navigation Homes Stadium,Counties Manukau,Wellington,,20 - 53
49,7,25/10/2020 16:35,FMG Stadium Waikato,Waikato,Taranaki,,27 - 20
50,8,30/10/2020 19:05,Orangetheory Stadium,Canterbury,Otago,,16 - 23
51,8,31/10/2020 14:05,Porirua Park,Wellington,Tasman,,3 - 19
