Round Number,Date,Location,Home Team,Away Team,Group,Result
1,16/08/2018 19:35,QBE Stadium,North Harbour,Northland,,21 - 20
1,17/08/2018 19:35,Lansdowne Park,Tasman,Canterbury,,25 - 17
1,18/08/2018 14:35,Central Energy Trust Arena,Manawatu,Waikato,,24 - 19
1,18/08/2018 17:05,Eden Park,Auckland,Counties Manukau,,23 - 19
1,18/08/2018 19:35,Rotorua International Stadium,Bay of Plenty,Taranaki,,30 - 10
1,19/08/2018 14:05,Westpac Stadium,Wellington,Otago,,34 - 16
1,19/08/2018 16:35,Rugby Park,Southland,Hawke’s Bay,,10 - 31
2,23/08/2018 19:35,Navigation Homes Stadium,Counties Manukau,Bay of Plenty,,17 - 22
2,24/08/2018 17:45,Forsyth Barr Stadium,Otago,Hawke’s Bay,,25 - 31
2,24/08/2018 19:45,Yarrow Stadium,Taranaki,Manawatu,,41 - 21
2,25/08/2018 14:05,Christchurch Stadium,Canterbury,Wellington,,27 - 20
2,25/08/2018 16:35,FMG Stadium Waikato,Waikato,North Harbour,,28 - 29
2,26/08/2018 14:05,Lansdowne Park,Tasman,Southland,,45 - 24
2,26/08/2018 16:35,Toll Stadium,Northland,Auckland,,12 - 28
3,29/08/2018 19:35,Navigation Homes Stadium,Counties Manukau,Taranaki,,19 - 26
3,30/08/2018 19:35,Eden Park,Auckland,Waikato,,35 - 17
3,31/08/2018 19:35,Westpac Stadium,Wellington,Southland,,52 - 7
3,01/09/2018 14:35,Tauranga Domain,Bay of Plenty,Canterbury,,19 - 31
3,01/09/2018 17:05,Central Energy Trust Arena,Manawatu,Otago,,17 - 50
3,01/09/2018 19:35,QBE Stadium,North Harbour,Tasman,,20 - 32
3,02/09/2018 14:05,McLean Park,Hawke’s Bay,Counties Manukau,,25 - 29
3,02/09/2018 16:35,Toll Stadium,Northland,Taranaki,,18 - 17
4,05/09/2018 19:35,FMG Stadium Waikato,Waikato,Wellington,,43 - 31
4,06/09/2018 19:35,Christchurch Stadium,Canterbury,Manawatu,,24 - 23
4,07/09/2018 17:45,Forsyth Barr Stadium,Otago,Northland,,27 - 23
4,07/09/2018 19:45,Eden Park,Auckland,Tasman,,36 - 10
4,08/09/2018 14:05,Rugby Park,Southland,Counties Manukau,,26 - 43
4,08/09/2018 16:35,McLean Park,Hawke’s Bay,Bay of Plenty,,29 - 28
4,09/09/2018 14:05,Westpac Stadium,Wellington,North Harbour,,35 - 23
4,09/09/2018 16:35,Yarrow Stadium,Taranaki,Waikato,,19 - 33
5,12/09/2018 19:35,QBE Stadium,North Harbour,Canterbury,,21 - 31
5,13/09/2018 19:35,FMG Stadium Waikato,Waikato,Hawke’s Bay,,42 - 22
5,14/09/2018 17:45,Toll Stadium,Northland,Manawatu,,49 - 19
5,14/09/2018 19:45,Trafalgar Park,Tasman,Taranaki,,53 - 17
5,15/09/2018 14:05,Navigation Homes Stadium,Counties Manukau,Wellington,,12 - 53
5,15/09/2018 16:35,Rugby Park,Southland,Otago,,24 - 43
5,16/09/2018 14:05,QBE Stadium,North Harbour,Bay of Plenty,,32 - 20
5,16/09/2018 16:35,Christchurch Stadium,Canterbury,Auckland,,29 - 34
6,19/09/2018 19:35,Central Energy Trust Arena,Manawatu,Tasman,,19 - 29
6,20/09/2018 19:35,Toll Stadium,Northland,Southland,,26 - 10
6,21/09/2018 19:35,Rotorua International Stadium,Bay of Plenty,Waikato,,21 - 54
6,22/09/2018 14:35,McLean Park,Hawke’s Bay,North Harbour,,34 - 51
6,22/09/2018 17:05,Forsyth Barr Stadium,Otago,Canterbury,,25 - 47
6,22/09/2018 19:35,Yarrow Stadium,Taranaki,Auckland,,30 - 31
6,23/09/2018 14:05,Trafalgar Park,Tasman,Counties Manukau,,21 - 19
6,23/09/2018 16:35,Central Energy Trust Arena,Manawatu,Wellington,,7 - 49
7,26/09/2018 19:35,McLean Park,Hawke’s Bay,Northland,,55 - 41
7,27/09/2018 19:35,Rotorua International Stadium,Bay of Plenty,Manawatu,,15 - 17
7,28/09/2018 19:35,Eden Park,Auckland,Otago,,26 - 31
7,29/09/2018 14:35,FMG Stadium Waikato,Waikato,Southland,,42 - 11
7,29/09/2018 17:05,Yarrow Stadium,Taranaki,North Harbour,,26 - 55
7,29/09/2018 19:35,Westpac Stadium,Wellington,Tasman,,22 - 28
7,30/09/2018 14:05,Christchurch Stadium,Canterbury,Hawke’s Bay,,49 - 24
7,30/09/2018 16:35,Navigation Homes Stadium,Counties Manukau,Northland,,20 - 24
8,03/10/2018 19:35,Forsyth Barr Stadium,Otago,Bay of Plenty,,45 - 34
8,04/10/2018 19:35,Westpac Stadium,Wellington,Auckland,,24 - 29
8,05/10/2018 19:35,McLean Park,Hawke’s Bay,Manawatu,,45 - 17
8,06/10/2018 14:35,Toll Stadium,Northland,Waikato,,28 - 71
8,06/10/2018 17:05,QBE Stadium,North Harbour,Counties Manukau,,36 - 26
8,06/10/2018 19:35,Christchurch Stadium,Canterbury,Taranaki,,41 - 7
8,07/10/2018 14:05,Rugby Park,Southland,Bay of Plenty,,22 - 26
8,07/10/2018 16:35,Forsyth Barr Stadium,Otago,Tasman,,21 - 47
9,10/10/2018 19:35,Rugby Park,Southland,Auckland,,8 - 56
9,11/10/2018 19:35,Trafalgar Park,Tasman,Hawke’s Bay,,29 - 0
9,12/10/2018 19:35,Yarrow Stadium,Taranaki,Wellington,,10 - 34
9,13/10/2018 14:35,Tauranga Domain,Bay of Plenty,Northland,,38 - 35
9,13/10/2018 17:05,FMG Stadium Waikato,Waikato,Otago,,19 - 23
9,13/10/2018 19:35,Navigation Homes Stadium,Counties Manukau,Canterbury,,14 - 19
9,14/10/2018 14:05,Eden Park,Auckland,North Harbour,,45 - 29
9,14/10/2018 16:35,Central Energy Trust Arena,Manawatu,Southland,,38 - 26
Semi Finals,19/10/2018 19:35,Trafalgar Park,Tasman,Canterbury,,16 - 21
Semi Finals,20/10/2018 14:35,FMG Stadium Waikato,Waikato,Northland,,48 - 26
Semi Finals,20/10/2018 17:05,Eden Park,Auckland,Wellington,,38 - 17
Semi Finals,20/10/2018 19:35,Forsyth Barr Stadium,Otago,Hawke’s Bay,,20 - 19
Finals,26/10/2018 19:35,FMG Stadium Waikato,Waikato,Otago,Mitre 10 Cup Championship Final,36 - 13
Finals,27/10/2018 16:05,Eden Park,Auckland,Canterbury,Mitre 10 Cup Premiership Final,40 - 33
