date,event,city,site,team,e_p,opponent,e_p
2015-10-11,Rugby World Cup 2015,Leicester,neutral,Argentina,46.7,Namibia,12.7
2015-10-11,Rugby World Cup 2015,Cardiff,neutral,France,13.8,Ireland,19.8
2015-10-11,Rugby World Cup 2015,Exeter,neutral,Italy,19.5,Romania,12.7
2015-10-11,Rugby World Cup 2015,Gloucester,neutral,United States,16.5,Japan,26.0
2015-10-17,"2016 European Nations Cup, Division 1B",Ukraine?,home,Ukraine,21.1,Poland,15.8
2015-10-17,Rugby World Cup 2015,London,neutral,South Africa,20.8,Wales,15.7
2015-10-18,Rugby World Cup 2015,London,neutral,Australia,26.9,Scotland,14.1
2015-10-24,"2016 European Nations Cup, Division 2A",Czech Republic?,home,Czech Republic,21.8,Switzerland,16.5
2015-10-24,"2016 European Nations Cup, Division 2B",Hungary?,home,Hungary,15.3,Lithuania,27.1
2015-10-24,"2016 European Nations Cup, Division 2C",Austria?,home,Austria,13.8,Luxembourg,13.4
2015-10-24,"2016 European Nations Cup, Division 2D",Bulgaria?,home,Bulgaria,23.4,Finland,21.7
2015-10-31,"2016 European Nations Cup, Division 2B",Latvia?,home,Latvia,17.9,Hungary,15.0
2015-10-31,"2016 European Nations Cup, Division 2B",Lithuania?,home,Lithuania,31.6,Andorra,9.7
2015-11-07,"2016 European Nations Cup, Division 1B",Sweden?,home,Sweden,17.0,"Moldova, Republic of",34.0
2015-11-07,"2016 European Nations Cup, Division 2A",Israel?,home,Israel,20.0,Croatia,21.0
2015-11-07,"2016 European Nations Cup, Division 2B",Cyprus?,home,Cyprus,28.3,Latvia,12.8
2015-11-07,"2016 European Nations Cup, Division 2C",Serbia?,home,Serbia,21.4,Slovenia,18.0
2015-11-13,Hong Kong Cup of Nations 2015,Hong Kong?,home,Hong Kong,19.7,Zimbabwe,19.1
2015-11-13,Hong Kong Cup of Nations 2015,Portugal?,home,Portugal,19.7,Russian Federation,20.5
2015-11-14,"2016 European Nations Cup, Division 1B",Poland?,home,Poland,19.7,"Moldova, Republic of",20.7
2015-11-14,"2016 European Nations Cup, Division 2A",Croatia?,home,Croatia,21.3,Malta,17.6
2015-11-14,"2016 European Nations Cup, Division 2A",Switzerland?,home,Switzerland,30.2,Israel,14.0
2015-11-14,"2016 European Nations Cup, Division 2C",Luxembourg?,home,Luxembourg,23.8,Serbia,13.0
2015-11-14,"2016 European Nations Cup, Division 2C",Slovenia?,home,Slovenia,18.1,Denmark,13.8
2015-11-17,Hong Kong Cup of Nations 2015,Hong Kong?,home,Hong Kong,16.9,Portugal,17.3
2015-11-17,Hong Kong Cup of Nations 2015,Zimbabwe?,home,Zimbabwe,21.8,Russian Federation,23.9
2015-11-21,"2016 European Nations Cup, Division 1B",Ukraine?,home,Ukraine,22.0,"Moldova, Republic of",21.9
2015-11-21,"2016 European Nations Cup, Division 2A",Malta?,home,Malta,16.6,Czech Republic,16.7
2015-11-21,Hong Kong Cup of Nations 2015,Hong Kong?,home,Hong Kong,17.9,Russian Federation,24.0
2015-11-21,Hong Kong Cup of Nations 2015,Portugal?,home,Portugal,21.8,Zimbabwe,16.4
2015-11-28,"2016 European Nations Cup, Division 2B",Andorra?,home,Andorra,13.6,Cyprus,20.1
