Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,12/03/2020 20:05,Bankwest Stadium,Eels,Bulldogs,8 - 2
2,1,13/03/2020 18:00,GIO Stadium,Raiders,Titans,24 - 6
3,1,13/03/2020 20:05,Queensland Country Bank Stadium,Cowboys,Broncos,21 - 28
4,1,14/03/2020 15:00,McDonald Jones Stadium,Knights,Warriors,20 - 0
5,1,14/03/2020 17:30,ANZ Stadium,Rabbitohs,Sharks,22 - 18
6,1,14/03/2020 19:35,Panthers Stadium,Panthers,Roosters,20 - 14
7,1,15/03/2020 16:05,Lottoland,Sea Eagles,Storm,4 - 18
8,1,15/03/2020 18:15,WIN Stadium,Dragons,Wests Tigers,14 - 24
9,2,19/03/2020 20:05,ANZ Stadium,Bulldogs,Cowboys,16 - 24
10,2,20/03/2020 18:00,Netstrata Jubilee Stadium,Dragons,Panthers,28 - 32
11,2,20/03/2020 20:05,Suncorp Stadium,Broncos,Rabbitohs,22 - 18
12,2,21/03/2020 15:00,Cbus Super Stadium,Warriors,Raiders,6 - 20
13,2,21/03/2020 17:30,Leichhardt Oval,Roosters,Sea Eagles,8 - 9
14,2,21/03/2020 19:35,Netstrata Jubilee Stadium,Sharks,Storm,10 - 12
15,2,22/03/2020 16:05,Leichhardt Oval,Wests Tigers,Knights,24 - 42
16,2,22/03/2020 18:15,Cbus Super Stadium,Titans,Eels,6 - 46
1,3,28/05/2020 19:50,Suncorp Stadium,Broncos,Eels,6 - 34
2,3,29/05/2020 18:00,Queensland Country Bank Stadium,Cowboys,Titans,36 - 6
3,3,29/05/2020 19:55,Bankwest Stadium,Roosters,Rabbitohs,28 - 12
4,3,30/05/2020 15:00,Central Coast Stadium,Warriors,Dragons,18 - 0
5,3,30/05/2020 17:30,Bankwest Stadium,Sharks,Wests Tigers,16 - 28
6,3,30/05/2020 19:35,AAMI Park,Storm,Raiders,6 - 22
7,3,31/05/2020 16:05,Campbelltown Stadium,Panthers,Knights,14 - 14
8,3,31/05/2020 18:30,Central Coast Stadium,Sea Eagles,Bulldogs,32 - 6
9,4,04/06/2020 19:50,Suncorp Stadium,Broncos,Roosters,0 - 59
10,4,05/06/2020 18:00,Campbelltown Stadium,Panthers,Warriors,26 - 0
11,4,05/06/2020 19:55,AAMI Park,Storm,Rabbitohs,22 - 8
12,4,06/06/2020 17:30,Bankwest Stadium,Eels,Sea Eagles,19 - 16
13,4,06/06/2020 19:35,Queensland Country Bank Stadium,Cowboys,Sharks,16 - 26
