Round Number,Date,Location,Home Team,Away Team,Result
1,14/03/2019 08:50,AAMI Park,Storm,Broncos,22 - 12
1,15/03/2019 07:00,McDonald Jones Stadium,Knights,Sharks,14 - 8
1,15/03/2019 08:55,Sydney Cricket Ground,Roosters,Rabbitohs,16 - 26
1,16/03/2019 04:00,Mt Smart Stadium,Warriors,Bulldogs,40 - 6
1,16/03/2019 06:30,Leichhardt Oval,Wests Tigers,Sea Eagles,20 - 6
1,16/03/2019 08:35,1300SMILES Stadium,Cowboys,Dragons,24 - 12
1,17/03/2019 05:05,Panthers Stadium,Panthers,Eels,12 - 20
1,17/03/2019 07:10,Cbus Super Stadium,Titans,Raiders,0 - 21
2,21/03/2019 09:05,Jubilee Stadium,Dragons,Rabbitohs,18 - 34
2,22/03/2019 07:00,GIO Stadium,Raiders,Storm,10 - 22
2,22/03/2019 09:05,Suncorp Stadium,Broncos,Cowboys,29 - 10
2,23/03/2019 04:00,Shark Park,Sharks,Titans,20 - 6
2,23/03/2019 06:30,McDonald Jones Stadium,Knights,Panthers,14 - 16
2,23/03/2019 08:35,Lottoland,Sea Eagles,Roosters,18 - 26
2,24/03/2019 05:05,ANZ Stadium,Bulldogs,Eels,16 - 36
2,24/03/2019 07:10,Campbelltown Stadium,Wests Tigers,Warriors,34 - 6
3,28/03/2019 09:05,Suncorp Stadium,Broncos,Dragons,24 - 25
3,29/03/2019 07:00,GIO Stadium,Raiders,Knights,17 - 10
3,29/03/2019 09:05,ANZ Stadium,Eels,Roosters,18 - 32
3,30/03/2019 04:00,Christchurch Stadium,Sea Eagles,Warriors,46 - 12
3,30/03/2019 06:30,1300SMILES Stadium,Cowboys,Sharks,16 - 42
3,30/03/2019 08:35,Carrington Park,Panthers,Storm,2 - 32
3,31/03/2019 05:05,Campbelltown Stadium,Wests Tigers,Bulldogs,8 - 22
3,31/03/2019 07:10,ANZ Stadium,Rabbitohs,Titans,28 - 20
4,04/04/2019 09:05,Sydney Cricket Ground,Roosters,Broncos,36 - 4
4,05/04/2019 07:00,Mt Smart Stadium,Warriors,Titans,26 - 10
4,05/04/2019 09:05,Panthers Stadium,Panthers,Wests Tigers,9 - 8
4,06/04/2019 04:00,Lottoland,Sea Eagles,Rabbitohs,13 - 12
4,06/04/2019 06:30,1300SMILES Stadium,Cowboys,Raiders,12 - 30
4,06/04/2019 08:35,ANZ Stadium,Eels,Sharks,24 - 12
4,07/04/2019 06:05,AAMI Park,Storm,Bulldogs,18 - 16
4,07/04/2019 08:10,McDonald Jones Stadium,Knights,Dragons,12 - 13
5,11/04/2019 09:50,Suncorp Stadium,Broncos,Wests Tigers,16 - 22
5,12/04/2019 08:00,Cbus Super Stadium,Titans,Panthers,30 - 24
5,12/04/2019 09:55,1300SMILES Stadium,Cowboys,Storm,12 - 18
5,13/04/2019 05:00,Sunshine Coast Stadium,Rabbitohs,Warriors,28 - 24
5,13/04/2019 07:30,McDonald Jones Stadium,Knights,Sea Eagles,18 - 26
5,13/04/2019 09:35,Shark Park,Sharks,Roosters,16 - 30
5,14/04/2019 06:05,Jubilee Stadium,Dragons,Bulldogs,40 - 4
5,14/04/2019 08:10,GIO Stadium,Raiders,Eels,19 - 0
6,18/04/2019 09:50,Shark Park,Sharks,Panthers,24 - 20
6,19/04/2019 06:05,ANZ Stadium,Bulldogs,Rabbitohs,6 - 14
6,19/04/2019 09:55,AAMI Park,Storm,Roosters,20 - 21
6,20/04/2019 07:30,Mt Smart Stadium,Warriors,Cowboys,10 - 17
6,20/04/2019 09:35,WIN Stadium,Dragons,Sea Eagles,12 - 10
6,21/04/2019 04:00,Cbus Super Stadium,Titans,Knights,38 - 14
6,21/04/2019 06:05,GIO Stadium,Raiders,Broncos,26 - 22
6,22/04/2019 06:00,Bankwest Stadium,Eels,Wests Tigers,51 - 6
7,25/04/2019 06:05,Sydney Cricket Ground,Roosters,Dragons,20 - 10
7,25/04/2019 09:50,AAMI Park,Storm,Warriors,13 - 12
7,26/04/2019 08:00,ANZ Stadium,Bulldogs,Cowboys,24 - 12
7,26/04/2019 09:55,Panthers Stadium,Panthers,Rabbitohs,18 - 22
7,27/04/2019 07:30,Scully Park,Wests Tigers,Titans,30 - 14
7,27/04/2019 09:35,Suncorp Stadium,Broncos,Sharks,29 - 6
7,28/04/2019 04:00,Lottoland,Sea Eagles,Raiders,24 - 20
7,28/04/2019 06:05,McDonald Jones Stadium,Knights,Eels,28 - 14
8,02/05/2019 09:50,ANZ Stadium,Rabbitohs,Broncos,38 - 6
8,03/05/2019 08:00,1300SMILES Stadium,Cowboys,Titans,28 - 14
8,03/05/2019 09:55,Shark Park,Sharks,Storm,20 - 18
8,04/05/2019 05:00,McDonalds Park,Raiders,Panthers,30 - 12
8,04/05/2019 07:30,Lottoland,Sea Eagles,Bulldogs,18 - 10
8,04/05/2019 09:35,Sydney Cricket Ground,Roosters,Wests Tigers,42 - 12
8,05/05/2019 04:00,Mt Smart Stadium,Warriors,Knights,18 - 36
8,05/05/2019 06:05,Bankwest Stadium,Eels,Dragons,32 - 18
9,09/05/2019 09:50,Suncorp Stadium,Titans,Sharks,18 - 26
9,10/05/2019 08:00,Suncorp Stadium,Wests Tigers,Panthers,30 - 4
9,10/05/2019 10:05,Suncorp Stadium,Sea Eagles,Broncos,10 - 26
9,11/05/2019 05:00,Suncorp Stadium,Bulldogs,Knights,10 - 22
9,11/05/2019 07:30,Suncorp Stadium,Warriors,Dragons,26 - 18
9,11/05/2019 09:35,Suncorp Stadium,Storm,Eels,64 - 10
9,12/05/2019 04:00,Suncorp Stadium,Roosters,Raiders,30 - 24
9,12/05/2019 06:05,Suncorp Stadium,Rabbitohs,Cowboys,32 - 16
10,16/05/2019 09:50,AAMI Park,Storm,Wests Tigers,24 - 22
10,17/05/2019 08:00,Panthers Stadium,Panthers,Warriors,10 - 30
10,17/05/2019 09:55,Suncorp Stadium,Broncos,Roosters,15 - 10
10,18/05/2019 05:00,Cbus Super Stadium,Titans,Bulldogs,16 - 22
10,18/05/2019 07:30,1300SMILES Stadium,Cowboys,Eels,17 - 10
10,18/05/2019 09:35,GIO Stadium,Raiders,Rabbitohs,12 - 16
