Round Number,Date,Location,Home Team,Away Team,Result
1,08/03/2018 20:05,Jubilee Oval,Dragons,Broncos,34 - 12
1,09/03/2018 18:00,McDonald Jones Stadium,Knights,Sea Eagles,19 - 18
1,09/03/2018 20:05,1300Smiles Stadium,Cowboys,Sharks,20 - 14
1,10/03/2018 16:30,ANZ Stadium,Tigers,Roosters,10 - 8
1,10/03/2018 19:00,Perth Stadium,Rabbitohs,Warriors,20 - 32
1,10/03/2018 21:05,Perth Stadium,Bulldogs,Storm,18 - 36
1,11/03/2018 16:10,Panthers Stadium,Panthers,Eels,24 - 14
1,11/03/2018 18:30,CBus Super Stadium,Titans,Raiders,30 - 28
2,15/03/2018 20:05,Southern Cross Group Stadium,Sharks,Dragons,16 - 20
2,16/03/2018 18:00,Allianz Stadium,Roosters,Bulldogs,30 - 12
2,16/03/2018 20:05,Suncorp Stadium,Broncos,Cowboys,24 - 20
2,17/03/2018 15:05,Mt Smart Stadium,Warriors,Titans,20 - 8
2,17/03/2018 17:30,Panthers Stadium,Panthers,Rabbitohs,18 - 14
2,17/03/2018 19:35,AAMI Park,Storm,Tigers,8 - 10
2,18/03/2018 16:10,Lottoland,Sea Eagles,Eels,54 - 0
2,18/03/2018 18:30,GIO Stadium,Raiders,Knights,28 - 30
3,22/03/2018 20:05,AAMI Park,Storm,Cowboys,30 - 14
3,23/03/2018 18:00,ANZ Stadium,Bulldogs,Panthers,20 - 18
3,23/03/2018 20:05,Campbelltown Stadium,Tigers,Broncos,7 - 9
3,24/03/2018 15:00,GIO Stadium,Raiders,Warriors,19 - 20
3,24/03/2018 17:30,ANZ Stadium,Rabbitohs,Sea Eagles,34 - 6
3,24/03/2018 19:30,ANZ Stadium,Eels,Sharks,4 - 14
3,25/03/2018 16:10,"Clive Berghofer Stadium, Toowoomba",Titans,Dragons,8 - 54
3,25/03/2018 18:30,Allianz Stadium,Roosters,Knights,38 - 8
4,29/03/2018 20:05,1300Smiles Stadium,Cowboys,Panthers,14 - 33
4,30/03/2018 16:10,ANZ Stadium,Rabbitohs,Bulldogs,20 - 16
4,30/03/2018 20:05,Southern Cross Group Stadium,Sharks,Storm,14 - 4
4,31/03/2018 17:30,Allianz Stadium,Roosters,Warriors,6 - 30
4,31/03/2018 19:30,Lottoland,Sea Eagles,Raiders,32 - 16
4,01/04/2018 16:10,WIN Stadium,Dragons,Knights,30 - 12
4,01/04/2018 18:30,Suncorp Stadium,Broncos,Titans,14 - 26
4,02/04/2018 16:00,ANZ Stadium,Tigers,Eels,30 - 20
5,05/04/2018 19:50,GIO Stadium,Raiders,Bulldogs,26 - 10
5,06/04/2018 18:00,Southern Cross Group Stadium,Sharks,Roosters,10 - 28
5,06/04/2018 19:50,Jubilee Oval,Dragons,Rabbitohs,16 - 12
5,07/04/2018 15:00,Mt Smart Stadium,Tigers,Storm,11 - 10
5,07/04/2018 17:30,Mt Smart Stadium,Warriors,Cowboys,22 - 12
5,07/04/2018 19:35,McDonald Jones Stadium,Knights,Broncos,15 - 10
5,08/04/2018 14:00,"Marley Brown Oval, Gladstone",Titans,Sea Eagles,32 - 20
5,08/04/2018 16:10,ANZ Stadium,Eels,Panthers,6 - 12
6,12/04/2018 19:50,Allianz Stadium,Roosters,Rabbitohs,14 - 26
6,13/04/2018 18:00,AAMI Park,Storm,Knights,40 - 14
6,13/04/2018 19:55,WIN Stadium,Dragons,Sharks,40 - 20
6,14/04/2018 15:00,Mt Smart Stadium,Warriors,Broncos,18 - 27
6,14/04/2018 17:30,1300Smiles Stadium,Cowboys,Bulldogs,10 - 27
6,14/04/2018 19:35,GIO Stadium,Raiders,Eels,18 - 2
6,15/04/2018 14:00,Panthers Stadium,Panthers,Titans,35 - 12
6,15/04/2018 16:10,Lottoland,Sea Eagles,Tigers,12 - 38
7,19/04/2018 19:50,ANZ Stadium,Bulldogs,Roosters,0 - 6
7,20/04/2018 18:00,Mt Smart Stadium,Warriors,Dragons,20 - 12
7,20/04/2018 19:55,Suncorp Stadium,Broncos,Storm,20 - 34
7,21/04/2018 15:00,Central Coast Stadium,Rabbitohs,Raiders,42 - 18
7,21/04/2018 17:30,"Scully Park, Tamworth",Tigers,Knights,20 - 22
7,21/04/2018 19:35,1300Smiles Stadium,Cowboys,Titans,26 - 14
7,22/04/2018 14:00,ANZ Stadium,Eels,Sea Eagles,44 - 10
7,22/04/2018 16:10,Southern Cross Group Stadium,Sharks,Panthers,26 - 22
8,25/04/2018 16:10,Allianz Stadium,Dragons,Roosters,24 - 8
8,25/04/2018 19:00,AAMI Park,Storm,Warriors,50 - 10
8,26/04/2018 19:50,ANZ Stadium,Rabbitohs,Broncos,20 - 24
8,27/04/2018 18:00,Lottoland,Sea Eagles,Knights,12 - 18
8,27/04/2018 19:55,Panthers Stadium,Panthers,Bulldogs,22 - 14
8,28/04/2018 17:30,CBus Super Stadium,Titans,Sharks,9 - 10
8,28/04/2018 19:35,1300Smiles Stadium,Cowboys,Raiders,8 - 18
8,29/04/2018 16:10,ANZ Stadium,Eels,Tigers,24 - 22
9,03/05/2018 19:50,Suncorp Stadium,Broncos,Bulldogs,22 - 20
9,04/05/2018 18:00,McDonald Jones Stadium,Knights,Rabbitohs,18 - 36
9,04/05/2018 19:55,"Carrington Park, Bathurst",Panthers,Cowboys,20 - 26
