Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,03/03/2024 02:30,Allegiant Stadium,Sea Eagles,Rabbitohs,36 - 24
2,1,03/03/2024 04:30,Allegiant Stadium,Roosters,Broncos,20 - 10
3,1,07/03/2024 09:00,McDonald Jones Stadium,Knights,Raiders,12 - 28
4,1,08/03/2024 07:00,Go Media Stadium,Warriors,Sharks,12 - 16
5,1,08/03/2024 09:05,AAMI Park,Storm,Panthers,8 - 0
6,1,09/03/2024 06:30,CommBank Stadium,Eels,Bulldogs,26 - 8
7,1,09/03/2024 08:35,Cbus Super Stadium,Titans,Dragons,4 - 28
8,1,10/03/2024 05:05,Suncorp Stadium,Dolphins,Cowboys,18 - 43
9,2,14/03/2024 09:00,Suncorp Stadium,Broncos,Rabbitohs,28 - 18
10,2,15/03/2024 07:00,PointsBet Stadium,Sharks,Bulldogs,25 - 6
11,2,15/03/2024 09:00,BlueBet Stadium,Panthers,Eels,26 - 18
12,2,16/03/2024 04:00,GIO Stadium,Raiders,Wests Tigers,32 - 12
13,2,16/03/2024 06:30,Queensland Country Bank Stadium,Cowboys,Knights,21 - 20
14,2,16/03/2024 08:35,AAMI Park,Storm,Warriors,30 - 26
15,2,17/03/2024 05:05,4 Pines Park,Sea Eagles,Roosters,21 - 14
16,2,17/03/2024 07:15,Kayo Stadium,Dolphins,Dragons,38 - 0
17,3,21/03/2024 09:00,BlueBet Stadium,Panthers,Broncos,34 - 12
18,3,22/03/2024 07:00,Apollo Projects Stadium,Warriors,Raiders,18 - 10
19,3,22/03/2024 09:00,Allianz Stadium,Roosters,Rabbitohs,48 - 6
20,3,23/03/2024 04:00,Belmore Sports Ground,Bulldogs,Titans,32 - 0
21,3,23/03/2024 06:30,Netstrata Jubilee Stadium,Dragons,Cowboys,24 - 46
22,3,23/03/2024 08:35,Leichhardt Oval,Wests Tigers,Sharks,32 - 6
23,3,24/03/2024 05:05,CommBank Stadium,Eels,Sea Eagles,28 - 24
24,3,24/03/2024 07:15,McDonald Jones Stadium,Knights,Storm,14 - 12
25,4,28/03/2024 09:00,Allianz Stadium,Roosters,Panthers,16 - 22
26,4,29/03/2024 05:05,Accor Stadium,Rabbitohs,Bulldogs,20 - 16
27,4,29/03/2024 09:00,Suncorp Stadium,Broncos,Cowboys,38 - 12
28,4,30/03/2024 06:30,WIN Stadium,Dragons,Sea Eagles,20 - 12
29,4,30/03/2024 08:35,Cbus Super Stadium,Titans,Dolphins,14 - 30
30,4,31/03/2024 05:05,Go Media Stadium,Warriors,Knights,20 - 12
31,4,31/03/2024 07:15,PointsBet Stadium,Sharks,Raiders,36 - 22
32,4,01/04/2024 05:00,CommBank Stadium,Eels,Wests Tigers,16 - 17
33,5,04/04/2024 09:00,AAMI Park,Storm,Broncos,34 - 32
34,5,05/04/2024 07:00,Accor Stadium,Bulldogs,Roosters,30 - 26
35,5,05/04/2024 09:00,McDonald Jones Stadium,Knights,Dragons,30 - 10
36,5,06/04/2024 04:00,Accor Stadium,Rabbitohs,Warriors,4 - 34
37,5,06/04/2024 06:30,4 Pines Park,Sea Eagles,Panthers,32 - 18
38,5,06/04/2024 08:35,Suncorp Stadium,Dolphins,Wests Tigers,26 - 16
39,5,07/04/2024 06:05,Queensland Country Bank Stadium,Cowboys,Titans,35 - 22
40,5,07/04/2024 08:15,GIO Stadium,Raiders,Eels,41 - 8
41,6,11/04/2024 09:50,McDonald Jones Stadium,Knights,Roosters,20 - 22
42,6,12/04/2024 08:00,AAMI Park,Storm,Bulldogs,16 - 14
43,6,12/04/2024 10:00,Suncorp Stadium,Broncos,Dolphins,28 - 14
44,6,13/04/2024 05:00,Go Media Stadium,Warriors,Sea Eagles,22 - 22
45,6,13/04/2024 07:30,CommBank Stadium,Eels,Cowboys,27 - 20
46,6,13/04/2024 09:35,Accor Stadium,Rabbitohs,Sharks,22 - 34
47,6,14/04/2024 06:05,Campbelltown Sports Stadium,Wests Tigers,Dragons,12 - 24
