Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/03/2017 20:05,Southern Cross Group Stadium,Sharks,Broncos,18 - 26
2,1,03/03/2017 18:00,Belmore Stadium,Bulldogs,Storm,6 - 12
3,1,03/03/2017 20:05,ANZ Stadium,Rabbitohs,Tigers,18 - 34
4,1,04/03/2017 16:30,Jubilee Oval,Dragons,Panthers,42 - 10
5,1,04/03/2017 19:00,1300Smiles Stadium,Cowboys,Raiders,20 - 16
6,1,04/03/2017 21:00,CBus Super Stadium,Titans,Roosters,18 - 32
7,1,05/03/2017 14:00,Mt Smart Stadium,Warriors,Knights,26 - 22
8,1,05/03/2017 16:00,Brookvale Oval,Sea Eagles,Eels,12 - 20
9,2,09/03/2017 20:05,Allianz Stadium,Roosters,Bulldogs,28 - 24
10,2,10/03/2017 18:00,Mt Smart Stadium,Warriors,Storm,10 - 26
11,2,10/03/2017 20:05,Suncorp Stadium,Broncos,Cowboys,20 - 21
12,2,11/03/2017 15:00,McDonald Jones Stadium,Knights,Titans,34 - 26
13,2,11/03/2017 17:30,Brookvale Oval,Sea Eagles,Rabbitohs,18 - 38
14,2,11/03/2017 19:30,GIO Stadium,Raiders,Sharks,16 - 42
15,2,12/03/2017 16:00,Campbelltown Stadium,Tigers,Panthers,2 - 36
16,2,12/03/2017 18:30,WIN Stadium,Dragons,Eels,16 - 34
17,3,16/03/2017 20:05,AAMI Park,Storm,Broncos,14 - 12
18,3,17/03/2017 18:00,Forsyth Barr Stadium,Bulldogs,Warriors,24 - 12
19,3,17/03/2017 20:05,CBus Super Stadium,Titans,Eels,26 - 14
20,3,18/03/2017 16:30,McDonald Jones Stadium,Knights,Rabbitohs,18 - 24
21,3,18/03/2017 19:00,Pepper Stadium,Panthers,Roosters,12 - 14
22,3,18/03/2017 21:00,1300Smiles Stadium,Cowboys,Sea Eagles,8 - 30
23,3,19/03/2017 16:00,GIO Stadium,Raiders,Tigers,46 - 6
24,3,19/03/2017 18:30,Southern Cross Group Stadium,Sharks,Dragons,10 - 16
25,4,23/03/2017 20:05,ANZ Stadium,Rabbitohs,Roosters,6 - 20
26,4,24/03/2017 18:00,Pepper Stadium,Panthers,Knights,40 - 0
27,4,24/03/2017 20:05,Suncorp Stadium,Broncos,Raiders,13 - 12
28,4,25/03/2017 16:30,Brookvale Oval,Sea Eagles,Bulldogs,36 - 0
29,4,25/03/2017 19:00,ANZ Stadium,Eels,Sharks,6 - 20
30,4,25/03/2017 21:00,CBus Super Stadium,Titans,Cowboys,26 - 32
31,4,26/03/2017 16:00,Leichhardt Oval,Tigers,Storm,14 - 22
32,4,26/03/2017 18:30,Jubilee Oval,Dragons,Warriors,26 - 12
33,5,30/03/2017 20:05,ANZ Stadium,Bulldogs,Broncos,10 - 7
34,5,31/03/2017 18:00,Allianz Stadium,Roosters,Sea Eagles,12 - 18
35,5,31/03/2017 20:05,1300Smiles Stadium,Cowboys,Rabbitohs,20 - 6
36,5,01/04/2017 15:00,Southern Cross Group Stadium,Sharks,Knights,19 - 18
37,5,01/04/2017 17:30,GIO Stadium,Raiders,Eels,30 - 18
38,5,01/04/2017 19:30,AAMI Park,Storm,Panthers,28 - 6
39,5,02/04/2017 14:00,Mt Smart Stadium,Warriors,Titans,28 - 22
40,5,02/04/2017 16:00,ANZ Stadium,Tigers,Dragons,6 - 28
41,6,06/04/2017 19:50,Suncorp Stadium,Broncos,Roosters,32 - 8
42,6,07/04/2017 18:00,McDonald Jones Stadium,Knights,Bulldogs,12 - 22
43,6,07/04/2017 19:50,Pepper Stadium,Panthers,Rabbitohs,20 - 21
44,6,08/04/2017 15:00,Brookvale Oval,Sea Eagles,Dragons,10 - 35
45,6,08/04/2017 17:30,CBus Super Stadium,Titans,Raiders,16 - 42
46,6,08/04/2017 19:30,1300Smiles Stadium,Cowboys,Tigers,16 - 26
47,6,09/04/2017 14:00,Mt Smart Stadium,Warriors,Eels,22 - 10
48,6,09/04/2017 16:00,AAMI Park,Storm,Sharks,2 - 11
49,7,14/04/2017 16:00,ANZ Stadium,Bulldogs,Rabbitohs,24 - 9
50,7,14/04/2017 18:00,McDonald Jones Stadium,Knights,Roosters,6 - 24
51,7,14/04/2017 19:50,Suncorp Stadium,Broncos,Titans,24 - 22
52,7,15/04/2017 15:00,Brookvale Oval,Sea Eagles,Storm,26 - 30
53,7,15/04/2017 17:30,GIO Stadium,Raiders,Warriors,20 - 8
54,7,15/04/2017 19:30,WIN Stadium,Dragons,Cowboys,28 - 22
55,7,16/04/2017 16:00,Pepper Stadium,Panthers,Sharks,2 - 28
56,7,17/04/2017 16:00,ANZ Stadium,Eels,Tigers,26 - 22
57,8,21/04/2017 18:00,GIO Stadium,Raiders,Sea Eagles,18 - 20
58,8,21/04/2017 19:50,ANZ Stadium,Rabbitohs,Broncos,24 - 25
59,8,22/04/2017 15:00,ANZ Stadium,Eels,Panthers,18 - 12
60,8,22/04/2017 17:30,1300Smiles Stadium,Cowboys,Knights,24 - 12
61,8,22/04/2017 19:30,Southern Cross Group Stadium,Sharks,Titans,12 - 16
62,8,23/04/2017 16:00,ANZ Stadium,Tigers,Bulldogs,18 - 12
63,8,25/04/2017 16:00,Allianz Stadium,Roosters,Dragons,13 - 12
64,8,25/04/2017 19:00,AAMI Park,Storm,Warriors,20 - 14
65,9,27/04/2017 19:50,Suncorp Stadium,Broncos,Panthers,32 - 18
66,9,28/04/2017 18:00,Allianz Stadium,Rabbitohs,Sea Eagles,8 - 46
67,9,28/04/2017 19:50,1300Smiles Stadium,Cowboys,Eels,6 - 26
68,9,29/04/2017 15:00,CBus Super Stadium,Titans,Knights,38 - 8
69,9,29/04/2017 17:30,ANZ Stadium,Bulldogs,Raiders,16 - 10
