Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/03/2025 00:00,Allegiant Stadium,Raiders,Warriors,30 - 8
2,1,02/03/2025 04:30,Allegiant Stadium,Panthers,Sharks,28 - 22
3,1,06/03/2025 09:00,Allianz Stadium,Roosters,Broncos,14 - 50
4,1,07/03/2025 07:00,Campbelltown Sports Stadium,Wests Tigers,Knights,8 - 10
5,1,07/03/2025 09:00,CommBank Stadium,Rabbitohs,Dolphins,16 - 14
6,1,08/03/2025 06:30,Jubilee Stadium,Dragons,Bulldogs,20 - 28
7,1,08/03/2025 08:35,4 Pines Park,Sea Eagles,Cowboys,42 - 12
8,1,09/03/2025 05:05,AAMI Park,Storm,Eels,56 - 18
9,2,13/03/2025 09:00,McDonald Jones Stadium,Knights,Dolphins,26 - 12
10,2,14/03/2025 07:00,Go Media Stadium,Warriors,Sea Eagles,36 - 16
11,2,14/03/2025 09:00,CommBank Stadium,Panthers,Roosters,32 - 38
12,2,15/03/2025 04:00,WIN Stadium,Dragons,Rabbitohs,24 - 25
13,2,15/03/2025 06:30,Queensland Country Bank Stadium,Cowboys,Sharks,12 - 36
14,2,15/03/2025 08:35,GIO Stadium,Raiders,Broncos,32 - 22
15,2,16/03/2025 05:05,CommBank Stadium,Eels,Wests Tigers,6 - 32
16,2,16/03/2025 07:15,Belmore Sports Ground,Bulldogs,Titans,40 - 24
17,3,20/03/2025 09:00,AAMI Park,Storm,Panthers,30 - 24
18,3,21/03/2025 07:00,Go Media Stadium,Warriors,Roosters,14 - 6
19,3,21/03/2025 09:00,Suncorp Stadium,Broncos,Cowboys,26 - 16
20,3,22/03/2025 04:00,Shark Park,Sharks,Rabbitohs,27 - 12
21,3,22/03/2025 06:30,Kayo Stadium,Dolphins,Wests Tigers,18 - 30
22,3,22/03/2025 08:35,Cbus Super Stadium,Titans,Knights,26 - 6
23,3,23/03/2025 05:05,CommBank Stadium,Eels,Bulldogs,8 - 16
24,3,23/03/2025 07:15,4 Pines Park,Sea Eagles,Raiders,40 - 12
25,4,27/03/2025 09:00,Accor Stadium,Rabbitohs,Panthers,28 - 18
26,4,28/03/2025 07:00,Allianz Stadium,Roosters,Titans,12 - 30
27,4,28/03/2025 09:00,Suncorp Stadium,Dolphins,Broncos,12 - 20
28,4,29/03/2025 04:00,Jubilee Stadium,Dragons,Storm,14 - 8
29,4,29/03/2025 06:30,Queensland Country Bank Stadium,Cowboys,Raiders,30 - 20
30,4,29/03/2025 08:35,Shark Park,Sharks,Bulldogs,6 - 20
31,4,30/03/2025 05:05,4 Pines Park,Sea Eagles,Eels,26 - 12
32,4,30/03/2025 07:15,Campbelltown Sports Stadium,Wests Tigers,Warriors,24 - 26
33,5,03/04/2025 09:00,GIO Stadium,Raiders,Sharks,24 - 20
34,5,04/04/2025 07:00,CommBank Stadium,Panthers,Cowboys,18 - 22
35,5,04/04/2025 09:00,Accor Stadium,Rabbitohs,Roosters,20 - 14
36,5,05/04/2025 04:00,CommBank Stadium,Eels,Dragons,23 - 22
37,5,05/04/2025 06:30,Cbus Super Stadium,Titans,Dolphins,10 - 36
38,5,05/04/2025 08:35,Suncorp Stadium,Broncos,Wests Tigers,46 - 24
39,5,06/04/2025 06:05,4 Pines Park,Sea Eagles,Storm,24 - 48
40,5,06/04/2025 08:15,Accor Stadium,Bulldogs,Knights,20 - 0
41,6,10/04/2025 09:50,Suncorp Stadium,Dolphins,Panthers,30 - 12
42,6,11/04/2025 08:00,WIN Stadium,Dragons,Titans,38 - 16
43,6,11/04/2025 10:00,Suncorp Stadium,Broncos,Roosters,16 - 26
44,6,12/04/2025 05:00,Optus Stadium,Sharks,Sea Eagles,24 - 18
45,6,12/04/2025 07:30,Optus Stadium,Rabbitohs,Cowboys,16 - 24
46,6,12/04/2025 09:35,TIO Stadium,Eels,Raiders,12 - 50
47,6,13/04/2025 04:00,AAMI Park,Storm,Warriors,42 - 14
48,6,13/04/2025 06:05,McDonald Jones Stadium,Knights,Wests Tigers,4 - 20
49,7,17/04/2025 09:50,4 Pines Park,Sea Eagles,Dragons,18 - 20
50,7,18/04/2025 06:05,Accor Stadium,Bulldogs,Rabbitohs,32 - 0
51,7,18/04/2025 10:00,Suncorp Stadium,Dolphins,Storm,42 - 22
52,7,19/04/2025 07:30,Go Media Stadium,Warriors,Broncos,20 - 18
53,7,19/04/2025 09:35,Allianz Stadium,Roosters,Panthers,12 - 40
54,7,20/04/2025 04:00,Cbus Super Stadium,Titans,Raiders,20 - 30
55,7,20/04/2025 06:05,McDonald Jones Stadium,Knights,Sharks,14 - 34
56,7,21/04/2025 06:00,CommBank Stadium,Wests Tigers,Eels,22 - 38
57,8,24/04/2025 09:50,Suncorp Stadium,Broncos,Bulldogs,42 - 18
58,8,25/04/2025 06:00,Allianz Stadium,Roosters,Dragons,46 - 18
59,8,25/04/2025 08:05,Apollo Projects Stadium,Warriors,Knights,26 - 12
60,8,25/04/2025 10:10,AAMI Park,Storm,Rabbitohs,24 - 16
61,8,26/04/2025 07:30,Queensland Country Bank Stadium,Cowboys,Titans,50 - 18
62,8,26/04/2025 09:35,CommBank Stadium,Panthers,Sea Eagles,10 - 26
63,8,27/04/2025 04:00,GIO Stadium,Raiders,Dolphins,40 - 28
64,8,27/04/2025 06:05,Leichhardt Oval,Wests Tigers,Sharks,20 - 18
65,9,02/05/2025 08:00,Suncorp Stadium,Sharks,Eels,
66,9,02/05/2025 10:05,Suncorp Stadium,Roosters,Dolphins,
67,9,03/05/2025 05:00,Suncorp Stadium,Rabbitohs,Knights,
68,9,03/05/2025 07:30,Suncorp Stadium,Warriors,Cowboys,
69,9,03/05/2025 09:45,Suncorp Stadium,Wests Tigers,Dragons,
70,9,04/05/2025 03:50,Suncorp Stadium,Titans,Bulldogs,
71,9,04/05/2025 06:05,Suncorp Stadium,Panthers,Broncos,
72,9,04/05/2025 08:25,Suncorp Stadium,Storm,Raiders,
73,10,08/05/2025 09:50,CommBank Stadium,Eels,Dolphins,
74,10,09/05/2025 08:00,McDonald Jones Stadium,Knights,Titans,
75,10,09/05/2025 10:00,Accor Stadium,Rabbitohs,Broncos,
76,10,10/05/2025 05:00,GIO Stadium,Raiders,Bulldogs,
77,10,10/05/2025 07:30,WIN Stadium,Dragons,Warriors,
78,10,10/05/2025 09:35,Queensland Country Bank Stadium,Cowboys,Panthers,
