Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/03/2023 09:00,CommBank Stadium,Eels,Storm,12 - 16
2,1,03/03/2023 07:00,Sky Stadium,Warriors,Knights,20 - 12
3,1,03/03/2023 09:05,BlueBet Stadium,Panthers,Broncos,12 - 13
4,1,04/03/2023 04:00,4 Pines Park,Sea Eagles,Bulldogs,31 - 6
5,1,04/03/2023 06:30,Queensland Country Bank Stadium,Cowboys,Raiders,19 - 18
6,1,04/03/2023 08:35,PointsBet Stadium,Sharks,Rabbitohs,18 - 27
7,1,05/03/2023 05:05,Suncorp Stadium,Dolphins,Roosters,28 - 18
8,1,05/03/2023 07:15,Leichhardt Oval,Wests Tigers,Titans,10 - 22
9,2,09/03/2023 09:00,BlueBet Stadium,Panthers,Rabbitohs,16 - 10
10,2,10/03/2023 07:00,CommBank Stadium,Eels,Sharks,26 - 30
11,2,10/03/2023 09:00,Suncorp Stadium,Broncos,Cowboys,28 - 16
12,2,11/03/2023 04:00,Allianz Stadium,Roosters,Warriors,20 - 12
13,2,11/03/2023 06:30,Kayo Stadium,Dolphins,Raiders,20 - 14
14,2,11/03/2023 08:35,AAMI Park,Storm,Bulldogs,12 - 26
15,2,12/03/2023 05:05,Leichhardt Oval,Wests Tigers,Knights,12 - 14
16,2,12/03/2023 07:15,Netstrata Jubilee Stadium,Dragons,Titans,32 - 18
17,3,16/03/2023 09:00,4 Pines Park,Sea Eagles,Eels,34 - 30
18,3,17/03/2023 07:00,McDonald Jones Stadium,Knights,Dolphins,20 - 36
19,3,17/03/2023 09:00,Allianz Stadium,Roosters,Rabbitohs,20 - 18
20,3,18/03/2023 04:00,Cbus Super Stadium,Titans,Storm,38 - 34
21,3,18/03/2023 06:30,Queensland Country Bank Stadium,Cowboys,Warriors,12 - 26
22,3,18/03/2023 08:35,Suncorp Stadium,Broncos,Dragons,40 - 18
23,3,19/03/2023 05:05,Belmore Sports Ground,Bulldogs,Wests Tigers,26 - 22
24,3,19/03/2023 07:15,GIO Stadium,Raiders,Sharks,24 - 20
25,4,23/03/2023 09:00,CommBank Stadium,Eels,Panthers,17 - 16
26,4,24/03/2023 07:00,AAMI Park,Storm,Wests Tigers,24 - 12
27,4,24/03/2023 09:00,Suncorp Stadium,Dolphins,Broncos,12 - 18
28,4,25/03/2023 06:30,Queensland Country Bank Stadium,Cowboys,Titans,24 - 12
29,4,25/03/2023 08:35,Accor Stadium,Rabbitohs,Sea Eagles,13 - 12
30,4,26/03/2023 03:00,Mt Smart Stadium,Warriors,Bulldogs,16 - 14
31,4,26/03/2023 05:05,McDonald Jones Stadium,Knights,Raiders,24 - 14
32,4,26/03/2023 07:15,Netstrata Jubilee Stadium,Dragons,Sharks,8 - 40
