2020,FNB UP-Tuks,42,40,FNB NWU Eagles,03.02.2020,Tuks Stadium
2020,FNB UJ,16,25,FNB UCT Ikeys,03.02.2020,UJ Stadium
2020,FNB UWC,10,40,FNB Wits,03.02.2020,UWC Stadium
2020,FNB Maties,67,16,FNB UFS Shimlas,03.02.2020,Danie Craven Stadium
2020,FNB Wits,7,6,FNB UJ,10.02.2020,Wits Rugby Stadium
2020,FNB UCT Ikeys,31,22,FNB NWU Eagles,10.02.2020,UCT Rugby Fields
2020,FNB CUT Ixias,23,40,FNB UP-Tuks,10.02.2020,CUT Rugby Stadium
2020,FNB UFS Shimlas,28,29,FNB UWC,10.02.2020,Shimla Park
2020,FNB UWC,28,31,FNB UCT Ikeys,17.02.2020,UWC Stadium
2020,FNB UP-Tuks,26,24,FNB UJ,17.02.2020,Tuks Stadium
2020,FNB Maties,62,24,FNB CUT Ixias,17.02.2020,Danie Craven Stadium
2020,FNB NWU Eagles,27,19,FNB UFS Shimlas,17.02.2020,Fanie du Toit Sports Ground
2020,FNB UP-Tuks,43,33,FNB UFS Shimlas,24.02.2020,Tuks Stadium
2020,FNB Wits,27,24,FNB NWU Eagles,24.02.2020,Wits Rugby Stadium
2020,FNB UWC,5,77,FNB Maties,24.02.2020,UWC Stadium
2020,FNB CUT Ixias,44,44,FNB UCT Ikeys,24.02.2020,CUT Rugby Stadium
2020,FNB UFS Shimlas,14,35,FNB CUT Ixias,02.03.2020,Shimla Park
2020,FNB Maties,13,7,FNB UP-Tuks,02.03.2020,Danie Craven Stadium
2020,FNB NWU Eagles,19,6,FNB UJ,02.03.2020,Fanie du Toit Sports Ground
2020,FNB UCT Ikeys,10,10,FNB Wits,02.03.2020,UCT Rugby Fields
2020,FNB Maties,8,7,FNB UCT Ikeys,09.03.2020,Danie Craven Stadium
2020,FNB CUT Ixias,47,10,FNB UWC,09.03.2020,CUT Rugby Stadium
2020,FNB Wits,16,10,FNB UP-Tuks,09.03.2020,Wits Rugby Stadium
2020,FNB UFS Shimlas,26,25,FNB UJ,09.03.2020,Shimla Park
