Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,26/02/2016 17:35,"Eden Park, Auckland",Blues,Highlanders,33 - 31
2,1,26/02/2016 19:40,"GIO Stadium, Canberra",Brumbies,Hurricanes,52 - 10
3,1,27/02/2016 04:00,"Free State Stadium, Bloemfontein",Cheetahs,Jaguares,33 - 34
4,1,27/02/2016 15:15,"Prince Chichibu Memorial Stadium, Tokyo",Sunwolves,Lions,13 - 26
5,1,27/02/2016 17:35,"AMI Stadium, Christchurch",Crusaders,Chiefs,21 - 27
6,1,27/02/2016 19:40,"Allianz Stadium, Sydney",Waratahs,Reds,30 - 10
7,1,27/02/2016 21:50,"nib Stadium, Perth",Force,Rebels,19 - 25
8,1,28/02/2016 00:00,"Nelson Mandela Bay Stadium, Port Elizabeth",Kings,Sharks,8 - 43
9,1,28/02/2016 02:05,"DHL Newlands, Cape Town",Stormers,Bulls,33 - 9
10,2,04/03/2016 17:35,"AMI Stadium, Christchurch",Crusaders,Blues,28 - 13
11,2,04/03/2016 19:40,"GIO Stadium, Canberra",Brumbies,Waratahs,32 - 15
12,2,05/03/2016 15:15,"FMG Stadium, Hamilton",Chiefs,Lions,32 - 36
13,2,05/03/2016 17:35,"Forsyth Barr Stadium, Dunedin",Highlanders,Hurricanes,17 - 16
14,2,05/03/2016 19:40,"Suncorp Stadium, Brisbane",Reds,Force,6 - 22
15,2,06/03/2016 00:00,"Loftus Versfeld, Pretoria",Bulls,Rebels,45 - 25
16,2,06/03/2016 02:05,"Free State Stadium, Bloemfontein",Cheetahs,Stormers,10 - 20
17,2,06/03/2016 04:10,"Growthpoint KINGS PARK, Durban",Sharks,Jaguares,19 - 15
18,3,11/03/2016 17:35,"Eden Park, Auckland",Blues,Hurricanes,19 - 23
19,3,11/03/2016 22:05,"nib Stadium, Perth",Force,Brumbies,14 - 31
20,3,12/03/2016 17:35,"Forsyth Barr Stadium, Dunedin",Highlanders,Lions,34 - 15
21,3,12/03/2016 19:40,"AAMI Park, Melbourne",Rebels,Reds,25 - 23
22,3,12/03/2016 21:50,"Singapore National Stadium, Singapore",Sunwolves,Cheetahs,31 - 32
23,3,13/03/2016 00:00,"Nelson Mandela Bay Stadium, Port Elizabeth",Kings,Chiefs,24 - 58
24,3,13/03/2016 02:05,"DHL Newlands, Cape Town",Stormers,Sharks,13 - 18
25,4,18/03/2016 17:35,"Central Energy Trust Arena, Palmerston North",Hurricanes,Force,41 - 6
26,4,18/03/2016 19:40,"Allianz Stadium, Sydney",Waratahs,Highlanders,26 - 30
31,4,19/03/2016 02:05,"Emirates Airlines Park, Johannesburg",Lions,Cheetahs,39 - 22
27,4,19/03/2016 04:00,"Loftus Versfeld, Pretoria",Bulls,Sharks,16 - 16
32,4,19/03/2016 04:10,"DHL Newlands, Cape Town",Stormers,Brumbies,31 - 11
33,4,19/03/2016 09:00,"V?lez Sarsfield, Buenos Aires",Jaguares,Chiefs,26 - 30
28,4,19/03/2016 15:15,"Prince Chichibu Memorial Stadium, Tokyo",Sunwolves,Rebels,9 - 35
29,4,19/03/2016 17:35,"AMI Stadium, Christchurch",Crusaders,Kings,57 - 24
30,4,19/03/2016 19:40,"Suncorp Stadium, Brisbane",Reds,Blues,25 - 25
34,5,25/03/2016 17:35,"Westpac Stadium, Wellington",Hurricanes,Kings,42 - 20
35,5,26/03/2016 17:35,"FMG Stadium, Hamilton",Chiefs,Force,53 - 10
36,5,26/03/2016 19:40,"AAMI Park, Melbourne",Rebels,Highlanders,3 - 27
37,5,26/03/2016 21:50,"Singapore National Stadium, Singapore",Sunwolves,Bulls,27 - 30
38,5,27/03/2016 00:00,"Free State Stadium, Bloemfontein",Cheetahs,Brumbies,18 - 25
39,5,27/03/2016 02:05,"Growthpoint KINGS PARK, Durban",Sharks,Crusaders,14 - 19
40,5,27/03/2016 09:00,"V?lez Sarsfield, Buenos Aires",Jaguares,Stormers,8 - 13
41,5,27/03/2016 16:05,"Suncorp Stadium, Brisbane",Reds,Waratahs,13 - 15
42,6,01/04/2016 17:35,"Forsyth Barr Stadium, Dunedin",Highlanders,Force,32 - 20
43,6,02/04/2016 04:00,"Emirates Airlines Park, Johannesburg",Lions,Crusaders,37 - 43
44,6,02/04/2016 17:35,"QBE Stadium, North Harbour",Blues,Jaguares,24 - 16
45,6,02/04/2016 19:40,"GIO Stadium, Canberra",Brumbies,Chiefs,23 - 48
46,6,03/04/2016 02:05,"Nelson Mandela Bay Stadium, Port Elizabeth",Kings,Sunwolves,33 - 28
47,6,03/04/2016 03:10,"Loftus Versfeld, Pretoria",Bulls,Cheetahs,23 - 18
48,6,03/04/2016 16:05,"Allianz Stadium, Sydney",Waratahs,Rebels,17 - 21
49,7,08/04/2016 17:35,"FMG Stadium, Hamilton",Chiefs,Blues,29 - 23
50,7,08/04/2016 21:00,"nib Stadium, Perth",Force,Crusaders,19 - 20
51,7,09/04/2016 03:00,"DHL Newlands, Cape Town",Stormers,Sunwolves,46 - 19
52,7,09/04/2016 17:35,"Westpac Stadium, Wellington",Hurricanes,Jaguares,40 - 22
53,7,09/04/2016 19:40,"Suncorp Stadium, Brisbane",Reds,Highlanders,28 - 27
