Round Number,Date,Location,Home Team,Away Team,Result
1,26/02/2021 06:05,Forsyth Barr Stadium,Highlanders,Crusaders,
1,27/02/2021 06:05,Sky Stadium,Hurricanes,Blues,
2,05/03/2021 06:05,FMG Stadium Waikato,Chiefs,Highlanders,
2,06/03/2021 06:05,Orangetheory Stadium,Crusaders,Hurricanes,
3,13/03/2021 06:05,Orangetheory Stadium,Crusaders,Chiefs,
3,14/03/2021 02:35,Eden Park,Blues,Highlanders,
4,20/03/2021 06:05,Sky Stadium,Hurricanes,Chiefs,
4,21/03/2021 02:35,Eden Park,Blues,Crusaders,
5,26/03/2021 06:05,Forsyth Barr Stadium,Highlanders,Hurricanes,
5,27/03/2021 06:05,FMG Stadium Waikato,Chiefs,Blues,
6,02/04/2021 06:05,Orangetheory Stadium,Crusaders,Highlanders,
6,03/04/2021 06:05,Eden Park,Blues,Hurricanes,
7,10/04/2021 07:05,Forsyth Barr Stadium,Highlanders,Chiefs,
7,11/04/2021 03:35,Sky Stadium,Hurricanes,Crusaders,
8,16/04/2021 07:05,Forsyth Barr Stadium,Highlanders,Blues,
8,17/04/2021 07:05,FMG Stadium Waikato,Chiefs,Crusaders,
9,23/04/2021 07:05,FMG Stadium Waikato,Chiefs,Hurricanes,
9,25/04/2021 03:35,Orangetheory Stadium,Crusaders,Blues,
10,30/04/2021 07:05,Sky Stadium,Hurricanes,Highlanders,
10,01/05/2021 07:05,Eden Park,Blues,Chiefs,
Final,08/05/2021 07:05,TBA,To be announced,To be announced,
