Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,14/02/2025 06:05,Apollo Projects Stadium,Crusaders,Hurricanes,33 - 25
2,1,14/02/2025 08:35,Allianz Stadium,NSW Waratahs,Highlanders,37 - 36
3,1,15/02/2025 03:35,HFC Bank Stadium,Fijian Drua,ACT Brumbies,32 - 36
4,1,15/02/2025 06:05,Eden Park,Blues,Chiefs,14 - 25
5,1,15/02/2025 08:35,HBF Park,Western Force,Moana Pasifika,45 - 44
6,2,21/02/2025 06:05,FMG Stadium Waikato,Chiefs,Crusaders,49 - 24
7,2,21/02/2025 08:35,Suncorp Stadium,Queensland Reds,Moana Pasifika,56 - 36
8,2,22/02/2025 03:35,McLean Park,Hurricanes,Fijian Drua,38 - 34
9,2,22/02/2025 06:05,Forsyth Barr Stadium,Highlanders,Blues,29 - 21
10,2,22/02/2025 08:35,GIO Stadium,ACT Brumbies,Western Force,42 - 45
11,3,28/02/2025 06:05,North Harbour Stadium,Moana Pasifika,Highlanders,29 - 31
12,3,28/02/2025 08:35,Allianz Stadium,NSW Waratahs,Fijian Drua,29 - 24
13,3,01/03/2025 03:35,FMG Stadium Waikato,Chiefs,ACT Brumbies,
14,3,01/03/2025 06:05,Sky Stadium,Hurricanes,Blues,
15,3,01/03/2025 08:35,HBF Park,Western Force,Queensland Reds,
16,4,07/03/2025 06:35,Eden Park,Blues,ACT Brumbies,
17,4,08/03/2025 03:35,Churchill Park,Fijian Drua,Chiefs,
18,4,08/03/2025 06:05,North Harbour Stadium,Moana Pasifika,Hurricanes,
19,4,08/03/2025 08:35,Allianz Stadium,NSW Waratahs,Western Force,
20,4,09/03/2025 02:35,Apollo Projects Stadium,Crusaders,Queensland Reds,
21,5,14/03/2025 06:05,Forsyth Barr Stadium,Highlanders,Hurricanes,
22,5,14/03/2025 08:35,GIO Stadium,ACT Brumbies,Fijian Drua,
23,5,15/03/2025 03:35,Apollo Projects Stadium,Crusaders,Western Force,
24,5,15/03/2025 06:05,FMG Stadium Waikato,Chiefs,Blues,
25,5,15/03/2025 08:35,Suncorp Stadium,Queensland Reds,NSW Waratahs,
26,6,21/03/2025 06:05,Teufaiva Stadium,Moana Pasifika,Chiefs,
27,6,22/03/2025 03:35,Forsyth Barr Stadium,Highlanders,Queensland Reds,
28,6,22/03/2025 06:05,Eden Park,Blues,Crusaders,
29,6,22/03/2025 08:35,Allianz Stadium,NSW Waratahs,ACT Brumbies,
30,6,23/03/2025 06:05,HBF Park,Western Force,Fijian Drua,
31,7,28/03/2025 06:05,Sky Stadium,Hurricanes,NSW Waratahs,
32,7,28/03/2025 08:35,GIO Stadium,ACT Brumbies,Highlanders,
33,7,29/03/2025 06:05,Apollo Projects Stadium,Crusaders,Moana Pasifika,
34,7,29/03/2025 08:35,Suncorp Stadium,Queensland Reds,Western Force,
35,8,04/04/2025 06:05,FMG Stadium Waikato,Chiefs,Queensland Reds,
36,8,05/04/2025 01:05,North Harbour Stadium,Moana Pasifika,NSW Waratahs,
37,8,05/04/2025 03:35,HFC Bank Stadium,Fijian Drua,Crusaders,
38,8,05/04/2025 06:05,Eden Park,Blues,Hurricanes,
39,8,05/04/2025 08:35,HBF Park,Western Force,Highlanders,
40,9,11/04/2025 07:05,Sky Stadium,Hurricanes,Crusaders,
41,9,11/04/2025 09:35,Allianz Stadium,NSW Waratahs,Chiefs,
42,9,12/04/2025 04:35,Eden Park,Blues,Moana Pasifika,
43,9,12/04/2025 07:05,Forsyth Barr Stadium,Highlanders,Fijian Drua,
44,9,12/04/2025 09:35,Suncorp Stadium,Queensland Reds,ACT Brumbies,
45,10,18/04/2025 07:05,Apollo Projects Stadium,Crusaders,Blues,
46,10,19/04/2025 01:05,Navigation Homes Stadium,Moana Pasifika,ACT Brumbies,
47,10,19/04/2025 03:35,Churchill Park,Fijian Drua,NSW Waratahs,
48,10,19/04/2025 07:05,FMG Stadium Waikato,Chiefs,Highlanders,
49,10,19/04/2025 09:35,HBF Park,Western Force,Hurricanes,
50,11,25/04/2025 07:05,Blake Park,Chiefs,Western Force,
51,11,25/04/2025 09:35,Suncorp Stadium,Queensland Reds,Blues,
52,11,26/04/2025 04:35,North Harbour Stadium,Moana Pasifika,Fijian Drua,
53,11,26/04/2025 07:05,Forsyth Barr Stadium,Highlanders,Crusaders,
54,11,26/04/2025 09:35,GIO Stadium,ACT Brumbies,Hurricanes,
55,12,02/05/2025 07:05,Eden Park,Blues,Western Force,
56,12,03/05/2025 02:05,HFC Bank Stadium,Fijian Drua,Queensland Reds,
57,12,03/05/2025 07:05,Sky Stadium,Hurricanes,Chiefs,
58,12,03/05/2025 09:35,GIO Stadium,ACT Brumbies,NSW Waratahs,
59,12,04/05/2025 03:35,Forsyth Barr Stadium,Highlanders,Moana Pasifika,
60,13,09/05/2025 07:05,HFC Bank Stadium,Fijian Drua,Blues,
61,13,09/05/2025 09:35,Allianz Stadium,NSW Waratahs,Queensland Reds,
62,13,10/05/2025 07:05,Apollo Projects Stadium,Crusaders,Chiefs,
63,13,10/05/2025 09:35,HBF Park,Western Force,ACT Brumbies,
64,14,16/05/2025 07:05,Sky Stadium,Hurricanes,Highlanders,
65,14,16/05/2025 09:35,Allianz Stadium,NSW Waratahs,Crusaders,
66,14,17/05/2025 03:35,Churchill Park,Fijian Drua,Western Force,
67,14,17/05/2025 07:05,North Harbour Stadium,Moana Pasifika,Blues,
68,14,17/05/2025 09:35,GIO Stadium,ACT Brumbies,Queensland Reds,
69,15,23/05/2025 07:05,Apollo Projects Stadium,Crusaders,Highlanders,
70,15,23/05/2025 09:35,Suncorp Stadium,Queensland Reds,Hurricanes,
71,15,24/05/2025 07:05,FMG Stadium Waikato,Chiefs,Moana Pasifika,
72,15,24/05/2025 09:35,HBF Park,Western Force,NSW Waratahs,
73,16,30/05/2025 07:05,Forsyth Barr Stadium,Highlanders,Chiefs,
74,16,30/05/2025 09:35,GIO Stadium,ACT Brumbies,Crusaders,
75,16,31/05/2025 04:35,Eden Park,Blues,NSW Waratahs,
76,16,31/05/2025 07:05,Sky Stadium,Hurricanes,Moana Pasifika,
77,16,31/05/2025 09:35,Suncorp Stadium,Queensland Reds,Fijian Drua,
