Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,24/02/2023 06:05,Orangetheory Stadium,Crusaders,Chiefs,10 - 31
2,1,24/02/2023 08:35,Allianz Stadium,NSW Waratahs,Brumbies,25 - 31
3,1,25/02/2023 03:35,Mt Smart Stadium,Moana Pasifika,Fijian Drua,34 - 36
4,1,25/02/2023 06:05,Forsyth Barr Stadium,Highlanders,Blues,20 - 60
5,1,25/02/2023 08:35,Queensland Country Bank Stadium,Queensland Reds,Hurricanes,13 - 47
6,1,25/02/2023 11:00,HBF Park,Western Force,Rebels,34 - 27
7,2,03/03/2023 07:00,AAMI Park,Crusaders,Highlanders,52 - 15
8,2,03/03/2023 09:10,AAMI Park,Rebels,Hurricanes,33 - 39
9,2,04/03/2023 06:05,AAMI Park,Moana Pasifika,Chiefs,29 - 52
10,2,04/03/2023 08:35,AAMI Park,Fijian Drua,NSW Waratahs,17 - 46
11,2,05/03/2023 03:00,AAMI Park,Blues,Brumbies,20 - 25
12,2,05/03/2023 05:30,AAMI Park,Western Force,Queensland Reds,20 - 71
13,3,10/03/2023 06:05,FMG Stadium Waikato,Chiefs,Highlanders,28 - 7
14,3,10/03/2023 08:35,AAMI Park,Rebels,NSW Waratahs,34 - 27
15,3,11/03/2023 03:35,Churchill Park,Fijian Drua,Crusaders,25 - 24
16,3,11/03/2023 06:05,Sky Stadium,Hurricanes,Blues,19 - 25
17,3,11/03/2023 08:35,GIO Stadium,Brumbies,Queensland Reds,23 - 17
18,3,11/03/2023 11:00,HBF Park,Western Force,Moana Pasifika,21 - 18
19,4,17/03/2023 06:05,Sky Stadium,Hurricanes,NSW Waratahs,34 - 17
20,4,18/03/2023 03:35,FMG Stadium Waikato,Chiefs,Rebels,44 - 25
21,4,18/03/2023 06:05,Eden Park,Blues,Crusaders,28 - 34
22,4,18/03/2023 08:35,GIO Stadium,Brumbies,Moana Pasifika,62 - 36
23,4,19/03/2023 02:35,Invercargill Rugby Park,Highlanders,Western Force,43 - 35
24,4,19/03/2023 05:00,Suncorp Stadium,Queensland Reds,Fijian Drua,27 - 24
25,5,24/03/2023 06:05,Orangetheory Stadium,Crusaders,Brumbies,35 - 17
26,5,24/03/2023 08:35,Allianz Stadium,NSW Waratahs,Chiefs,14 - 24
27,5,25/03/2023 03:35,Forsyth Barr Stadium,Highlanders,Fijian Drua,57 - 24
28,5,25/03/2023 06:05,Mt Smart Stadium,Moana Pasifika,Hurricanes,0 - 59
29,5,25/03/2023 08:35,AAMI Park,Rebels,Queensland Reds,40 - 34
30,5,26/03/2023 02:35,Eden Park,Blues,Western Force,30 - 17
31,6,31/03/2023 06:05,Mt Smart Stadium,Moana Pasifika,Highlanders,17 - 45
32,6,31/03/2023 08:35,Suncorp Stadium,Queensland Reds,Crusaders,12 - 25
33,6,01/04/2023 03:35,HFC Bank Stadium,Fijian Drua,Rebels,38 - 28
34,6,01/04/2023 06:05,FMG Stadium Waikato,Chiefs,Blues,20 - 13
35,6,01/04/2023 08:35,GIO Stadium,Brumbies,NSW Waratahs,40 - 36
36,6,02/04/2023 03:35,Central Energy Trust Arena,Hurricanes,Western Force,45 - 42
37,7,07/04/2023 07:05,Orangetheory Stadium,Crusaders,Moana Pasifika,38 - 21
38,7,07/04/2023 09:35,Suncorp Stadium,Queensland Reds,Brumbies,24 - 52
39,7,08/04/2023 07:05,Forsyth Barr Stadium,Highlanders,Hurricanes,14 - 29
40,7,08/04/2023 09:35,AAMI Park,Rebels,Blues,17 - 54
41,8,14/04/2023 04:05,Apia Park,Moana Pasifika,Queensland Reds,
42,8,14/04/2023 09:35,GIO Stadium,Brumbies,Fijian Drua,
43,8,15/04/2023 07:05,Sky Stadium,Hurricanes,Chiefs,
44,8,15/04/2023 09:35,Allianz Stadium,NSW Waratahs,Western Force,
45,9,21/04/2023 07:05,FMG Stadium Waikato,Chiefs,Fijian Drua,
