Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/02/2017 19:45,AAMI Park,Rebels,Blues,18 - 56
2,1,24/02/2017 17:35,Forsyth Barr Stadium,Highlanders,Chiefs,15 - 24
3,1,24/02/2017 20:00,Suncorp Stadium,Reds,Sharks,28 - 26
4,1,25/02/2017 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Hurricanes,17 - 83
5,1,25/02/2017 17:35,AMI Stadium,Crusaders,Brumbies,17 - 13
6,1,25/02/2017 19:45,Allianz Stadium,Waratahs,Force,19 - 13
7,1,26/02/2017 00:05,Free State Stadium,Cheetahs,Lions,25 - 28
8,1,26/02/2017 02:15,Nelson Mandela Bay Stadium,Kings,Jaguares,26 - 36
9,1,26/02/2017 04:30,DHL Newlands,Stormers,Bulls,37 - 24
10,2,02/03/2017 21:30,nib Stadium,Force,Reds,26 - 19
11,2,03/03/2017 17:35,FMG Stadium Waikato,Chiefs,Blues,41 - 26
12,2,04/03/2017 15:15,Westpac Stadium,Hurricanes,Rebels,71 - 6
13,2,04/03/2017 17:35,Forsyth Barr Stadium,Highlanders,Crusaders,27 - 30
14,2,04/03/2017 19:45,GIO Stadium,Brumbies,Sharks,22 - 27
15,2,04/03/2017 21:55,Singapore National Stadium,Sunwloves,Kings,23 - 37
16,2,05/03/2017 00:05,Emirates Airlines Park,Lions,Waratahs,55 - 36
17,2,05/03/2017 02:15,DHL Newlands,Stormers,Jaguares,32 - 25
18,2,05/03/2017 04:30,Free State Stadium,Cheetahs,Bulls,34 - 28
19,3,10/03/2017 17:35,FMG Stadium Waikato,Chiefs,Hurricanes,26 - 18
20,3,10/03/2017 19:45,GIO Stadium,Brumbies,Force,25 - 17
22,3,11/03/2017 17:35,Eden Park,Blues,Highlanders,12 - 16
23,3,11/03/2017 19:45,Suncorp Stadium,Reds,Crusaders,20 - 22
24,3,12/03/2017 02:15,Free State Stadium,Cheetahs,Sunwolves,38 - 31
21,3,12/03/2017 04:30,Growthpoint Kings Park,Sharks,Waratahs,37 - 14
25,3,12/03/2017 04:30,Nelson Mandela Bay Stadium,Kings,Stormers,10 - 41
26,3,12/03/2017 06:40,Velez Sarsfield,Jaguares,Lions,36 - 24
27,4,17/03/2017 17:35,AMI Stadium,Crusaders,Blues,33 - 24
28,4,17/03/2017 19:45,AAMI Park,Rebels,Chiefs,14 - 27
29,4,18/03/2017 04:00,Loftus Versfeld,Bulls,Sunwolves,34 - 21
30,4,18/03/2017 17:35,Westpac Stadium,Hurricanes,Highlanders,41 - 15
31,4,18/03/2017 19:45,Allianz Stadium,Waratahs,Brumbies,12 - 28
32,4,19/03/2017 02:15,Emirates Airlines Park,Lions,Reds,44 - 14
33,4,19/03/2017 04:30,Growthpoint Kings Park,Sharks,Kings,19 - 17
34,4,19/03/2017 06:40,Velez Sarsfield,Jaguares,Cheetahs,41 - 14
35,5,24/03/2017 17:35,AMI Stadium,Crusaders,Force,45 - 17
36,5,24/03/2017 19:45,AAMI Park,Rebels,Waratahs,25 - 32
37,5,25/03/2017 17:35,QBE Stadium,Blues,Bulls,38 - 14
38,5,25/03/2017 19:45,GIO Stadium,Brumbies,Highlanders,13 - 18
39,5,25/03/2017 21:55,Singapore National Stadium,Sunwolves,Stormers,31 - 44
40,5,26/03/2017 00:05,Nelson Mandela Bay Stadium,Kings,Lions,19 - 42
41,5,26/03/2017 02:15,Free State Stadium,Cheetahs,Sharks,30 - 38
42,5,26/03/2017 08:40,Velez Sarsfield,Jaguares,Reds,22 - 8
43,6,31/03/2017 17:35,Forsyth Barr Stadium,Highlanders,Rebels,51 - 12
44,6,01/04/2017 15:15,Eden Park,Blues,Force,24 - 15
45,6,01/04/2017 17:35,FMG Stadium Waikato,Chiefs,Bulls,28 - 12
46,6,01/04/2017 19:45,Suncorp Stadium,Reds,Hurricanes,15 - 34
47,6,02/04/2017 00:05,DHL Newlands,Stormers,Cheetahs,53 - 10
48,6,02/04/2017 02:15,Emirates Airlines Park,Lions,Sharks,34 - 29
49,6,02/04/2017 16:05,Allianz Stadium,Waratahs,Crusaders,22 - 41
50,7,07/04/2017 17:35,Westpac Stadium,Hurricanes,Waratahs,38 - 28
51,7,08/04/2017 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Bulls,21 - 20
52,7,08/04/2017 17:35,Forsyth Barr Stadium,Highlanders,Blues,26 - 20
53,7,08/04/2017 19:45,GIO Stadium,Brumbies,Reds,43 - 10
54,7,08/04/2017 23:05,Growthpoint Kings Park,Sharks,Jaguares,18 - 13
55,7,09/04/2017 01:15,DHL Newlands,Stormers,Chiefs,34 - 26
56,7,09/04/2017 16:05,nib Stadium,Force,Kings,46 - 41
57,8,14/04/2017 17:35,AMI Stadium,Crusaders,Sunwolves,50 - 3
58,8,15/04/2017 15:05,Suncorp Stadium,Reds,Kings,47 - 34
59,8,15/04/2017 17:35,Eden Park,Blues,Hurricanes,24 - 28
60,8,15/04/2017 19:45,AAMI Park,Rebels,Brumbies,19 - 17
61,8,15/04/2017 23:05,Free State Stadium,Cheetahs,Chiefs,27 - 41
62,8,16/04/2017 01:15,DHL Newlands,Stormers,Lions,16 - 29
63,8,16/04/2017 03:30,Loftus Versfeld,Bulls,Jaguares,26 - 13
64,9,21/04/2017 17:35,McLean Park,Hurricanes,Brumbies,56 - 21
68,9,21/04/2017 19:45,Allianz Stadium,Waratahs,Kings,24 - 26
65,9,22/04/2017 04:00,Emirates Airlines Park,Lions,Jaguares,24 - 21
66,9,22/04/2017 15:15,Rugby Park,Highlanders,Sunwolves,40 - 15
67,9,22/04/2017 17:35,AMI Stadium,Crusaders,Stormers,57 - 24
69,9,22/04/2017 21:55,nib Stadium,Force,Chiefs,7 - 16
70,9,23/04/2017 01:15,Loftus Versfeld,Bulls,Cheetahs,20 - 14
71,9,23/04/2017 03:30,Growthpoint Kings Park,Sharks,Rebels,9 - 9
72,10,28/04/2017 17:35,Forsyth Barr Stadium,Highlanders,Stormers,57 - 14
73,10,29/04/2017 17:35,FMG Stadium Waikato,Chiefs,Sunwolves,27 - 20
74,10,29/04/2017 19:45,Suncorp Stadium,Reds,Waratahs,26 - 29
75,10,29/04/2017 21:55,nib Stadium,Force,Lions,15 - 24
76,10,30/04/2017 01:15,Free State Stadium,Cheetahs,Crusaders,14 - 48
77,10,30/04/2017 03:30,Nelson Mandela Bay Stadium,Kings,Rebels,44 - 3
78,10,30/04/2017 05:40,Velez Sarsfield,Jaguares,Sharks,25 - 33
79,10,30/04/2017 16:05,GIO Stadium,Brumbies,Blues,12 - 18
80,11,05/05/2017 17:35,Westpac Stadium,Hurricanes,Stormers,41 - 22
81,11,06/05/2017 03:00,Free State Stadium,Cheetahs,Highlanders,41 - 45
82,11,06/05/2017 15:00,AAMI Park,Rebels,Lions,10 - 47
83,11,06/05/2017 17:35,Yarrow Stadium,Chiefs,Reds,46 - 17
84,11,06/05/2017 19:45,Allianz Stadium,Waratahs,Blues,33 - 40
85,11,06/05/2017 23:05,Growthpoint Kings Park,Sharks,Force,37 - 12
86,11,07/05/2017 01:15,Loftus Versfeld,Bulls,Crusaders,24 - 62
87,11,07/05/2017 07:40,Velez Sarsfield,Jaguares,Sunwolves,46 - 39
88,12,12/05/2017 17:35,Eden Park,Blues,Cheetahs,50 - 32
89,12,12/05/2017 19:45,GIO Stadium,Brumbies,Lions,6 - 13
90,12,13/05/2017 17:35,AMI Stadium,Crusaders,Hurricanes,20 - 12
91,12,13/05/2017 19:45,AAMI Park,Rebels,Reds,24 - 29
92,12,13/05/2017 23:05,Loftus Versfeld,Bulls,Highlanders,10 - 17
93,12,14/05/2017 01:15,Nelson Mandela Bay Stadium,Kings,Sharks,35 - 32
94,12,14/05/2017 07:40,Velez Sarsfield,Jaguares,Force,6 - 16
95,13,19/05/2017 17:35,ANZ National Stadium,Chiefs,Crusaders,24 - 31
96,13,20/05/2017 03:00,DHL Newlands,Stormers,Blues,30 - 22
97,13,20/05/2017 17:35,Westpac Stadium,Hurricanes,Cheetahs,61 - 7
98,13,20/05/2017 19:45,nib Stadium,Force,Highlanders,6 - 55
99,13,20/05/2017 21:55,Singapore National Stadium,Sunwolves,Sharks,17 - 38
100,13,20/05/2017 23:05,Nelson Mandela Bay Stadium,Kings,Brumbies,10 - 19
101,13,21/05/2017 01:15,Emirates Airlines Park,Lions,Bulls,51 - 14
102,13,21/05/2017 16:05,Allianz Stadium,Waratahs,Rebels,50 - 23
103,14,26/05/2017 17:35,Eden Park,Blues,Chiefs,16 - 16
104,14,26/05/2017 19:45,Suncorp Stadium,Reds,Force,26 - 40
105,14,27/05/2017 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Cheetahs,7 - 47
106,14,27/05/2017 17:35,Forsyth Barr Stadium,Highlanders,Waratahs,44 - 28
107,14,27/05/2017 19:45,AAMI Park,Rebels,Crusaders,19 - 41
108,14,27/05/2017 23:05,Loftus Versfeld,Bulls,Hurricanes,20 - 34
109,14,28/05/2017 01:15,Growthpoint Kings Park,Sharks,Stormers,22 - 10
110,14,28/05/2017 07:40,Velez Sarsfield,Jaguares,Brumbies,15 - 39
111,14,28/05/2017 22:30,Emirates Airlines Park,Lions,Kings,54 - 10
112,15,02/06/2017 17:35,Apia Park,Blues,Reds,34 - 29
113,15,03/06/2017 12:35,AMI Stadium,Crusaders,Highlanders,25 - 22
114,15,03/06/2017 15:05,FMG Stadium Waikato,Chiefs,Waratahs,46 - 31
115,15,03/06/2017 19:45,GIO Stadium,Brumbies,Rebels,32 - 3
116,15,03/06/2017 21:55,nib Stadium,Force,Hurricanes,12 - 34
117,16,09/06/2017 17:35,Westpac Stadium,Hurricanes,Chiefs,14 - 17
121,17,01/07/2017 03:00,Growthpoint Kings Park,Sharks,Bulls,17 - 30
118,17,01/07/2017 09:05,Estadio José Amalfitani,Jaguares,Kings,30 - 31
120,17,01/07/2017 23:05,Free State Stadium,Cheetahs,Stormers,34 - 40
119,17,02/07/2017 01:15,Emirates Airlines Park,Lions,Sunwolves,94 - 7
122,18,07/07/2017 19:45,Suncorp Stadium,Reds,Brumbies,16 - 15
123,18,07/07/2017 21:55,nib Stadium,Force,Rebels,31 - 22
124,18,08/07/2017 19:45,Allianz Stadium,Waratahs,Jaguares,27 - 40
125,18,09/07/2017 01:15,Loftus Versfeld,Bulls,Kings,30 - 31
126,18,09/07/2017 03:30,DHL Newlands,Stormers,Sunwolves,52 - 15
127,19,14/07/2017 17:35,Forsyth Barr Stadium,Highlanders,Reds,40 - 17
128,19,14/07/2017 19:45,AAMI Park,Rebels,Jaguares,29 - 32
129,19,15/07/2017 03:00,Nelson Mandela Bay Stadium,Kings,Cheetahs,20 - 21
130,19,15/07/2017 13:05,Prince Chichibu Memorial Stadium,Sunwolves,Blues,48 - 21
131,19,15/07/2017 15:15,FMG Stadium Waikato,Chiefs,Brumbies,28 - 10
132,19,15/07/2017 17:35,Westpac Stadium,Hurricanes,Crusaders,31 - 22
133,19,15/07/2017 19:45,nib Stadium,Force,Waratahs,40 - 11
134,19,16/07/2017 01:15,Growthpoint Kings Park,Sharks,Lions,10 - 27
135,19,16/07/2017 03:30,Loftus Versfeld,Bulls,Stormers,33 - 41
