Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,13/06/2020 19:05,Forsyth Barr Stadium,Highlanders,Chiefs,28 - 27
2,1,14/06/2020 15:35,Eden Park,Blues,Hurricanes,30 - 20
3,2,20/06/2020 19:05,FMG Stadium Waikato,Chiefs,Blues,12 - 24
4,2,21/06/2020 15:35,Sky Stadium,Hurricanes,Crusaders,25 - 39
5,3,27/06/2020 19:05,Eden Park,Blues,Highlanders,27 - 24
6,3,28/06/2020 15:35,Orangetheory Stadium,Crusaders,Chiefs,18 - 13
7,4,04/07/2020 19:05,Forsyth Barr Stadium,Highlanders,Crusaders,20 - 40
8,4,05/07/2020 15:35,FMG Stadium Waikato,Chiefs,Hurricanes,18 - 25
9,5,11/07/2020 19:05,Orangetheory Stadium,Crusaders,Blues,26 - 15
10,5,12/07/2020 15:35,Sky Stadium,Hurricanes,Highlanders,17 - 11
11,6,18/07/2020 19:05,Sky Stadium,Hurricanes,Blues,29 - 27
12,6,19/07/2020 15:35,FMG Stadium Waikato,Chiefs,Highlanders,31 - 33
13,7,25/07/2020 19:05,Orangetheory Stadium,Crusaders,Hurricanes,32 - 34
14,7,26/07/2020 15:35,Eden Park,Blues,Chiefs,21 - 17
15,8,01/08/2020 19:05,FMG Stadium Waikato,Chiefs,Crusaders,19 - 32
16,8,02/08/2020 15:35,Forsyth Barr Stadium,Highlanders,Blues,21 - 32
17,9,08/08/2020 19:05,Sky Stadium,Hurricanes,Chiefs,31 - 18
18,9,09/08/2020 15:35,Orangetheory Stadium,Crusaders,Highlanders,32 - 22
19,10,15/08/2020 15:05,Forsyth Barr Stadium,Highlanders,Hurricanes,38 - 21
20,10,16/08/2020 15:35,Eden Park,Blues,Crusaders,
