Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,14/05/2021 07:05,Forsyth Barr Stadium,Highlanders,Queensland Reds,
2,1,14/05/2021 09:45,TBA,NSW Waratahs,Hurricanes,
3,1,15/05/2021 07:05,Orangetheory Stadium,Crusaders,Brumbies,
4,1,15/05/2021 09:45,AAMI Park,Rebels,Blues,
5,1,15/05/2021 11:55,HBF Park,Western Force,Chiefs,
6,2,21/05/2021 07:05,Sky Stadium,Hurricanes,Rebels,
7,2,21/05/2021 09:45,HBF Park,Western Force,Highlanders,
8,2,22/05/2021 04:35,Eden Park,Blues,NSW Waratahs,
9,2,22/05/2021 07:05,FMG Stadium Waikato,Chiefs,Brumbies,
10,2,22/05/2021 09:45,Suncorp Stadium,Queensland Reds,Crusaders,
11,3,27/05/2021 23:00,TBA,Rebels,Highlanders,
12,3,27/05/2021 23:00,TBA,Hurricanes,Western Force,
13,3,28/05/2021 23:00,TBA,NSW Waratahs,Crusaders,
14,3,28/05/2021 23:00,TBA,Queensland Reds,Chiefs,
15,3,28/05/2021 23:00,TBA,Brumbies,Blues,
16,4,04/06/2021 07:05,Orangetheory Stadium,Crusaders,Western Force,
17,4,04/06/2021 09:45,Suncorp Stadium,Queensland Reds,Blues,
18,4,05/06/2021 04:35,FMG Stadium Waikato,Chiefs,Rebels,
19,4,05/06/2021 07:05,Forsyth Barr Stadium,Highlanders,NSW Waratahs,
20,4,05/06/2021 09:45,GIO Stadium,Brumbies,Hurricanes,
21,5,11/06/2021 06:05,Sky Stadium,Hurricanes,Queensland Reds,
22,5,11/06/2021 08:45,GIO Stadium,Brumbies,Highlanders,
23,5,12/06/2021 03:35,AAMI Park,Rebels,Crusaders,
24,5,12/06/2021 06:05,Eden Park,Blues,Western Force,
25,5,12/06/2021 08:45,TBA,NSW Waratahs,Chiefs,
26,Final,18/06/2021 23:00,TBA,To be announced,To be announced,
