Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/02/2018 00:05,DHL Newlands,Stormers,Jaguares,28 - 20
2,1,18/02/2018 02:15,Emirates Airlines Park,Lions,Sharks,26 - 19
3,2,23/02/2018 17:35,Forsyth Barr Stadium,Highlanders,Blues,41 - 34
4,2,23/02/2018 19:45,AAMI Park,Rebels,Reds,45 - 19
5,2,24/02/2018 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Brumbies,25 - 32
6,2,24/02/2018 17:35,AMI Stadium,Crusaders,Chiefs,45 - 23
7,2,24/02/2018 19:45,Allianz Stadium,Waratahs,Stormers,34 - 27
8,2,25/02/2018 00:05,Emirates Airlines Park,Lions,Jaguares,47 - 27
9,2,25/02/2018 02:15,Loftus Versfeld,Bulls,Hurricanes,21 - 19
10,3,02/03/2018 17:35,Eden Park,Blues,Chiefs,21 - 27
11,3,02/03/2018 20:00,Suncorp Stadium,Reds,Brumbies,18 - 10
13,3,03/03/2018 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Rebels,17 - 37
12,3,03/03/2018 17:35,AMI Stadium,Crusaders,Stormers,45 - 28
14,3,04/03/2018 00:05,Kings Park Stadium,Sharks,Waratahs,24 - 24
15,3,04/03/2018 02:15,Loftus Versfeld,Bulls,Lions,35 - 49
16,3,04/03/2018 08:40,Estadio Jose Amalfitani,Jaguares,Hurricanes,9 - 34
17,4,09/03/2018 17:35,Forsyth Barr Stadium,Highlanders,Stormers,33 - 19
18,4,09/03/2018 19:45,AAMI Park,Rebels,Brumbies,33 - 10
19,4,10/03/2018 17:35,Westpac Stadium,Hurricanes,Crusaders,29 - 19
20,4,10/03/2018 19:45,Suncorp Stadium,Reds,Bulls,20 - 14
21,4,11/03/2018 00:05,Kings Park Stadium,Sharks,Sunwolves,50 - 22
22,4,11/03/2018 02:15,Emirates Airlines Park,Lions,Blues,35 - 38
23,4,11/03/2018 08:40,Estadio Jose Amalfitani,Jaguares,Waratahs,38 - 28
24,5,16/03/2018 17:35,FMG Stadium Waikato,Chiefs,Bulls,41 - 28
25,5,17/03/2018 17:35,Forsyth Barr Stadium,Highlanders,Crusaders,25 - 17
26,5,17/03/2018 19:45,GIO Stadium,Brumbies,Sharks,24 - 17
27,5,18/03/2018 00:05,DHL Newlands,Stormers,Blues,37 - 20
28,5,18/03/2018 02:15,Emirates Airlines Park,Lions,Sunwolves,40 - 38
29,5,18/03/2018 08:40,Estadio Jose Amalfitani,Jaguares,Reds,7 - 18
30,5,18/03/2018 16:05,Allianz Stadium,Waratahs,Rebels,51 - 27
31,6,23/03/2018 17:35,AMI Stadium,Crusaders,Bulls,33 - 14
32,6,23/03/2018 19:45,AAMI Park,Rebels,Sharks,46 - 14
33,6,24/03/2018 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Chiefs,10 - 61
34,6,24/03/2018 17:35,Westpac Stadium,Hurricanes,Highlanders,29 - 12
35,6,25/03/2018 02:15,DHL Newlands,Stormers,Reds,25 - 19
36,6,25/03/2018 06:40,Estadio Jose Amalfitani,Jaguares,Lions,49 - 35
37,7,30/03/2018 17:35,FMG Stadium Waikato,Chiefs,Highlanders,27 - 22
40,7,30/03/2018 19:45,AAMI Park,Rebels,Hurricanes,19 - 50
38,7,31/03/2018 17:35,Eden Park,Blues,Sharks,40 - 63
39,7,31/03/2018 19:45,GIO Stadium,Brumbies,Waratahs,17 - 24
41,7,01/04/2018 02:15,Loftus Versfeld,Bulls,Stormers,33 - 23
42,7,01/04/2018 22:30,Emirates Airlines Park,Lions,Crusaders,8 - 14
43,8,06/04/2018 17:35,McLean Park,Hurricanes,Sharks,38 - 37
44,8,07/04/2018 15:15,Prince Chichibu Memorial Stadium,Sunwolves,Waratahs,29 - 50
45,8,07/04/2018 17:35,FMG Stadium Waikato,Chiefs,Blues,21 - 19
46,8,07/04/2018 19:45,GIO Stadium,Brumbies,Reds,45 - 21
47,8,08/04/2018 01:15,Emirates Airlines Park,Lions,Stormers,52 - 31
48,8,08/04/2018 07:40,Estadio Jose Amalfitani,Jaguares,Crusaders,14 - 40
49,9,13/04/2018 17:35,Westpac Stadium,Hurricanes,Chiefs,25 - 13
50,9,14/04/2018 13:05,Prince Chichibu Memorial Stadium,Sunwolves,Blues,10 - 24
51,9,14/04/2018 15:15,AAMI Park,Rebels,Jaguares,22 - 25
52,9,14/04/2018 17:35,Forsyth Barr Stadium,Highlanders,Brumbies,43 - 17
53,9,14/04/2018 19:45,Sydney Cricket Ground,Waratahs,Reds,37 - 16
54,9,15/04/2018 01:15,Kings Park Stadium,Sharks,Bulls,10 - 40
55,10,20/04/2018 17:35,Eden Park,Blues,Highlanders,16 - 34
56,10,20/04/2018 19:45,Allianz Stadium,Waratahs,Lions,0 - 29
57,10,21/04/2018 17:35,AMI Stadium,Crusaders,Sunwolves,33 - 11
58,10,21/04/2018 19:45,Suncorp Stadium,Reds,Chiefs,12 - 36
59,10,21/04/2018 23:05,Loftus Versfeld,Bulls,Rebels,28 - 10
60,10,22/04/2018 01:15,Kings Park Stadium,Sharks,Stormers,24 - 17
61,10,22/04/2018 16:05,GIO Stadium,Brumbies,Jaguares,20 - 25
62,11,27/04/2018 17:35,Westpac Stadium,Hurricanes,Sunwolves,43 - 15
63,11,27/04/2018 23:05,DHL Newlands,Stormers,Rebels,34 - 18
64,11,28/04/2018 15:05,Suncorp Stadium,Reds,Lions,27 - 22
65,11,28/04/2018 17:35,Eden Park,Blues,Jaguares,13 - 20
66,11,28/04/2018 19:45,GIO Stadium,Brumbies,Crusaders,8 - 21
67,11,29/04/2018 01:15,Loftus Versfeld,Bulls,Highlanders,28 - 29
68,12,04/05/2018 17:35,Rotorua International Stadium,Chiefs,Jaguares,19 - 23
69,12,04/05/2018 19:45,AAMI Park,Rebels,Crusaders,10 - 55
71,12,05/05/2018 17:35,Westpac Stadium,Hurricanes,Lions,28 - 19
70,12,05/05/2018 19:45,Brookvale Oval,Waratahs,Blues,21 - 24
