Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,31/01/2020 06:05,Eden Park,Blues,Chiefs,29 - 37
2,1,31/01/2020 08:15,GIO Stadium,Brumbies,Reds,27 - 24
3,1,31/01/2020 17:10,Jonsson Kings Park,Sharks,Bulls,23 - 15
4,1,01/02/2020 03:45,Level5 Stadium,Sunwolves,Rebels,36 - 27
5,1,01/02/2020 06:05,Trafalgar Park,Crusaders,Waratahs,43 - 25
6,1,01/02/2020 13:05,DHL Newlands,Stormers,Hurricanes,27 - 0
7,1,01/02/2020 23:00,Estadio Jose Amalfitani,Jaguares,Lions,38 - 8
8,2,07/02/2020 06:05,Forsyth Barr Stadium,Highlanders,Sharks,20 - 42
9,2,07/02/2020 08:15,GIO Stadium,Brumbies,Rebels,39 - 26
10,2,08/02/2020 06:05,FMG Stadium Waikato,Chiefs,Crusaders,25 - 15
11,2,08/02/2020 08:15,McDonald Jones Stadium,Waratahs,Blues,12 - 32
12,2,08/02/2020 13:05,Emirates Airlines Park,Lions,Reds,27 - 20
13,2,08/02/2020 15:15,DHL Newlands,Stormers,Bulls,13 - 0
14,2,08/02/2020 23:00,Estadio Jose Amalfitani,Jaguares,Hurricanes,23 - 26
15,3,14/02/2020 06:05,Eden Park,Blues,Crusaders,8 - 25
16,3,14/02/2020 08:15,AAMI Park,Rebels,Waratahs,24 - 10
17,3,15/02/2020 03:45,Prince Chichibu Memorial Stadium,Sunwolves,Chiefs,17 - 43
18,3,15/02/2020 06:05,Sky Stadium,Hurricanes,Sharks,38 - 22
19,3,15/02/2020 08:15,GIO Stadium,Brumbies,Highlanders,22 - 23
20,3,15/02/2020 13:05,Emirates Airlines Park,Lions,Stormers,30 - 33
21,3,15/02/2020 23:00,Estadio Jose Amalfitani,Jaguares,Reds,43 - 27
22,4,21/02/2020 06:05,Orangetheory Stadium,Crusaders,Highlanders,33 - 13
23,4,22/02/2020 03:45,Mars Stadium,Rebels,Sharks,24 - 36
24,4,22/02/2020 06:05,FMG Stadium Waikato,Chiefs,Brumbies,14 - 26
25,4,22/02/2020 08:15,Suncorp Stadium,Reds,Sunwolves,64 - 5
26,4,22/02/2020 13:05,DHL Newlands,Stormers,Jaguares,17 - 7
27,4,22/02/2020 15:15,Loftus Versfeld,Bulls,Blues,21 - 23
28,5,28/02/2020 06:05,Forsyth Barr Stadium,Highlanders,Rebels,22 - 28
29,5,28/02/2020 08:15,Bankwest Stadium,Waratahs,Lions,29 - 17
30,5,29/02/2020 03:45,McLean Park,Hurricanes,Sunwolves,62 - 15
31,5,29/02/2020 08:15,Suncorp Stadium,Reds,Sharks,23 - 33
32,5,29/02/2020 13:05,DHL Newlands,Stormers,Blues,14 - 33
33,5,29/02/2020 15:15,Loftus Versfeld,Bulls,Jaguares,24 - 39
40,6,06/03/2020 03:45,WIN Stadium,Sunwolves,Brumbies,14 - 47
34,6,06/03/2020 06:05,Orangetheory Stadium,Crusaders,Reds,24 - 20
35,6,06/03/2020 08:15,WIN Stadium,Waratahs,Chiefs,14 - 51
36,6,07/03/2020 06:05,Sky Stadium,Hurricanes,Blues,15 - 24
37,6,07/03/2020 08:15,AAMI Park,Rebels,Lions,37 - 17
38,6,07/03/2020 13:05,Jonsson Kings Park,Sharks,Jaguares,33 - 19
39,6,07/03/2020 15:15,Loftus Versfeld,Bulls,Highlanders,38 - 13
41,7,13/03/2020 06:05,FMG Stadium Waikato,Chiefs,Hurricanes,24 - 27
43,7,14/03/2020 03:25,Eden Park,Blues,Lions,43 - 10
42,7,14/03/2020 05:35,Suncorp Stadium,Sunwolves,Crusaders,14 - 49
44,7,14/03/2020 08:15,Suncorp Stadium,Reds,Bulls,41 - 17
45,7,14/03/2020 13:05,Jonsson Kings Park,Sharks,Stormers,24 - 14
47,7,15/03/2020 05:05,GIO Stadium,Brumbies,Waratahs,47 - 14
