Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/02/2024 06:05,FMG Stadium Waikato,Chiefs,Crusaders,33 - 29
2,1,23/02/2024 08:35,AAMI Park,Melbourne Rebels,ACT Brumbies,3 - 30
3,1,23/02/2024 11:00,HBF Park,Western Force,Hurricanes,14 - 44
4,1,24/02/2024 03:35,Semenoff Stadium,Blues,Fijian Drua,34 - 10
5,1,24/02/2024 06:05,Forsyth Barr Stadium,Highlanders,Moana Pasifika,35 - 21
6,1,24/02/2024 09:05,Suncorp Stadium,Queensland Reds,NSW Waratahs,40 - 22
7,2,01/03/2024 07:00,AAMI Park,Highlanders,Blues,29 - 37
8,2,01/03/2024 09:10,AAMI Park,Melbourne Rebels,Western Force,48 - 34
9,2,02/03/2024 06:00,AAMI Park,Moana Pasifika,Fijian Drua,39 - 36
10,2,02/03/2024 08:35,AAMI Park,Crusaders,NSW Waratahs,24 - 37
11,2,03/03/2024 03:00,AAMI Park,Chiefs,ACT Brumbies,46 - 12
12,2,03/03/2024 05:30,AAMI Park,Hurricanes,Queensland Reds,38 - 33
13,3,08/03/2024 06:05,FMG Stadium Waikato,Moana Pasifika,Melbourne Rebels,23 - 29
14,3,08/03/2024 08:35,Allianz Stadium,NSW Waratahs,Highlanders,21 - 23
15,3,09/03/2024 01:05,Churchill Park,Fijian Drua,Crusaders,20 - 10
16,3,09/03/2024 03:35,GIO Stadium,ACT Brumbies,Western Force,22 - 19
17,3,09/03/2024 06:05,Sky Stadium,Hurricanes,Blues,29 - 21
18,3,09/03/2024 08:35,Suncorp Stadium,Queensland Reds,Chiefs,25 - 19
19,4,15/03/2024 06:05,Apollo Projects Stadium,Crusaders,Hurricanes,10 - 14
20,4,15/03/2024 08:35,AAMI Park,Melbourne Rebels,Queensland Reds,26 - 53
21,4,15/03/2024 11:00,HBF Park,Western Force,Moana Pasifika,14 - 22
22,4,16/03/2024 03:35,Forsyth Barr Stadium,Highlanders,ACT Brumbies,21 - 27
23,4,16/03/2024 06:30,FMG Stadium Waikato,Chiefs,Fijian Drua,46 - 29
24,4,16/03/2024 08:35,Allianz Stadium,NSW Waratahs,Blues,10 - 12
25,5,22/03/2024 06:05,Central Energy Trust Arena,Hurricanes,Melbourne Rebels,54 - 28
26,5,22/03/2024 08:35,GIO Stadium,ACT Brumbies,Moana Pasifika,60 - 21
27,5,23/03/2024 01:05,Churchill Park,Fijian Drua,NSW Waratahs,39 - 36
28,5,23/03/2024 03:35,FMG Stadium Waikato,Chiefs,Highlanders,28 - 21
29,5,23/03/2024 06:05,Eden Park,Blues,Crusaders,26 - 6
30,5,23/03/2024 08:35,HBF Park,Western Force,Queensland Reds,40 - 31
31,6,29/03/2024 06:05,Apollo Projects Stadium,Crusaders,Chiefs,37 - 26
32,6,29/03/2024 08:35,Allianz Stadium,NSW Waratahs,Melbourne Rebels,21 - 27
33,6,30/03/2024 01:05,Churchill Park,Fijian Drua,Western Force,31 - 13
34,6,30/03/2024 03:35,Eden Park,Moana Pasifika,Blues,8 - 47
35,6,30/03/2024 06:05,Forsyth Barr Stadium,Highlanders,Hurricanes,12 - 47
36,6,30/03/2024 08:35,Suncorp Stadium,Queensland Reds,ACT Brumbies,19 - 20
37,7,05/04/2024 06:05,Eden Park,Blues,Western Force,50 - 3
38,7,05/04/2024 08:35,AAMI Park,Melbourne Rebels,Fijian Drua,41 - 20
39,7,06/04/2024 06:05,FMG Stadium Waikato,Chiefs,Moana Pasifika,68 - 12
40,7,06/04/2024 08:35,GIO Stadium,ACT Brumbies,NSW Waratahs,40 - 16
41,8,12/04/2024 07:05,Semenoff Stadium,Moana Pasifika,Queensland Reds,17 - 14
42,8,12/04/2024 09:35,Allianz Stadium,NSW Waratahs,Crusaders,43 - 40
43,8,13/04/2024 07:05,Sky Stadium,Hurricanes,Chiefs,36 - 23
44,8,13/04/2024 09:35,AAMI Park,Melbourne Rebels,Highlanders,47 - 31
45,9,19/04/2024 07:05,HFC Bank Stadium,Fijian Drua,Hurricanes,15 - 38
46,9,19/04/2024 09:35,Suncorp Stadium,Queensland Reds,Highlanders,31 - 0
