Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,13/02/2026 06:05,Forsyth Barr Stadium,Highlanders,Crusaders,25 - 23
2,1,13/02/2026 08:35,Allianz Stadium,NSW Waratahs,Queensland Reds,36 - 12
3,1,14/02/2026 03:35,Churchill Park,Fijian Drua,Moana Pasifika,26 - 40
4,1,14/02/2026 06:05,Eden Park,Blues,Chiefs,15 - 19
5,1,14/02/2026 08:35,HBF Park,Western Force,ACT Brumbies,24 - 56
6,2,20/02/2026 06:05,Sky Stadium,Hurricanes,Moana Pasifika,52 - 10
7,2,20/02/2026 08:35,Allianz Stadium,NSW Waratahs,Fijian Drua,36 - 13
8,2,21/02/2026 06:05,Forsyth Barr Stadium,Highlanders,Chiefs,
9,2,21/02/2026 08:35,HIF Health Insurance Oval,Western Force,Blues,
10,2,22/02/2026 02:35,Apollo Projects Stadium,Crusaders,ACT Brumbies,
11,3,27/02/2026 06:05,Navigation Homes Stadium,Moana Pasifika,Western Force,
12,3,27/02/2026 08:35,Suncorp Stadium,Queensland Reds,Highlanders,
13,3,28/02/2026 03:35,Churchill Park,Fijian Drua,Hurricanes,
14,3,28/02/2026 06:05,FMG Stadium Waikato,Chiefs,Crusaders,
15,3,28/02/2026 08:35,GIO Stadium,ACT Brumbies,Blues,
16,4,06/03/2026 06:05,FMG Stadium Waikato,Chiefs,Moana Pasifika,
17,4,06/03/2026 08:35,Allianz Stadium,NSW Waratahs,Hurricanes,
18,4,07/03/2026 03:35,Forsyth Barr Stadium,Highlanders,Western Force,
19,4,07/03/2026 06:05,Eden Park,Blues,Crusaders,
20,4,07/03/2026 08:35,GIO Stadium,ACT Brumbies,Queensland Reds,
21,5,13/03/2026 06:05,McLean Park,Hurricanes,Western Force,
22,5,14/03/2026 03:35,Four R Stadium,Fijian Drua,ACT Brumbies,
23,5,14/03/2026 06:05,Apollo Projects Stadium,Crusaders,Highlanders,
24,5,14/03/2026 08:35,Suncorp Stadium,Queensland Reds,NSW Waratahs,
25,5,15/03/2026 02:35,Eden Park,Blues,Moana Pasifika,
26,6,20/03/2026 06:05,Forsyth Barr Stadium,Highlanders,Hurricanes,
27,6,20/03/2026 08:35,GIO Stadium,ACT Brumbies,Chiefs,
28,6,21/03/2026 03:35,Churchill Park,Fijian Drua,Queensland Reds,
29,6,21/03/2026 06:05,North Harbour Stadium,Moana Pasifika,Crusaders,
30,6,21/03/2026 08:35,Allianz Stadium,NSW Waratahs,Blues,
31,7,27/03/2026 06:05,North Harbour Stadium,Moana Pasifika,Highlanders,
32,7,27/03/2026 08:35,GIO Stadium,ACT Brumbies,NSW Waratahs,
33,7,28/03/2026 03:35,Sky Stadium,Hurricanes,Queensland Reds,
34,7,28/03/2026 06:05,Eden Park,Blues,Fijian Drua,
35,7,28/03/2026 08:35,HBF Park,Western Force,Chiefs,
36,8,03/04/2026 06:05,Apollo Projects Stadium,Crusaders,Fijian Drua,
37,8,04/04/2026 06:05,FMG Stadium Waikato,Chiefs,NSW Waratahs,
38,8,04/04/2026 08:35,Suncorp Stadium,Queensland Reds,Western Force,
39,9,10/04/2026 07:05,Forsyth Barr Stadium,Highlanders,ACT Brumbies,
40,9,11/04/2026 02:05,Teufaiva Stadium,Moana Pasifika,Chiefs,
41,9,11/04/2026 04:35,Churchill Park,Fijian Drua,Western Force,
42,9,11/04/2026 07:05,Sky Stadium,Hurricanes,Blues,
43,9,11/04/2026 09:35,Suncorp Stadium,Queensland Reds,Crusaders,
44,10,17/04/2026 07:05,Eden Park,Blues,Highlanders,
45,10,17/04/2026 09:35,Allianz Stadium,NSW Waratahs,Moana Pasifika,
46,10,18/04/2026 07:05,FMG Stadium Waikato,Chiefs,Hurricanes,
47,10,18/04/2026 09:35,GIO Stadium,ACT Brumbies,Fijian Drua,
48,10,18/04/2026 11:55,HBF Park,Western Force,Crusaders,
49,11,24/04/2026 07:35,One NZ Stadium,Crusaders,NSW Waratahs,
50,11,25/04/2026 05:05,One NZ Stadium,Hurricanes,ACT Brumbies,
51,11,25/04/2026 07:35,One NZ Stadium,Blues,Queensland Reds,
52,11,26/04/2026 02:00,One NZ Stadium,Highlanders,Moana Pasifika,
53,11,26/04/2026 04:30,One NZ Stadium,Chiefs,Fijian Drua,
54,12,01/05/2026 07:05,Sky Stadium,Hurricanes,Crusaders,
55,12,01/05/2026 09:35,Allianz Stadium,NSW Waratahs,Western Force,
56,12,02/05/2026 04:35,Four R Stadium,Fijian Drua,Highlanders,
57,12,02/05/2026 07:05,North Harbour Stadium,Moana Pasifika,Blues,
58,12,02/05/2026 09:35,Suncorp Stadium,Queensland Reds,ACT Brumbies,
59,13,08/05/2026 07:05,One NZ Stadium,Crusaders,Blues,
60,13,08/05/2026 09:35,Suncorp Stadium,Queensland Reds,Chiefs,
61,13,09/05/2026 04:35,Forsyth Barr Stadium,Highlanders,NSW Waratahs,
62,13,09/05/2026 07:05,North Harbour Stadium,Moana Pasifika,Hurricanes,
63,13,09/05/2026 09:35,GIO Stadium,ACT Brumbies,Western Force,
64,14,15/05/2026 07:05,FMG Stadium Waikato,Chiefs,Highlanders,
65,14,16/05/2026 04:35,HFC Bank Stadium,Fijian Drua,NSW Waratahs,
66,14,16/05/2026 07:05,Eden Park,Blues,Hurricanes,
67,14,16/05/2026 09:35,HBF Park,Western Force,Queensland Reds,
68,15,22/05/2026 07:05,One NZ Stadium,Crusaders,Chiefs,
