Round,Date,Time,Home,Away,HG,AG,Venue
Round_Placeholder,Date_Placeholder,01.03. 09:30,Wakefield,St Helens,6,26,N/A
Round_Placeholder,Date_Placeholder,01.03. 16:30,Wigan Warriors,Warrington,48,24,N/A
Round_Placeholder,Date_Placeholder,01.08. 15:00,Leigh,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,01.08. 15:00,St Helens,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,02.03. 10:00,Leeds,Castleford,38,24,N/A
Round_Placeholder,Date_Placeholder,03.05. 10:00,Leigh,Catalans Dragons,26,24,N/A
Round_Placeholder,Date_Placeholder,03.05. 12:15,Hull KR,Salford,54,0,N/A
Round_Placeholder,Date_Placeholder,03.05. 14:30,St Helens,Leeds,4,17,N/A
Round_Placeholder,Date_Placeholder,03.07. 15:00,Castleford,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,04.05. 08:00,Huddersfield,Hull FC,12,10,N/A
Round_Placeholder,Date_Placeholder,04.05. 10:15,Wigan Warriors,Warrington,22,20,N/A
Round_Placeholder,Date_Placeholder,04.05. 12:30,Castleford,Wakefield,8,32,N/A
Round_Placeholder,Date_Placeholder,04.07. 15:00,Leigh,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,04.07. 15:00,Salford,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,04.09. 15:00,Salford,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,05.07. 10:00,Hull FC,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,05.07. 12:30,Wakefield,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,05.09. 15:00,Castleford,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,05.09. 15:00,St Helens,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,06.03. 15:00AET,Hull FC,Leigh,22,22,N/A
Round_Placeholder,Date_Placeholder,06.07. 10:00,Hull KR,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,06.09. 10:00,Warrington,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,06.09. 12:30,Huddersfield,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,07.03. 15:00,Castleford,Salford,22,14,N/A
Round_Placeholder,Date_Placeholder,07.03. 15:00,St Helens,Hull KR,10,20,N/A
Round_Placeholder,Date_Placeholder,07.08. 15:00,Leigh,Leeds,,,N/A
Round_Placeholder,Date_Placeholder,07.09. 10:00,Hull KR,Hull FC,,,N/A
Round_Placeholder,Date_Placeholder,08.03. 12:30,Catalans Dragons,Leeds,11,0,N/A
Round_Placeholder,Date_Placeholder,08.08. 15:00,Wakefield,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,08.08. 15:00,Warrington,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,09.03. 09:00,Warrington,Wakefield,16,30,N/A
Round_Placeholder,Date_Placeholder,09.03. 09:00,Wigan Warriors,Huddersfield,44,18,N/A
Round_Placeholder,Date_Placeholder,09.08. 10:00,Hull KR,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,09.08. 12:30,Huddersfield,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,10.04. 15:00,Salford,Leeds,0,28,N/A
Round_Placeholder,Date_Placeholder,10.07. 15:00,Hull FC,Wakefield,,,N/A
Round_Placeholder,Date_Placeholder,10.08. 10:00,Hull FC,Salford,,,N/A
Round_Placeholder,Date_Placeholder,11.04. 15:00,Hull KR,Wigan Warriors,12,28,N/A
Round_Placeholder,Date_Placeholder,11.04. 15:00,St Helens,Wakefield,26,14,N/A
Round_Placeholder,Date_Placeholder,11.07. 15:00,Leeds,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,11.07. 15:00,Wigan Warriors,Huddersfield,,,N/A
Round_Placeholder,Date_Placeholder,11.09. 15:00,Leeds,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,12.04. 12:30,Warrington,Hull FC,16,28,N/A
Round_Placeholder,Date_Placeholder,12.04. 15:00,Castleford,Leigh,6,20,N/A
Round_Placeholder,Date_Placeholder,12.07. 10:00,Leigh,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,12.07. 13:00,Catalans Dragons,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,12.09. 15:00,Leigh,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,12.09. 15:00,Wigan Warriors,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,13.02. 15:00AET,Wigan Warriors,Leigh,0,1,N/A
Round_Placeholder,Date_Placeholder,13.04. 10:00,Huddersfield,Catalans Dragons,18,38,N/A
Round_Placeholder,Date_Placeholder,13.06. 15:00,Hull FC,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,13.06. 15:00,Hull KR,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,13.07. 10:00,Salford,Castleford,,,N/A
Round_Placeholder,Date_Placeholder,13.09. 10:00,Wakefield,Hull KR,,,N/A
Round_Placeholder,Date_Placeholder,13.09. 12:30,Hull FC,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,14.02. 15:00,Catalans Dragons,Hull FC,4,24,N/A
Round_Placeholder,Date_Placeholder,14.02. 15:00AET,Hull KR,Castleford,19,18,N/A
Round_Placeholder,Date_Placeholder,14.06. 10:00,Huddersfield,Wigan Warriors,,,N/A
Round_Placeholder,Date_Placeholder,14.06. 12:30,Leeds,Warrington,,,N/A
Round_Placeholder,Date_Placeholder,14.08. 15:00,Warrington,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,14.09. 10:00,Huddersfield,Salford,,,N/A
Round_Placeholder,Date_Placeholder,15.02. 10:00,Leeds,Wakefield,12,14,N/A
Round_Placeholder,Date_Placeholder,15.02. 12:30,St Helens,Salford,82,0,N/A
Round_Placeholder,Date_Placeholder,15.05. 15:00,St Helens,Catalans Dragons,,,N/A
Round_Placeholder,Date_Placeholder,15.06. 09:30,Wakefield,Leigh,,,N/A
Round_Placeholder,Date_Placeholder,15.06. 10:00,Salford,St Helens,,,N/A
Round_Placeholder,Date_Placeholder,15.08. 15:00,St Helens,Huddersfield,,,N/A
