Round,Date,Time,Home,Away,HG,AG,Venue
Round N/A (Selenium),Date N/A (Selenium),14.06. 12:30,Leeds,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),15.06. 09:30,Wakefield,Leigh,,,N/A
Round N/A (Selenium),Date N/A (Selenium),15.06. 10:00,Salford,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.06. 15:00,Castleford,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),20.06. 15:00,St Helens,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),20.06. 15:00,Wakefield,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),21.06. 10:00,Warrington,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),21.06. 12:30,Catalans Dragons,Leigh,,,N/A
Round N/A (Selenium),Date N/A (Selenium),22.06. 10:00,Salford,Hull FC,,,N/A
Round N/A (Selenium),Date N/A (Selenium),27.06. 15:00,Hull KR,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),27.06. 15:00,Leeds,Leigh,,,N/A
Round N/A (Selenium),Date N/A (Selenium),27.06. 15:00,Warrington,Hull FC,,,N/A
Round N/A (Selenium),Date N/A (Selenium),28.06. 12:30,Catalans Dragons,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),28.06. 15:00,Castleford,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),29.06. 10:00,St Helens,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),03.07. 15:00,Castleford,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),04.07. 15:00,Leigh,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),04.07. 15:00,Salford,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),05.07. 10:00,Hull FC,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),05.07. 12:30,Wakefield,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),06.07. 10:00,Hull KR,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),10.07. 15:00,Hull FC,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),11.07. 15:00,Leeds,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),11.07. 15:00,Wigan Warriors,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),12.07. 10:00,Leigh,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),12.07. 13:00,Catalans Dragons,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),13.07. 10:00,Salford,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),17.07. 15:00,St Helens,Leigh,,,N/A
Round N/A (Selenium),Date N/A (Selenium),18.07. 15:00,Huddersfield,Wakefield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),18.07. 15:00,Leeds,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.07. 10:00,Wigan Warriors,Hull FC,,,N/A
Round N/A (Selenium),Date N/A (Selenium),19.07. 13:00,Catalans Dragons,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),20.07. 10:00,Castleford,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),24.07. 15:00,Wakefield,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),25.07. 15:00,Wigan Warriors,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),26.07. 10:00,Hull FC,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),31.07. 15:00,Salford,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),01.08. 15:00,Leigh,Warrington,,,N/A
Round N/A (Selenium),Date N/A (Selenium),01.08. 15:00,St Helens,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),07.08. 15:00,Leigh,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),08.08. 15:00,Wakefield,St Helens,,,N/A
Round N/A (Selenium),Date N/A (Selenium),08.08. 15:00,Warrington,Wigan Warriors,,,N/A
Round N/A (Selenium),Date N/A (Selenium),09.08. 10:00,Hull KR,Castleford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),09.08. 12:30,Huddersfield,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),10.08. 10:00,Hull FC,Salford,,,N/A
Round N/A (Selenium),Date N/A (Selenium),14.08. 15:00,Warrington,Catalans Dragons,,,N/A
Round N/A (Selenium),Date N/A (Selenium),15.08. 15:00,St Helens,Huddersfield,,,N/A
Round N/A (Selenium),Date N/A (Selenium),15.08. 15:00,Wigan Warriors,Hull KR,,,N/A
Round N/A (Selenium),Date N/A (Selenium),16.08. 10:00,Castleford,Leeds,,,N/A
Round N/A (Selenium),Date N/A (Selenium),16.08. 12:30,Hull FC,Leigh,,,N/A
