22 March 2019,2019,Western Force,26,16,World XV,"HBF Park, Perth"
29 March 2019,2019,Western Force,45,22,South China Tigers,"HBF Park, Perth"
2 April 2019,2019,Western Force,42,10,Asia Pacific Dragons,"HBF Park, Perth"
21 April 2019,2019,South China Tigers,29,19,Asia Pacific Dragons,"Aberdeen Stadium, HK"
28 April 2019,2019,Asia Pacific Dragons,41,26,South China Tigers,"Queenstown Stadium, SG"
5 May 2019,2019,Asia Pacific Dragons,3,7,Western Force,"Queenstown Stadium, SG"
12 May 2019,2019,South China Tigers,16,40,Western Force,"Aberdeen Stadium, HK"
18 May 2019,2019,Fijian Latui,38,32,Kagifa Samoa,"Churchill Park, Lautoka"
25 May 2019,2019,Fijian Latui,15,27,Western Force,"Churchill Park, Lautoka"
31 May 2019,2019,Western Force,63,5,Kagifa Samoa,"HBF Park, Perth"
7 June 2019,2019,Kagifa Samoa,31,37,Fijian Latui,"Pukekohe Stadium, Auckland"
15 June 2019,2019,Kagifa Samoa,28,44,Western Force,"Ballymore, Brisbane"
21 June 2019,2019,Western Force,45,24,Fijian Latui,"HBF Park, Perth"
9 August 2019,2019,Western Force,74,10,Malaysia Valke,"HBF Park, Perth"
19 April 2019,2019,Sanix-Coca-Cola XV,7,43,Western Force,"Global Arena, Fukuoka"
27 April 2019,2019,Japan A Wolfpack,51,38,Western Force,"Chichibunomiya, Tokyo"
