rk,team,str,ofs,dfs,sos
1,FNB Maties,0.51,0.15,-0.35,0.05
2,FNB UP-Tuks,0.49,0.25,-0.23,-0.02
3,FNB CUT Ixias,0.43,0.30,-0.13,-0.07
4,FNB UCT Ikeys,0.29,0.10,-0.18,0.03
5,FNB NWU Eagles,-0.02,0.00,0.02,-0.04
6,FNB Wits,-0.08,-0.22,-0.14,0.17
7,FNB UFS Shimlas,-0.25,-0.07,0.18,0.08
8,FNB UJ,-0.31,-0.24,0.07,0.20
9,FNB UWC,-0.39,-0.07,0.33,0.06
10,FNB Madibaz,-0.67,-0.19,0.47,0.00
