rk,team,str,ofs,dfs,sos
1,Exeter Chiefs,0.36,0.17,-0.19,-0.02
2,Bristol Bears,0.31,0.12,-0.19,-0.01
3,Sale Sharks,0.29,0.07,-0.22,-0.02
4,Harlequins,0.20,0.25,0.05,0.00
5,Saracens,0.13,0.11,-0.02,0.00
6,Wasps,0.00,0.09,0.09,0.01
7,Northampton Saints,-0.03,-0.06,-0.03,0.02
8,Leicester Tigers,-0.08,-0.08,0.00,0.01
9,Gloucester Rugby,-0.09,-0.03,0.06,0.02
10,Bath Rugby,-0.10,-0.01,0.09,0.02
11,London Irish,-0.26,-0.13,0.13,0.02
12,Newcastle Falcons,-0.30,-0.20,0.10,0.03
13,Worcester Warriors,-0.42,-0.27,0.15,0.05
