date,event,city,site,team,e_p,opponent,e_p
2015-09-23,Rugby World Cup 2015,Cardiff,neutral,Australia,51.1,Fiji,14.7
2015-09-23,Rugby World Cup 2015,London,neutral,France,57.5,Romania,10.5
2015-09-23,Rugby World Cup 2015,Gloucester,neutral,Scotland,38.7,Japan,17.9
2015-09-25,Rugby World Cup 2015,Gloucester,neutral,Argentina,41.6,Georgia,11.8
2015-09-26,Rugby World Cup 2015,London,home,England,32.2,Wales,19.5
2015-09-26,Rugby World Cup 2015,Leeds,neutral,Italy,33.0,Canada,19.3
2015-09-26,Rugby World Cup 2015,Birmingham,neutral,South Africa,43.8,Samoa,14.9
2015-09-27,Rugby World Cup 2015,London,neutral,Ireland,54.7,Romania,9.9
2015-09-27,Rugby World Cup 2015,Leeds,neutral,Scotland,39.5,United States,15.3
2015-10-01,Rugby World Cup 2015,Milton Keynes,neutral,France,50.1,Canada,12.6
2015-10-01,Rugby World Cup 2015,Cardiff,home,Wales,44.7,Fiji,16.9
2015-10-02,Rugby World Cup 2015,Cardiff,neutral,New Zealand,75.1,Georgia,7.0
2015-10-03,Rugby World Cup 2015,London,home,England,24.8,Australia,24.4
2015-10-03,Rugby World Cup 2015,Milton Keynes,neutral,Samoa,36.3,Japan,21.1
2015-10-03,Rugby World Cup 2015,Newcastle upon Tyne,neutral,South Africa,37.3,Scotland,15.9
2015-10-04,Rugby World Cup 2015,Leicester,neutral,Argentina,37.7,Tonga,18.9
2015-10-04,Rugby World Cup 2015,London,neutral,Ireland,35.9,Italy,15.4
2015-10-06,Rugby World Cup 2015,Leicester,neutral,Canada,29.4,Romania,21.3
2015-10-07,Rugby World Cup 2015,London,neutral,South Africa,68.7,United States,11.4
2015-10-09,Rugby World Cup 2015,Newcastle upon Tyne,neutral,New Zealand,68.0,Tonga,11.2
2015-10-10,Rugby World Cup 2015,London,neutral,Australia,34.1,Wales,21.0
2015-10-10,Rugby World Cup 2015,Newcastle upon Tyne,neutral,Samoa,20.1,Scotland,25.2
2015-10-11,Rugby World Cup 2015,Cardiff,neutral,France,23.4,Ireland,23.5
2015-10-11,Rugby World Cup 2015,Exeter,neutral,Italy,37.8,Romania,16.0
2015-10-11,Rugby World Cup 2015,Gloucester,neutral,United States,27.7,Japan,33.1
