date,event,city,site,team,e_p,opponent,e_p,e_d
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,away,Belgium,10.4,Spain,21.4,-11.0
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Brazil,9.7,Fiji,32.7,-23.0
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,England,41.4,Poland,6.0,35.4
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,England,23.3,Ireland,12.9,10.5
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,France,13.3,Australia,16.9,-3.6
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Ireland,11.8,Canada,22.0,-10.2
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Poland,5.5,Canada,39.0,-33.5
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Russian Federation,8.3,Australia,28.8,-20.5
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,Russian Federation,13.5,United States,19.6,-6.1
2022-01-23,HSBC World Rugby Sevens Series 2022 - Malaga,Malaga,neutral,United States,11.5,France,21.6,-10.1
