rk,team,str,ofs,dfs,sos
1,New Zealand 7s,3.07,1.59,-1.48,1.55
2,Australia 7s,2.77,1.56,-1.21,1.55
3,France 7s,2.44,1.41,-1.03,1.62
4,Fiji 7s,2.21,1.39,-0.82,1.59
5,Great Britain  7s,2.18,1.21,-0.97,1.22
6,USA 7s,1.86,1.15,-0.71,1.70
7,Ireland 7s,1.70,1.10,-0.59,1.66
8,Russia 7s,1.58,1.00,-0.58,1.56
9,Canada 7s,1.54,0.99,-0.55,1.67
10,England 7s,1.27,0.92,-0.35,1.64
11,China 7s,1.07,0.73,-0.34,1.29
12,Brazil 7s,0.98,0.73,-0.25,1.45
13,Poland 7s,0.74,0.51,-0.23,0.50
14,Spain 7s,0.63,0.36,-0.27,1.64
15,Japan 7s,0.58,0.49,-0.09,1.41
16,Kenya 7s,0.43,0.31,-0.13,0.52
17,Scotland 7s,0.42,0.49,0.07,0.56
18,Kazakhstan 7s,-0.33,-0.20,0.12,-0.08
19,Belgium 7's,-0.40,-0.09,0.31,0.33
20,Hong Kong 7s,-0.41,0.07,0.48,-0.16
21,Argentina 7s,-0.63,-0.07,0.57,0.46
22,Tunisia 7s,-0.64,0.02,0.66,0.97
23,South Africa 7s,-0.67,-0.35,0.32,1.21
24,Colombia 7s,-1.08,-0.47,0.61,0.63
25,Madagascar 7s,-1.36,-1.04,0.32,0.18
26,Chile 7s,-1.41,-0.63,0.78,-0.43
27,Portugal 7s,-1.70,-0.97,0.73,0.71
28,Samoa 7s,-1.71,-1.09,0.62,0.15
29,Papua New Guinea 7s,-2.04,-1.03,1.01,0.49
30,Mexico 7s,-2.30,-1.49,0.81,0.56
31,Uganda 7s,-3.64,-2.48,1.17,-0.67
32,Sri Lanka 7s,-6.93,-5.87,1.07,1.12
