rk,team,str,ofs,dfs,sos
1,Leinster,0.59,0.37,-0.23,-0.06
2,La Rochelle,0.50,0.10,-0.40,0.00
3,Ulster,0.44,0.23,-0.21,-0.05
4,Munster,0.36,0.09,-0.26,0.00
5,Stade Toulousain,0.36,0.26,-0.10,0.01
6,Clermont,0.32,0.30,-0.02,-0.03
7,Bristol,0.30,0.14,-0.17,0.01
8,Racing 92,0.29,0.18,-0.11,0.02
9,Bordeaux Begles,0.29,0.16,-0.13,0.05
10,Exeter Chiefs,0.28,0.08,-0.20,-0.02
11,Sale Sharks,0.21,0.04,-0.16,-0.03
12,Lyon,0.21,0.08,-0.13,0.04
13,Harlequins,0.15,0.20,0.06,0.11
14,RC Toulonnais,0.13,0.07,-0.06,0.04
15,Northampton Saints,0.11,0.09,-0.03,0.06
16,Connacht,0.04,0.09,0.05,-0.01
17,Ospreys,0.02,-0.07,-0.09,-0.06
18,Cardiff Blues,0.00,-0.14,-0.14,-0.05
19,Leicester Tigers,0.00,0.05,0.05,-0.03
20,Montpellier,0.00,-0.04,-0.04,0.03
21,Stade Francais Paris,-0.03,0.03,0.06,0.02
22,Wasps,-0.05,-0.03,0.02,0.02
23,London Irish,-0.07,-0.03,0.04,-0.08
24,Scarlets,-0.09,-0.14,-0.05,-0.03
25,Glasgow Warriors,-0.11,-0.05,0.06,0.03
26,Newcastle Falcons,-0.12,-0.11,0.01,0.02
27,Section Paloise,-0.12,0.00,0.12,0.04
28,CA Brive,-0.13,-0.06,0.07,-0.03
29,Gloucester,-0.17,-0.03,0.13,0.09
30,Castres Olympique,-0.19,-0.08,0.11,0.02
31,Bath,-0.20,0.01,0.21,-0.05
32,Dragons,-0.30,-0.15,0.16,0.03
33,Edinburgh,-0.30,-0.28,0.03,0.09
34,Aviron Bayonnais,-0.32,-0.09,0.23,0.02
35,Benetton,-0.39,-0.20,0.19,-0.06
36,Worcester Warriors,-0.44,-0.25,0.19,0.03
37,Zebre,-0.62,-0.36,0.26,0.00
38,Agen,-0.95,-0.47,0.47,0.04
