1,Mens Rugby Union
2,Womens Rugby Union
3,Mens Rugby Sevens
4,Womens Rugby Sevens
5,Junior Mens Union
6,Junior Womens Union
7,Mens Junior Sevens
8,Womens Junior Sevens
