477,,2,Cardiff Arms Park,Cardiff,Wales,-404438400000,-404438400000,"Sat 9 Mar 1957, 00:00 GMT",,33,Wales,WAL,36,Ireland,IRE,6,5,C,A,190,1957 Five Nations,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":477,""venue"":{""id"":2,""name"":""Cardiff Arms Park"",""city"":""Cardiff"",""country"":""Wales""},""time"":{""millis"":-404438400000,""label"":""Sat 9 Mar 1957, 00:00 GMT""},""teams"":[{""id"":33,""name"":""Wales"",""abbreviation"":""WAL""},{""id"":36,""name"":""Ireland"",""abbreviation"":""IRE""}],""scores"":[6,5],""status"":""C"",""outcome"":""A"",""events"":[{""id"":190,""label"":""1957 Five Nations"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
936,,3,Twickenham,London,England,-403779600000,-403779600000,"Sat 16 Mar 1957, 15:00 GMT",70000,34,England,ENG,35,Scotland,SCO,16,3,C,A,190,1957 Five Nations,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":936,""venue"":{""id"":3,""name"":""Twickenham"",""city"":""London"",""country"":""England""},""time"":{""millis"":-403779600000,""label"":""Sat 16 Mar 1957, 15:00 GMT""},""attendance"":70000,""teams"":[{""id"":34,""name"":""England"",""abbreviation"":""ENG""},{""id"":35,""name"":""Scotland"",""abbreviation"":""SCO""}],""scores"":[16,3],""status"":""C"",""outcome"":""A"",""events"":[{""id"":190,""label"":""1957 Five Nations"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
478,,34,Stade Colombes,Paris,France,-403228800000,-403228800000,"Sat 23 Mar 1957, 00:00 GMT",26000,42,France,FRA,33,Wales,WAL,13,19,C,B,190,1957 Five Nations,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":478,""venue"":{""id"":34,""name"":""Stade Colombes"",""city"":""Paris"",""country"":""France""},""time"":{""millis"":-403228800000,""label"":""Sat 23 Mar 1957, 00:00 GMT""},""attendance"":26000,""teams"":[{""id"":42,""name"":""France"",""abbreviation"":""FRA""},{""id"":33,""name"":""Wales"",""abbreviation"":""WAL""}],""scores"":[13,19],""status"":""C"",""outcome"":""B"",""events"":[{""id"":190,""label"":""1957 Five Nations"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
2618,,,,,,-400723200000,-400723200000,"Sun 21 Apr 1957, 00:00 GMT",8000,42,France,FRA,41,Italy,ITA,38,6,C,A,,,,,,,,"{""matchId"":2618,""time"":{""millis"":-400723200000,""label"":""Sun 21 Apr 1957, 00:00 GMT""},""attendance"":8000,""teams"":[{""id"":42,""name"":""France"",""abbreviation"":""FRA""},{""id"":41,""name"":""Italy"",""abbreviation"":""ITA""}],""scores"":[38,6],""status"":""C"",""outcome"":""A"",""events"":[]}"
5096,,,,,,-399513600000,-399513600000,"Sun 5 May 1957, 00:00 GMT",,1211,Czechoslovakia,TCH,1166,West Germany,FRG,9,3,C,A,,,,,,,,"{""matchId"":5096,""time"":{""millis"":-399513600000,""label"":""Sun 5 May 1957, 00:00 GMT""},""teams"":[{""id"":1211,""name"":""Czechoslovakia"",""abbreviation"":""TCH""},{""id"":1166,""name"":""West Germany"",""abbreviation"":""FRG""}],""scores"":[9,3],""status"":""C"",""outcome"":""A"",""events"":[]}"
7423,,82,Sydney Sports Ground,Sydney,Australia,-398390400000,-398390400000,"Sat 18 May 1957, 00:00 GMT",,62,New South Wales,,37,New Zealand,NZL,3,19,C,B,591,1957 New Zealand Tour of Australia,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":7423,""venue"":{""id"":82,""name"":""Sydney Sports Ground"",""city"":""Sydney"",""country"":""Australia""},""time"":{""millis"":-398390400000,""label"":""Sat 18 May 1957, 00:00 GMT""},""teams"":[{""id"":62,""name"":""New South Wales""},{""id"":37,""name"":""New Zealand"",""abbreviation"":""NZL""}],""scores"":[3,19],""status"":""C"",""outcome"":""B"",""events"":[{""id"":591,""label"":""1957 New Zealand Tour of Australia"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
2572,,136,Stadionul 23 August,Bucuresti,Romania,-398241000000,-398241000000,"Sun 19 May 1957, 17:30 GMT",95000,52,Romania,ROM,42,France,FRA,15,18,C,B,,,,,,,,"{""matchId"":2572,""venue"":{""id"":136,""name"":""Stadionul 23 August"",""city"":""Bucuresti"",""country"":""Romania""},""time"":{""millis"":-398241000000,""label"":""Sun 19 May 1957, 17:30 GMT""},""attendance"":95000,""teams"":[{""id"":52,""name"":""Romania"",""abbreviation"":""ROM""},{""id"":42,""name"":""France"",""abbreviation"":""FRA""}],""scores"":[15,18],""status"":""C"",""outcome"":""B"",""events"":[]}"
7424,,598,Sports Ground,Warren,Australia,-398044800000,-398044800000,"Wed 22 May 1957, 00:00 GMT",,2129,Western New South Wales,,37,New Zealand,NZL,6,33,C,B,591,1957 New Zealand Tour of Australia,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":7424,""venue"":{""id"":598,""name"":""Sports Ground"",""city"":""Warren"",""country"":""Australia""},""time"":{""millis"":-398044800000,""label"":""Wed 22 May 1957, 00:00 GMT""},""teams"":[{""id"":2129,""name"":""Western New South Wales""},{""id"":37,""name"":""New Zealand"",""abbreviation"":""NZL""}],""scores"":[6,33],""status"":""C"",""outcome"":""B"",""events"":[{""id"":591,""label"":""1957 New Zealand Tour of Australia"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
1475,,66,Sydney Cricket Ground,Sydney,Australia,-397785600000,-397785600000,"Sat 25 May 1957, 00:00 GMT",28125,38,Australia,AUS,37,New Zealand,NZL,11,25,C,B,540,1957 Bledisloe Cup,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":1475,""venue"":{""id"":66,""name"":""Sydney Cricket Ground"",""city"":""Sydney"",""country"":""Australia""},""time"":{""millis"":-397785600000,""label"":""Sat 25 May 1957, 00:00 GMT""},""attendance"":28125,""teams"":[{""id"":38,""name"":""Australia"",""abbreviation"":""AUS""},{""id"":37,""name"":""New Zealand"",""abbreviation"":""NZL""}],""scores"":[11,25],""status"":""C"",""outcome"":""B"",""events"":[{""id"":540,""label"":""1957 Bledisloe Cup"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}},{""id"":591,""label"":""1957 New Zealand Tour of Australia"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
7432,,77,Exhibition Ground,Brisbane,Australia,-397526400000,-397526400000,"Tue 28 May 1957, 00:00 GMT",,400,Queensland,,37,New Zealand,NZL,0,30,C,B,591,1957 New Zealand Tour of Australia,mru,-410227200000,1957-01-01,-378691201000,1957-12-31,"{""matchId"":7432,""venue"":{""id"":77,""name"":""Exhibition Ground"",""city"":""Brisbane"",""country"":""Australia""},""time"":{""millis"":-397526400000,""label"":""Tue 28 May 1957, 00:00 GMT""},""teams"":[{""id"":400,""name"":""Queensland""},{""id"":37,""name"":""New Zealand"",""abbreviation"":""NZL""}],""scores"":[0,30],""status"":""C"",""outcome"":""B"",""events"":[{""id"":591,""label"":""1957 New Zealand Tour of Australia"",""sport"":""mru"",""start"":{""millis"":-410227200000,""label"":""1957-01-01""},""end"":{""millis"":-378691201000,""label"":""1957-12-31""}}]}"
