11977,,1018,Estadio Nacional Universidad Complutense,Madrid,Spain,1294054200000,1294054200000,"Mon 3 Jan 2011, 12:30 GMT+01:00",500,2521,Spain,SPA,2522,Scotland,SCO,28,13,C,A,,,,,,,,"{""matchId"":11977,""venue"":{""id"":1018,""name"":""Estadio Nacional Universidad Complutense"",""city"":""Madrid"",""country"":""Spain""},""time"":{""millis"":1294054200000,""gmtOffset"":1.0,""label"":""Mon 3 Jan 2011, 12:30 GMT+01:00""},""attendance"":500,""teams"":[{""id"":2521,""name"":""Spain"",""abbreviation"":""SPA""},{""id"":2522,""name"":""Scotland"",""abbreviation"":""SCO""}],""scores"":[28,13],""status"":""C"",""outcome"":""A"",""events"":[]}"
19186,Match 1,,,,,1296824400000,1296824400000,"Fri 4 Feb 2011, 13:00 GMT",,2418,Samoa 7s,SAM,2415,Kenya 7s,KEN,24,21,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19186,""description"":""Match 1"",""eventPhase"":""Pool"",""time"":{""millis"":1296824400000,""label"":""Fri 4 Feb 2011, 13:00 GMT""},""teams"":[{""id"":2418,""name"":""Samoa 7s"",""abbreviation"":""SAM""},{""id"":2415,""name"":""Kenya 7s"",""abbreviation"":""KEN""}],""scores"":[24,21],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19187,Match 2,,,,,1296825720000,1296825720000,"Fri 4 Feb 2011, 13:22 GMT",,2409,Australia 7s,AUS,2421,Tonga 7s,TON,47,7,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19187,""description"":""Match 2"",""eventPhase"":""Pool"",""time"":{""millis"":1296825720000,""label"":""Fri 4 Feb 2011, 13:22 GMT""},""teams"":[{""id"":2409,""name"":""Australia 7s"",""abbreviation"":""AUS""},{""id"":2421,""name"":""Tonga 7s"",""abbreviation"":""TON""}],""scores"":[47,7],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19188,Match 3,,,,,1296827040000,1296827040000,"Fri 4 Feb 2011, 13:44 GMT",,2413,Fiji 7s,FIJ,2414,France 7s,FRA,42,0,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19188,""description"":""Match 3"",""eventPhase"":""Pool"",""time"":{""millis"":1296827040000,""label"":""Fri 4 Feb 2011, 13:44 GMT""},""teams"":[{""id"":2413,""name"":""Fiji 7s"",""abbreviation"":""FIJ""},{""id"":2414,""name"":""France 7s"",""abbreviation"":""FRA""}],""scores"":[42,0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19189,Match 4,,,,,1296828360000,1296828360000,"Fri 4 Feb 2011, 14:06 GMT",,2420,South Africa 7s,RSA,2410,Canada 7s,CAN,31,5,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19189,""description"":""Match 4"",""eventPhase"":""Pool"",""time"":{""millis"":1296828360000,""label"":""Fri 4 Feb 2011, 14:06 GMT""},""teams"":[{""id"":2420,""name"":""South Africa 7s"",""abbreviation"":""RSA""},{""id"":2410,""name"":""Canada 7s"",""abbreviation"":""CAN""}],""scores"":[31,5],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19190,Match 5,,,,,1296829680000,1296829680000,"Fri 4 Feb 2011, 14:28 GMT",,2412,England 7s,ENG,2422,USA 7s,USA,31,12,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19190,""description"":""Match 5"",""eventPhase"":""Pool"",""time"":{""millis"":1296829680000,""label"":""Fri 4 Feb 2011, 14:28 GMT""},""teams"":[{""id"":2412,""name"":""England 7s"",""abbreviation"":""ENG""},{""id"":2422,""name"":""USA 7s"",""abbreviation"":""USA""}],""scores"":[31,12],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19191,Match 6,,,,,1296831000000,1296831000000,"Fri 4 Feb 2011, 14:50 GMT",,3921,Wales 7s,WAL,2411,Cook Islands 7s,COK,31,12,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19191,""description"":""Match 6"",""eventPhase"":""Pool"",""time"":{""millis"":1296831000000,""label"":""Fri 4 Feb 2011, 14:50 GMT""},""teams"":[{""id"":3921,""name"":""Wales 7s"",""abbreviation"":""WAL""},{""id"":2411,""name"":""Cook Islands 7s"",""abbreviation"":""COK""}],""scores"":[31,12],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19192,Match 7,,,,,1296832320000,1296832320000,"Fri 4 Feb 2011, 15:12 GMT",,2416,New Zealand 7s,NZL,2419,Scotland 7s,SCO,29,12,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19192,""description"":""Match 7"",""eventPhase"":""Pool"",""time"":{""millis"":1296832320000,""label"":""Fri 4 Feb 2011, 15:12 GMT""},""teams"":[{""id"":2416,""name"":""New Zealand 7s"",""abbreviation"":""NZL""},{""id"":2419,""name"":""Scotland 7s"",""abbreviation"":""SCO""}],""scores"":[29,12],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19193,Match 8,,,,,1296833640000,1296833640000,"Fri 4 Feb 2011, 15:34 GMT",,2408,Argentina 7s,ARG,3906,Papua New Guinea 7s,PNG,14,10,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19193,""description"":""Match 8"",""eventPhase"":""Pool"",""time"":{""millis"":1296833640000,""label"":""Fri 4 Feb 2011, 15:34 GMT""},""teams"":[{""id"":2408,""name"":""Argentina 7s"",""abbreviation"":""ARG""},{""id"":3906,""name"":""Papua New Guinea 7s"",""abbreviation"":""PNG""}],""scores"":[14,10],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
19194,Match 9,,,,,1296834960000,1296834960000,"Fri 4 Feb 2011, 15:56 GMT",,2418,Samoa 7s,SAM,2421,Tonga 7s,TON,17,0,C,A,1480,2010/11 IRB Sevens World Series - Wellington,mrs,1296777600000,2011-02-04,1296950399000,2011-02-05,"{""matchId"":19194,""description"":""Match 9"",""eventPhase"":""Pool"",""time"":{""millis"":1296834960000,""label"":""Fri 4 Feb 2011, 15:56 GMT""},""teams"":[{""id"":2418,""name"":""Samoa 7s"",""abbreviation"":""SAM""},{""id"":2421,""name"":""Tonga 7s"",""abbreviation"":""TON""}],""scores"":[17,0],""status"":""C"",""outcome"":""A"",""events"":[{""id"":1480,""label"":""2010/11 IRB Sevens World Series - Wellington"",""sport"":""mrs"",""start"":{""millis"":1296777600000,""label"":""2011-02-04""},""end"":{""millis"":1296950399000,""label"":""2011-02-05""}}]}"
